Entity,Code,Year,15.2.1 - Above-ground biomass in forest (tonnes per hectare) - AG_LND_FRSTBIOPHA
Africa,,2000,129.46702
Africa,,2010,129.85605
Africa,,2015,129.87578
Africa,,2016,129.96661
Africa,,2017,129.76537
Africa,,2018,129.80609
Africa,,2019,129.84645
Africa,,2020,129.8843
Algeria,DZA,2000,29.16
Algeria,DZA,2010,29.38
Algeria,DZA,2015,29.51
Algeria,DZA,2016,29.41
Algeria,DZA,2017,29.38
Algeria,DZA,2018,29.18
Algeria,DZA,2019,29.37
Algeria,DZA,2020,29.39
American Samoa,ASM,2000,125.13
American Samoa,ASM,2010,137.85
American Samoa,ASM,2015,143.91
American Samoa,ASM,2016,145.33
American Samoa,ASM,2017,146.75
American Samoa,ASM,2018,148.18
American Samoa,ASM,2019,149.35
American Samoa,ASM,2020,150.79
Americas,,2000,140.77998
Americas,,2010,141.46009
Americas,,2015,142.21661
Americas,,2016,142.37236
Americas,,2017,142.54211
Americas,,2018,142.7129
Americas,,2019,142.74499
Americas,,2020,142.77674
Andorra,AND,2000,154
Andorra,AND,2010,154
Andorra,AND,2015,154
Andorra,AND,2016,154
Andorra,AND,2017,154
Andorra,AND,2018,154
Andorra,AND,2019,154
Andorra,AND,2020,154
Angola,AGO,2000,30.3
Angola,AGO,2010,30.3
Angola,AGO,2015,30.3
Angola,AGO,2016,30.3
Angola,AGO,2017,30.3
Angola,AGO,2018,30.3
Angola,AGO,2019,30.3
Angola,AGO,2020,30.3
Anguilla,AIA,2000,210
Anguilla,AIA,2010,210
Anguilla,AIA,2015,210
Anguilla,AIA,2016,210
Anguilla,AIA,2017,210
Anguilla,AIA,2018,210
Anguilla,AIA,2019,210
Anguilla,AIA,2020,210
Antigua and Barbuda,ATG,2000,210
Antigua and Barbuda,ATG,2010,210
Antigua and Barbuda,ATG,2015,210
Antigua and Barbuda,ATG,2016,210
Antigua and Barbuda,ATG,2017,210
Antigua and Barbuda,ATG,2018,210
Antigua and Barbuda,ATG,2019,210
Antigua and Barbuda,ATG,2020,210
Argentina,ARG,2000,177.07
Argentina,ARG,2010,182.12
Argentina,ARG,2015,184.34
Argentina,ARG,2016,184.59
Argentina,ARG,2017,184.88
Argentina,ARG,2018,185.17
Argentina,ARG,2019,185.45
Argentina,ARG,2020,185.74
Armenia,ARM,2000,81.38
Armenia,ARM,2010,80.06
Armenia,ARM,2015,80.72
Armenia,ARM,2016,80.72
Armenia,ARM,2017,80.72
Armenia,ARM,2018,80.72
Armenia,ARM,2019,80.72
Armenia,ARM,2020,80.72
Asia,,2000,99.72413
Asia,,2010,98.39663
Asia,,2015,99.85788
Asia,,2016,100.15988
Asia,,2017,100.18309
Asia,,2018,100.22747
Asia,,2019,100.26075
Asia,,2020,100.29973
Australia,AUS,2000,85.56
Australia,AUS,2010,86.36
Australia,AUS,2015,84.56
Australia,AUS,2016,83.96
Australia,AUS,2017,83.97
Australia,AUS,2018,83.98
Australia,AUS,2019,83.98
Australia,AUS,2020,83.98
Australia and New Zealand,,2000,98.96746
Australia and New Zealand,,2010,100.69901
Australia and New Zealand,,2015,98.94611
Australia and New Zealand,,2016,98.34443
Australia and New Zealand,,2017,98.38458
Australia and New Zealand,,2018,98.4373
Australia and New Zealand,,2019,98.46587
Australia and New Zealand,,2020,98.46301
Austria,AUT,2000,157.4
Austria,AUT,2010,164.5
Austria,AUT,2015,168.4
Austria,AUT,2016,169.1
Austria,AUT,2017,169.9
Austria,AUT,2018,170.7
Austria,AUT,2019,171.5
Austria,AUT,2020,172.3
Bahamas,BHS,2000,39.8
Bahamas,BHS,2010,39.8
Bahamas,BHS,2015,39.8
Bahamas,BHS,2016,39.8
Bahamas,BHS,2017,39.8
Bahamas,BHS,2018,39.8
Bahamas,BHS,2019,39.8
Bahamas,BHS,2020,39.8
Bangladesh,BGD,2000,62.82
Bangladesh,BGD,2010,62.82
Bangladesh,BGD,2015,62.82
Bangladesh,BGD,2016,62.82
Bangladesh,BGD,2017,62.82
Bangladesh,BGD,2018,62.82
Bangladesh,BGD,2019,62.82
Bangladesh,BGD,2020,62.82
Belarus,BLR,2000,114.6
Belarus,BLR,2010,135.8
Belarus,BLR,2015,146.8
Belarus,BLR,2016,148.8
Belarus,BLR,2017,150.8
Belarus,BLR,2018,152.3
Belarus,BLR,2019,154.6
Belarus,BLR,2020,156.1
Belgium,BEL,2000,148.48
Belgium,BEL,2010,164.54
Belgium,BEL,2015,172.3
Belgium,BEL,2016,172.3
Belgium,BEL,2017,172.3
Belgium,BEL,2018,172.3
Belgium,BEL,2019,172.3
Belgium,BEL,2020,172.3
Belize,BLZ,2000,211
Belize,BLZ,2010,211
Belize,BLZ,2015,211
Belize,BLZ,2016,211
Belize,BLZ,2017,211
Belize,BLZ,2018,211
Belize,BLZ,2019,211
Belize,BLZ,2020,211
Benin,BEN,2000,103.56
Benin,BEN,2010,103.56
Benin,BEN,2015,103.56
Benin,BEN,2016,103.56
Benin,BEN,2017,103.56
Benin,BEN,2018,103.56
Benin,BEN,2019,103.56
Benin,BEN,2020,103.56
Bhutan,BTN,2000,269.32
Bhutan,BTN,2010,269.32
Bhutan,BTN,2015,269.32
Bhutan,BTN,2016,269.32
Bhutan,BTN,2017,269.32
Bhutan,BTN,2018,269.32
Bhutan,BTN,2019,269.32
Bhutan,BTN,2020,269.32
Bolivia,BOL,2000,131.26
Bolivia,BOL,2010,131.26
Bolivia,BOL,2015,131.26
Bolivia,BOL,2016,131.26
Bolivia,BOL,2017,131.26
Bolivia,BOL,2018,131.26
Bolivia,BOL,2019,131.26
Bolivia,BOL,2020,131.26
Bosnia and Herzegovina,BIH,2000,156.36
Bosnia and Herzegovina,BIH,2010,156.36
Bosnia and Herzegovina,BIH,2015,156.36
Bosnia and Herzegovina,BIH,2016,156.36
Bosnia and Herzegovina,BIH,2017,156.36
Bosnia and Herzegovina,BIH,2018,156.36
Bosnia and Herzegovina,BIH,2019,156.36
Bosnia and Herzegovina,BIH,2020,156.36
Botswana,BWA,2000,155.25
Botswana,BWA,2010,155.25
Botswana,BWA,2015,155.25
Botswana,BWA,2016,155.25
Botswana,BWA,2017,155.25
Botswana,BWA,2018,155.25
Botswana,BWA,2019,155.25
Botswana,BWA,2020,155.25
Brazil,BRA,2000,166.3
Brazil,BRA,2010,169.44
Brazil,BRA,2015,171.08
Brazil,BRA,2016,171.26
Brazil,BRA,2017,171.44
Brazil,BRA,2018,171.63
Brazil,BRA,2019,171.78
Brazil,BRA,2020,171.92
British Virgin Islands,VGB,2000,210
British Virgin Islands,VGB,2010,210
British Virgin Islands,VGB,2015,210
British Virgin Islands,VGB,2016,210
British Virgin Islands,VGB,2017,210
British Virgin Islands,VGB,2018,210
British Virgin Islands,VGB,2019,210
British Virgin Islands,VGB,2020,210
Brunei,BRN,2000,247
Brunei,BRN,2010,247
Brunei,BRN,2015,247
Brunei,BRN,2016,247
Brunei,BRN,2017,247
Brunei,BRN,2018,247
Brunei,BRN,2019,247
Brunei,BRN,2020,247
Bulgaria,BGR,2000,139.9
Bulgaria,BGR,2010,157.63
Bulgaria,BGR,2015,161.84
Bulgaria,BGR,2016,165.25
Bulgaria,BGR,2017,169.14
Bulgaria,BGR,2018,172.87
Bulgaria,BGR,2019,176.68
Bulgaria,BGR,2020,180.5
Burkina Faso,BFA,2000,59.27
Burkina Faso,BFA,2010,53.98
Burkina Faso,BFA,2015,52.21
Burkina Faso,BFA,2016,50.38
Burkina Faso,BFA,2017,49.75
Burkina Faso,BFA,2018,49.11
Burkina Faso,BFA,2019,48.45
Burkina Faso,BFA,2020,47.79
Burundi,BDI,2000,114.03
Burundi,BDI,2010,114.03
Burundi,BDI,2015,119.38
Burundi,BDI,2016,119.38
Burundi,BDI,2017,119.38
Burundi,BDI,2018,119.38
Burundi,BDI,2019,119.38
Burundi,BDI,2020,119.38
Cambodia,KHM,2000,69.3
Cambodia,KHM,2010,69.3
Cambodia,KHM,2015,69.3
Cambodia,KHM,2016,69.3
Cambodia,KHM,2017,69.3
Cambodia,KHM,2018,69.3
Cambodia,KHM,2019,69.3
Cambodia,KHM,2020,69.3
Cameroon,CMR,2000,265.05
Cameroon,CMR,2010,265.05
Cameroon,CMR,2015,265.05
Cameroon,CMR,2016,265.05
Cameroon,CMR,2017,265.05
Cameroon,CMR,2018,265.05
Cameroon,CMR,2019,265.05
Cameroon,CMR,2020,265.05
Canada,CAN,2000,94.64
Canada,CAN,2010,91.16
Canada,CAN,2015,90.49
Canada,CAN,2016,90.43
Canada,CAN,2017,90.43
Canada,CAN,2018,90.43
Canada,CAN,2019,90.43
Canada,CAN,2020,90.43
