Entity,Code,Year,15.2.1 - Proportion of forest area within legally established protected areas (%) - AG_LND_FRSTPRCT
Africa,,2000,23.37024
Africa,,2010,24.09807
Africa,,2015,25.76739
Africa,,2016,25.76831
Africa,,2017,25.76501
Africa,,2018,25.76312
Africa,,2019,25.60881
Africa,,2020,25.73027
Albania,ALB,2000,18.9055
Albania,ALB,2010,20.5401
Algeria,DZA,2000,6.0838
Algeria,DZA,2010,6.0838
Algeria,DZA,2015,6.0838
Algeria,DZA,2016,6.0838
Algeria,DZA,2017,6.0838
Algeria,DZA,2018,6.0838
Algeria,DZA,2019,6.0838
Algeria,DZA,2020,6.0838
American Samoa,ASM,2000,14.8727
American Samoa,ASM,2010,14.9884
American Samoa,ASM,2015,14.9884
American Samoa,ASM,2016,14.9884
American Samoa,ASM,2017,14.9884
American Samoa,ASM,2018,14.9884
American Samoa,ASM,2019,14.9884
American Samoa,ASM,2020,14.9884
Americas,,2000,15.9245
Americas,,2010,19.94696
Americas,,2015,20.2761
Americas,,2016,20.57998
Americas,,2017,20.59283
Americas,,2018,20.70664
Americas,,2019,20.78733
Americas,,2020,20.83532
Andorra,AND,2018,12.5
Angola,AGO,2000,2.6837
Angola,AGO,2010,2.6837
Angola,AGO,2015,2.6837
Angola,AGO,2016,2.6837
Angola,AGO,2017,2.6837
Angola,AGO,2018,2.6837
Angola,AGO,2019,2.6837
Angola,AGO,2020,2.6837
Argentina,ARG,2000,5.9731
Argentina,ARG,2010,6.0041
Argentina,ARG,2015,6.3787
Argentina,ARG,2016,6.3787
Argentina,ARG,2017,6.3787
Argentina,ARG,2018,6.6261
Argentina,ARG,2019,6.6261
Argentina,ARG,2020,6.6261
Asia,,2000,19.29344
Asia,,2010,24.04833
Asia,,2015,24.76196
Asia,,2016,25.00685
Asia,,2017,25.24751
Asia,,2018,25.28862
Asia,,2019,25.31954
Asia,,2020,25.36946
Australia,AUS,2000,13.2195
Australia,AUS,2010,16.7252
Australia,AUS,2015,17.9571
Australia,AUS,2016,18.0861
Australia,AUS,2017,18.0861
Australia,AUS,2018,18.0861
Australia,AUS,2019,18.0861
Australia,AUS,2020,18.0861
Australia and New Zealand,,2000,14.70569
Australia and New Zealand,,2010,18.14198
Australia and New Zealand,,2015,19.21489
Australia and New Zealand,,2016,19.33492
Australia and New Zealand,,2017,19.33492
Australia and New Zealand,,2018,19.33492
Australia and New Zealand,,2019,19.33492
Australia and New Zealand,,2020,19.33492
Austria,AUT,2010,18.785
Austria,AUT,2015,21.958
Austria,AUT,2016,22.1829
Austria,AUT,2017,22.4076
Austria,AUT,2018,22.6322
Austria,AUT,2019,22.6322
Austria,AUT,2020,22.6322
Azerbaijan,AZE,2000,34.4192
Azerbaijan,AZE,2010,34.4192
Azerbaijan,AZE,2015,34.4192
Azerbaijan,AZE,2016,34.4192
Azerbaijan,AZE,2017,34.4192
Azerbaijan,AZE,2018,34.4192
Azerbaijan,AZE,2019,34.4192
Azerbaijan,AZE,2020,34.4192
Bangladesh,BGD,2000,32.8263
Bangladesh,BGD,2010,32.8263
Bangladesh,BGD,2015,32.8263
Bangladesh,BGD,2016,32.8263
Bangladesh,BGD,2017,32.8263
Bangladesh,BGD,2018,32.8263
Bangladesh,BGD,2019,32.8263
Bangladesh,BGD,2020,32.8263
Barbados,BRB,2010,4.7619
Barbados,BRB,2015,4.7619
Barbados,BRB,2016,4.7619
Barbados,BRB,2017,4.7619
Barbados,BRB,2018,4.7619
Barbados,BRB,2019,4.7619
Barbados,BRB,2020,4.7619
Belarus,BLR,2000,5.6408
Belarus,BLR,2010,12.6693
Belarus,BLR,2015,12.9264
Belarus,BLR,2016,13.2021
Belarus,BLR,2017,13.5333
Belarus,BLR,2018,14.27
Belarus,BLR,2019,15.0345
Belarus,BLR,2020,15.7989
Belgium,BEL,2000,3.946
Belgium,BEL,2010,3.8155
Belgium,BEL,2015,26.157
Belize,BLZ,2000,55.6478
Belize,BLZ,2010,56.7327
Belize,BLZ,2015,57.2166
Belize,BLZ,2016,57.0508
Belize,BLZ,2017,56.8137
