Entity,Code,Year,16.1.4 - Proportion of population that feel safe walking alone around the area they live (%) - VC_SNS_WALN - Both sexes
Argentina,ARG,2016,48
Australia,AUS,2013,92
Australia,AUS,2014,92
Australia,AUS,2015,92
Australia,AUS,2016,91
Australia,AUS,2017,89
Australia,AUS,2018,90
Belgium,BEL,2018,74
Bolivia,BOL,2013,15
Bolivia,BOL,2015,17
Canada,CAN,2014,52
Cape Verde,CPV,2016,52
Colombia,COL,2018,73
El Salvador,SLV,2018,55.00000000000001
Estonia,EST,2015,74
Estonia,EST,2016,72
Estonia,EST,2017,76
Estonia,EST,2018,76
Finland,FIN,2013,85
Finland,FIN,2014,86
Finland,FIN,2015,84
Finland,FIN,2016,84
Finland,FIN,2017,85
Finland,FIN,2018,87
France,FRA,2018,89
Germany,DEU,2017,79
Iceland,ISL,2013,91
Iceland,ISL,2014,92
Iceland,ISL,2015,93
Iceland,ISL,2016,92
Iceland,ISL,2017,91
Iceland,ISL,2018,91
Indonesia,IDN,2017,53
Israel,ISR,2014,73
Israel,ISR,2015,81
Israel,ISR,2016,85
Israel,ISR,2017,86
Israel,ISR,2018,84
Italy,ITA,2016,61
Jamaica,JAM,2016,89
Lithuania,LTU,2013,64
Luxembourg,LUX,2016,71
Luxembourg,LUX,2017,72
Palestine,PSE,2016,87
Palestine,PSE,2018,92
Panama,PAN,2016,33
Peru,PER,2013,42
Peru,PER,2014,42
Peru,PER,2015,42
Peru,PER,2016,42
Peru,PER,2017,46
Poland,POL,2013,76
Poland,POL,2014,77
Poland,POL,2015,78
Poland,POL,2016,74
Poland,POL,2017,76
Qatar,QAT,2013,100
Qatar,QAT,2014,100
Qatar,QAT,2015,100
Qatar,QAT,2016,100
Qatar,QAT,2017,100
Qatar,QAT,2018,100
Slovakia,SVK,2013,74
South Africa,ZAF,2017,28.999999999999996
South Africa,ZAF,2018,35
South Korea,KOR,2014,54
South Korea,KOR,2016,59
Sweden,SWE,2017,72
Sweden,SWE,2018,72
Switzerland,CHE,2015,62
Switzerland,CHE,2016,63
Thailand,THA,2016,93
Turkey,TUR,2013,60
Turkey,TUR,2014,60
Turkey,TUR,2015,56.99999999999999
Turkey,TUR,2016,59
Turkey,TUR,2017,56.99999999999999
Turkey,TUR,2018,59
Uganda,UGA,2016,94
Uganda,UGA,2017,94
United Kingdom (England and Wales),,2014,74
United Kingdom (England and Wales),,2015,75
United Kingdom (England and Wales),,2017,75
United Kingdom (England and Wales),,2018,78
United Kingdom (Northern Ireland),,2013,75
United Kingdom (Northern Ireland),,2014,75
United Kingdom (Northern Ireland),,2015,77
United Kingdom (Northern Ireland),,2016,77
United Kingdom (Northern Ireland),,2017,79
United Kingdom (Northern Ireland),,2018,76
United Kingdom (Scotland),,2014,74
United Kingdom (Scotland),,2016,77
United Kingdom (Scotland),,2017,77
United States,USA,2013,65
United States,USA,2014,63
United States,USA,2015,64
United States,USA,2016,64
United States,USA,2017,69
