Entity,Code,Year,"16.10.1 - Number of cases of killings of human rights defenders, journalists and trade unionists - VC_VAW_MTUHRA - Male","16.10.1 - Number of cases of killings of human rights defenders, journalists and trade unionists - VC_VAW_MTUHRA - Both sexes","16.10.1 - Number of cases of killings of human rights defenders, journalists and trade unionists - VC_VAW_MTUHRA - Female"
Central and Southern Asia,,2015,24,29,5
Central and Southern Asia,,2016,32,36,4
Central and Southern Asia,,2017,40,43,3
Central and Southern Asia,,2018,48,50,2
Central and Southern Asia,,2019,26,28,2
Central and Southern Asia,,2020,7,8,1
Eastern and South-Eastern Asia,,2015,38,43,5
Eastern and South-Eastern Asia,,2016,32,40,8
Eastern and South-Eastern Asia,,2017,54,64,10
Eastern and South-Eastern Asia,,2018,46,53,7
Eastern and South-Eastern Asia,,2019,44,46,2
Eastern and South-Eastern Asia,,2020,27,31,4
Europe and Northern America,,2015,12,14,2
Europe and Northern America,,2016,3,6,3
Europe and Northern America,,2017,2,5,3
Europe and Northern America,,2018,9,14,5
Europe and Northern America,,2019,2,3,1
Europe and Northern America,,2020,1,2,1
Latin America and the Caribbean,,2015,147,166,19
Latin America and the Caribbean,,2016,198,223,25
Latin America and the Caribbean,,2017,174,198,24
Latin America and the Caribbean,,2018,259,290,31
Latin America and the Caribbean,,2019,212,246,34
Latin America and the Caribbean,,2020,259,290,31
Northern Africa and Western Asia,,2015,61,69,8
Northern Africa and Western Asia,,2016,61,64,3
Northern Africa and Western Asia,,2017,38,44,6
Northern Africa and Western Asia,,2018,49,50,1
Northern Africa and Western Asia,,2019,17,18,1
Northern Africa and Western Asia,,2020,17,19,2
Oceania,,2015,0,1,1
Oceania,,2016,0,0,0
Oceania,,2017,0,0,0
Oceania,,2018,0,0,0
Oceania,,2019,0,0,0
Oceania,,2020,0,0,0
Sub-Saharan Africa,,2015,21,27,6
Sub-Saharan Africa,,2016,18,19,1
Sub-Saharan Africa,,2017,16,16,0
Sub-Saharan Africa,,2018,19,19,0
Sub-Saharan Africa,,2019,13,16,3
Sub-Saharan Africa,,2020,7,8,1
World,OWID_WRL,2015,303,349,46
World,OWID_WRL,2016,344,388,44
World,OWID_WRL,2017,324,370,46
World,OWID_WRL,2018,430,476,46
World,OWID_WRL,2019,314,357,43
World,OWID_WRL,2020,345,393,48
