Entity,Code,Year,"16.10.2 - Countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information - SG_INF_ACCSS"
Afghanistan,AFG,2022,2014
Albania,ALB,2022,1999
Andorra,AND,2022,2021
Angola,AGO,2022,2002
Antigua and Barbuda,ATG,2022,2004
Argentina,ARG,2022,2016
Armenia,ARM,2022,2003
Australia,AUS,2022,1982
Australia and New Zealand,,2022,2
Austria,AUT,2022,1987
Azerbaijan,AZE,2022,2005
Bahamas,BHS,2022,2017
Bangladesh,BGD,2022,2008
Belarus,BLR,2022,2008
Belgium,BEL,2022,1994
Belize,BLZ,2022,1994
Benin,BEN,2022,2015
Bolivia,BOL,2022,2005
Bosnia and Herzegovina,BIH,2022,2000
Brazil,BRA,2022,2011
Bulgaria,BGR,2022,2000
Burkina Faso,BFA,2022,2015
Canada,CAN,2022,1983
Central and Southern Asia,,2022,12
Chile,CHL,2022,2008
China,CHN,2022,2007
Colombia,COL,2022,1985
Cook Islands,COK,2022,2009
Costa Rica,CRI,2022,2017
Cote d'Ivoire,CIV,2022,2013
Croatia,HRV,2022,2003
Cyprus,CYP,2022,2017
Czechia,CZE,2022,1999
Denmark,DNK,2022,1970
Dominican Republic,DOM,2022,2004
Eastern and South-Eastern Asia,,2022,9
Ecuador,ECU,2022,2004
El Salvador,SLV,2022,2011
Estonia,EST,2022,2000
Ethiopia,ETH,2022,2008
Europe and Northern America,,2022,44
Fiji,FJI,2022,2018
Finland,FIN,2022,1951
France,FRA,2022,1978
Gambia,GMB,2022,2021
Georgia,GEO,2022,1999
Germany,DEU,2022,2005
Ghana,GHA,2022,2019
Greece,GRC,2022,1986
Guatemala,GTM,2022,2008
Guinea,GIN,2022,2020
Guyana,GUY,2022,2013
Honduras,HND,2022,2006
Hungary,HUN,2022,1992
Iceland,ISL,2022,1996
India,IND,2022,2005
Indonesia,IDN,2022,2008
Iran,IRN,2022,2009
Ireland,IRL,2022,2003
Israel,ISR,2022,1998
Italy,ITA,2022,1990
Jamaica,JAM,2022,2002
Japan,JPN,2022,1999
Jordan,JOR,2022,2007
Kazakhstan,KAZ,2022,2015
Kenya,KEN,2022,2016
Kuwait,KWT,2022,2020
Kyrgyzstan,KGZ,2022,2007
Landlocked developing countries (LLDCs),,2022,21
Latin America and the Caribbean,,2022,23
Latvia,LVA,2022,1998
Least developed countries (LDCs),,2022,20
Lebanon,LBN,2022,2017
Liberia,LBR,2022,2010
Liechtenstein,LIE,2022,1999
Lithuania,LTU,2022,1996
Luxembourg,LUX,2022,2018
Malawi,MWI,2022,2017
Maldives,MDV,2022,2014
Malta,MLT,2022,2008
Mexico,MEX,2022,2002
Moldova,MDA,2022,2000
Monaco,MCO,2022,2011
Mongolia,MNG,2022,2011
Montenegro,MNE,2022,2005
Morocco,MAR,2022,2018
Mozambique,MOZ,2022,2014
Nepal,NPL,2022,2007
Netherlands,NLD,2022,1978
New Zealand,NZL,2022,1982
Nicaragua,NIC,2022,2007
Niger,NER,2022,2011
Nigeria,NGA,2022,2011
North Macedonia,MKD,2022,2006
Northern Africa and Western Asia,,2022,12
Norway,NOR,2022,1970
Oceania (exc. Australia and New Zealand),,2022,4
Pakistan,PAK,2022,2002
Palau,PLW,2022,2014
Panama,PAN,2022,2002
Paraguay,PRY,2022,2014
Peru,PER,2022,2003
Philippines,PHL,2022,2016
Poland,POL,2022,2001
Portugal,PRT,2022,1993
Romania,ROU,2022,2001
Russia,RUS,2022,2009
Rwanda,RWA,2022,2013
Saint Kitts and Nevis,KNA,2022,2018
Saint Vincent and the Grenadines,VCT,2022,2003
San Marino,SMR,2022,2011
Saudi Arabia,SAU,2022,2021
Serbia,SRB,2022,2003
Seychelles,SYC,2022,2018
Sierra Leone,SLE,2022,2013
Slovakia,SVK,2022,2000
Slovenia,SVN,2022,2003
Small Island Developing States (SIDS),,2022,16
South Africa,ZAF,2022,2000
South Korea,KOR,2022,1996
South Sudan,SSD,2022,2013
Spain,ESP,2022,2013
Sri Lanka,LKA,2022,2016
Sub-Saharan Africa,,2022,21
Sudan,SDN,2022,2015
Sweden,SWE,2022,1766
Switzerland,CHE,2022,2004
Tajikistan,TJK,2022,2002
Tanzania,TZA,2022,2016
Thailand,THA,2022,1997
Timor,TLS,2022,2016
Togo,TGO,2022,2016
Trinidad and Tobago,TTO,2022,1999
Tunisia,TUN,2022,2011
Turkey,TUR,2022,2003
Uganda,UGA,2022,2005
Ukraine,UKR,2022,1992
United Kingdom,GBR,2022,2000
United States,USA,2022,1966
Uruguay,URY,2022,2008
Uzbekistan,UZB,2022,1997
Vanuatu,VUT,2022,2016
Venezuela,VEN,2022,2021
Vietnam,VNM,2022,2016
World,OWID_WRL,2022,127
Yemen,YEM,2022,2012
Zimbabwe,ZWE,2022,2002
