Entity,Code,Year,"16.2.3 - Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29) - VC_VAW_SXVLN - 18 to 29 years old - Female"
Afghanistan,AFG,2015,1.1
Angola,AGO,2016,4.6
Azerbaijan,AZE,2006,0.1
Bangladesh,BGD,2015,3.5
Benin,BEN,2018,4.5
Burundi,BDI,2017,3.5
Cambodia,KHM,2014,1.7
Cameroon,CMR,2018,7.2
Central and Southern Asia,,2020,1.5
Chad,TCD,2015,1.8
Colombia,COL,2015,2.2
Comoros,COM,2012,3.1
Democratic Republic of Congo,COD,2014,13.4
Dominican Republic,DOM,2013,1.3
Ethiopia,ETH,2016,5.1
Gabon,GAB,2012,9.3
Gambia,GMB,2020,4.9
Ghana,GHA,2008,10.3
Grenada,GRD,2018,13.7
Guatemala,GTM,2015,4
Haiti,HTI,2017,4.8
Honduras,HND,2019,4.8
India,IND,2016,1.3
Jamaica,JAM,2016,2.3
Kenya,KEN,2014,4.4
Kiribati,KIR,2019,6.1
Landlocked developing countries (LLDCs),,2020,4.2
Least developed countries (LDCs),,2020,4.9
Liberia,LBR,2020,5.9
Malawi,MWI,2016,4.1
Maldives,MDV,2017,0.4
Mali,MLI,2018,7.3
Moldova,MDA,2005,5.2
Mozambique,MOZ,2015,1.9
Myanmar,MMR,2016,1.2
Namibia,NAM,2013,0.5
Nepal,NPL,2016,3
Nigeria,NGA,2018,5.3
Oceania (exc. Australia and New Zealand),,2020,6.8
Pakistan,PAK,2018,1.3
Palestine,PSE,2019,1.8
Panama,PAN,2015,3.4
Papua New Guinea,PNG,2018,6.9
Philippines,PHL,2017,2
Rwanda,RWA,2020,11.6
Samoa,WSM,2020,5
Sao Tome and Principe,STP,2009,3.4
Senegal,SEN,2019,0.1
Sierra Leone,SLE,2019,3.2
Small Island Developing States (SIDS),,2020,4.6
South Africa,ZAF,2016,0.6
Southern Asia,,2020,1.5
Sub-Saharan Africa,,2020,5.5
Tajikistan,TJK,2017,0
Tanzania,TZA,2016,7.3
Timor,TLS,2016,2.8
Togo,TGO,2014,3.8
Tonga,TON,2019,0.2
Trinidad and Tobago,TTO,2017,24.8
Turks and Caicos Islands,TCA,2020,1
Tuvalu,TUV,2020,0
Uganda,UGA,2016,5.2
Ukraine,UKR,2007,1.8
United Kingdom,GBR,2016,6.6
World,OWID_WRL,2020,2.8
Zambia,ZMB,2018,2.9
Zimbabwe,ZWE,2019,2.4
