Entity,Code,Year,16.3.2 - Unsentenced detainees as a proportion of overall prison population (%) - VC_PRS_UNSNT
Afghanistan,AFG,2005,81
Afghanistan,AFG,2015,29.5
Afghanistan,AFG,2018,27.7
Albania,ALB,2005,22.1
Albania,ALB,2015,47.1
Albania,ALB,2018,44.5
Algeria,DZA,2005,35.5
Algeria,DZA,2015,7.2
Algeria,DZA,2018,12.3
American Samoa,ASM,2005,12.8
American Samoa,ASM,2015,12.7
American Samoa,ASM,2018,12.3
Andorra,AND,2005,24.6
Andorra,AND,2015,64.2
Andorra,AND,2018,50.7
Angola,AGO,2005,63.7
Angola,AGO,2015,48.4
Angola,AGO,2018,48
Anguilla,AIA,2005,41.5
Anguilla,AIA,2015,38.3
Anguilla,AIA,2018,48.1
Antigua and Barbuda,ATG,2005,27
Antigua and Barbuda,ATG,2015,48.7
Antigua and Barbuda,ATG,2018,43.7
Argentina,ARG,2005,57.6
Argentina,ARG,2015,50.5
Argentina,ARG,2018,46.2
Armenia,ARM,2005,28.2
Armenia,ARM,2015,27.9
Armenia,ARM,2018,35.6
Australia,AUS,2005,20.4
Australia,AUS,2015,25.3
Australia,AUS,2018,31.6
Australia and New Zealand,,2005,19.7
Australia and New Zealand,,2015,23.2
Australia and New Zealand,,2018,29
Austria,AUT,2005,23.2
Austria,AUT,2015,20.8
Austria,AUT,2018,20.9
Azerbaijan,AZE,2005,12
Azerbaijan,AZE,2015,16.9
Azerbaijan,AZE,2018,15.5
Bahamas,BHS,2005,22.5
Bahamas,BHS,2015,43
Bahamas,BHS,2018,34.1
Bangladesh,BGD,2005,64
Bangladesh,BGD,2015,75.7
Bangladesh,BGD,2018,84.7
Barbados,BRB,2005,38
Barbados,BRB,2015,46
Barbados,BRB,2018,56.1
Belarus,BLR,2005,19.1
Belarus,BLR,2015,11.8
Belarus,BLR,2018,9.4
Belgium,BEL,2005,38.1
Belgium,BEL,2015,26
Belgium,BEL,2018,34.5
Belize,BLZ,2005,5.6
Belize,BLZ,2015,63.5
Belize,BLZ,2018,67.6
Benin,BEN,2005,93.7
Benin,BEN,2015,71
Benin,BEN,2018,62.3
Bermuda,BMU,2005,15.8
Bermuda,BMU,2015,9.7
Bermuda,BMU,2018,12.3
Bolivia,BOL,2005,73.3
Bolivia,BOL,2015,84.2
Bolivia,BOL,2018,72.6
Bosnia and Herzegovina,BIH,2005,18
Bosnia and Herzegovina,BIH,2015,12.9
Bosnia and Herzegovina,BIH,2018,20.9
Botswana,BWA,2005,52.9
Botswana,BWA,2015,25.5
Botswana,BWA,2018,22.3
Brazil,BRA,2005,31.2
Brazil,BRA,2015,39.6
Brazil,BRA,2018,37.1
Brunei,BRN,2005,7.2
Brunei,BRN,2015,7.9
Brunei,BRN,2018,7.1
Bulgaria,BGR,2005,18.3
Bulgaria,BGR,2015,8.8
Bulgaria,BGR,2018,8.7
Burkina Faso,BFA,2005,47.4
Burkina Faso,BFA,2015,40.1
