Entity,Code,Year,"16.4.2 - Proportion of seized, found or surrendered arms whose illicit origin or context has been traced or established by a competent authority in line with international instruments - VC_ARM_SZTRACE"
Antigua and Barbuda,ATG,2017,8
Argentina,ARG,2017,18
Australia,AUS,2017,1
Azerbaijan,AZE,2017,100
Bahamas,BHS,2017,100
Brazil,BRA,2017,14
Grenada,GRD,2017,65
Kenya,KEN,2017,0
Lithuania,LTU,2017,2
Moldova,MDA,2017,9
Peru,PER,2017,78
Romania,ROU,2017,0
Spain,ESP,2017,55
United Kingdom,GBR,2017,15
