Entity,Code,Year,"16.7.1 - Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national population with the age of eligibility as a lower bound boundary), Upper Chamber - SG_DMK_PARLMP_UC"
Afghanistan,AFG,2021,0.57029
Afghanistan,AFG,2022,0.57029
Africa,,2021,0.39556
Africa,,2022,0.41796
Algeria,DZA,2021,0.11332
Algeria,DZA,2022,0.11332
Americas,,2021,0.64181
Americas,,2022,0.64108
Antigua and Barbuda,ATG,2021,1.00321
Antigua and Barbuda,ATG,2022,1.00321
Argentina,ARG,2021,0.75927
Argentina,ARG,2022,0.81163
Asia,,2021,0.35137
Asia,,2022,0.36227
Australia,AUS,2021,1.01323
Australia,AUS,2022,1.05307
Australia and New Zealand,,2021,1.01323
Australia and New Zealand,,2022,1.05307
Austria,AUT,2021,0.83279
Austria,AUT,2022,0.80076
Bahamas,BHS,2021,0.82612
Bahamas,BHS,2022,0.47207
Bahrain,BHR,2021,0.6915
Bahrain,BHR,2022,0.6915
Barbados,BRB,2021,0.81704
Barbados,BRB,2022,0.81704
Belarus,BLR,2021,0.44825
Belarus,BLR,2022,0.44825
Belgium,BEL,2021,0.88349
Belgium,BEL,2022,0.94894
Belize,BLZ,2021,0.7033
Belize,BLZ,2022,0.7033
Bhutan,BTN,2021,0.35165
Bhutan,BTN,2022,0.27472
Bolivia,BOL,2021,1.10408
Bolivia,BOL,2022,1.10408
Bosnia and Herzegovina,BIH,2021,0.38819
Bosnia and Herzegovina,BIH,2022,0.38819
Brazil,BRA,2021,0.23467
Brazil,BRA,2022,0.32854
Burundi,BDI,2021,0.78471
Burundi,BDI,2022,0.78471
Cambodia,KHM,2021,0.28957
Cambodia,KHM,2022,0.28957
Cameroon,CMR,2021,0.50692
Cameroon,CMR,2022,0.50692
Canada,CAN,2021,0.96721
Canada,CAN,2022,0.95647
Caribbean,,2021,0.66105
Caribbean,,2022,0.60707
Caucasus and Central Asia,,2021,0.41818
Caucasus and Central Asia,,2022,0.44268
Central America,,2021,0.91088
Central America,,2022,0.91088
Central Asia,,2021,0.41818
Central Asia,,2022,0.44268
Central and Southern Asia,,2021,0.39525
Central and Southern Asia,,2022,0.41173
Chile,CHL,2021,0.49021
Chile,CHL,2022,0.45991
Colombia,COL,2021,0.39842
Colombia,COL,2022,0.43464
Congo,COG,2021,0.36324
Congo,COG,2022,0.36324
Cote d'Ivoire,CIV,2021,0.39634
Cote d'Ivoire,CIV,2022,0.39634
Czechia,CZE,2021,0.28261
Democratic Republic of Congo,COD,2021,0.41292
Democratic Republic of Congo,COD,2022,0.46678
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2021,0.5848
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2022,0.61336
Developing regions,,2021,0.4179
Developing regions,,2022,0.43336
Dominican Republic,DOM,2021,0.24569
Dominican Republic,DOM,2022,0.24569
Eastern Africa,,2021,0.61365
Eastern Africa,,2022,0.64248
Eastern Asia,,2021,0.44074
Eastern Asia,,2022,0.44438
Eastern Europe,,2021,0.34831
Eastern Europe,,2022,0.39331
Eastern and South-Eastern Asia,,2021,0.30894
Eastern and South-Eastern Asia,,2022,0.31668
Egypt,EGY,2021,0.26451
Egypt,EGY,2022,0.26451
Equatorial Guinea,GNQ,2021,0.41781
Equatorial Guinea,GNQ,2022,0.41781
Eswatini,SWZ,2021,0.77251
Eswatini,SWZ,2022,0.77251
Ethiopia,ETH,2021,0.63283
Ethiopia,ETH,2022,0.60377
Europe,,2021,0.57251
Europe,,2022,0.60389
Europe and Northern America,,2021,0.58583
Europe and Northern America,,2022,0.6177
France,FRA,2021,0.66052
France,FRA,2022,0.66598
Gabon,GAB,2021,0.35899
Gabon,GAB,2022,0.4942
Germany,DEU,2021,0.71008
Germany,DEU,2022,0.66247
Grenada,GRD,2021,0.30786
Grenada,GRD,2022,0.30786
Haiti,HTI,2022,0
India,IND,2021,0.2294
India,IND,2022,0.25056
Ireland,IRL,2021,0.78492
Ireland,IRL,2022,0.76497
Italy,ITA,2021,0.64909
Italy,ITA,2022,0.6609
Jamaica,JAM,2021,0.74641
Jamaica,JAM,2022,0.74641
Japan,JPN,2021,0.44074
Japan,JPN,2022,0.44438
Jordan,JOR,2021,0.24804
Jordan,JOR,2022,0.21704
Kazakhstan,KAZ,2021,0.34705
Kazakhstan,KAZ,2022,0.34705
Kenya,KEN,2021,0.62504
Kenya,KEN,2022,0.60665
Landlocked developing countries (LLDCs),,2021,0.58287
Landlocked developing countries (LLDCs),,2022,0.59099
Latin America and the Caribbean,,2021,0.61841
Latin America and the Caribbean,,2022,0.62231
Least developed countries (LDCs),,2021,0.43704
Least developed countries (LDCs),,2022,0.45885
Lesotho,LSO,2021,0.41408
Lesotho,LSO,2022,0.41408
Liberia,LBR,2021,0.06551
Liberia,LBR,2022,0.13102
Madagascar,MDG,2021,0.21726
Madagascar,MDG,2022,0.21726
Malaysia,MYS,2021,0.28001
Malaysia,MYS,2022,0.37335
Mexico,MEX,2021,0.9361
Mexico,MEX,2022,0.9361
Middle Africa,,2021,0.39921
Middle Africa,,2022,0.43831
Myanmar,MMR,2021,0.26909
Myanmar,MMR,2022,0.26909
Namibia,NAM,2021,0.27011
Namibia,NAM,2022,0.27011
Nepal,NPL,2021,0.65625
Nepal,NPL,2022,0.64513
Netherlands,NLD,2021,0.76512
Netherlands,NLD,2022,0.6332
Nigeria,NGA,2021,0.14599
Nigeria,NGA,2022,0.14599
Northern Africa,,2021,0.2163
Northern Africa,,2022,0.2163
Northern Africa (exc. Sudan),,2021,0.2163
Northern Africa (exc. Sudan),,2022,0.2163
Northern Africa and Western Asia,,2021,0.2541
Northern Africa and Western Asia,,2022,0.25132
Northern America,,2021,0.71499
Northern America,,2022,0.69847
Northern Europe,,2021,0.56244
Northern Europe,,2022,0.76497
Oceania,,2021,1.01323
Oceania,,2022,1.05307
Oman,OMN,2021,0.5426
Oman,OMN,2022,0.54899
Pakistan,PAK,2021,0.39167
Pakistan,PAK,2022,0.38697
Paraguay,PRY,2021,0.35768
Paraguay,PRY,2022,0.31297
Philippines,PHL,2021,0.56556
Philippines,PHL,2022,0.56556
Poland,POL,2021,0.45489
Poland,POL,2022,0.45489
Romania,ROU,2021,0.34621
Romania,ROU,2022,0.34621
Russia,RUS,2021,0.30395
Russia,RUS,2022,0.3901
Rwanda,RWA,2021,0.72972
Rwanda,RWA,2022,0.65675
Saint Lucia,LCA,2021,0.52896
Saint Lucia,LCA,2022,0.8816
Slovenia,SVN,2021,0.19777
Slovenia,SVN,2022,0.19777
Small Island Developing States (SIDS),,2021,0.6642
Small Island Developing States (SIDS),,2022,0.61376
Somalia,SOM,2021,0.47207
Somalia,SOM,2022,0.50839
South America,,2021,0.5072
South America,,2022,0.53501
South Sudan,SSD,2021,0.2373
South Sudan,SSD,2022,0.63561
South-eastern Asia,,2021,0.25687
South-eastern Asia,,2022,0.26555
Southern Africa,,2021,0.45759
Southern Africa,,2022,0.45759
Southern Asia,,2021,0.3787
Southern Asia,,2022,0.38491
Southern Europe,,2021,0.675
Southern Europe,,2022,0.669
Spain,ESP,2021,0.79351
Spain,ESP,2022,0.76412
Sub-Saharan Africa,,2021,0.45699
Sub-Saharan Africa,,2022,0.48745
Sub-Saharan Africa (inc. Sudan),,2021,0.45699
Sub-Saharan Africa (inc. Sudan),,2022,0.48745
Switzerland,CHE,2021,0.51413
Switzerland,CHE,2022,0.55697
Tajikistan,TJK,2021,0.44044
Tajikistan,TJK,2022,0.50336
Thailand,THA,2021,0.19468
Thailand,THA,2022,0.19625
Trinidad and Tobago,TTO,2021,0.79245
Trinidad and Tobago,TTO,2022,0.79245
Turkmenistan,TKM,2022,0.48515
United Kingdom,GBR,2021,0.54566
United States,USA,2021,0.48553
United States,USA,2022,0.46611
Uruguay,URY,2021,0.60145
Uruguay,URY,2022,0.60145
Uzbekistan,UZB,2021,0.44901
Uzbekistan,UZB,2022,0.44901
Western Africa,,2021,0.23488
Western Africa,,2022,0.24326
Western Asia,,2021,0.39776
Western Asia,,2022,0.38736
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2021,0.39776
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2022,0.38736
Western Europe,,2021,0.70769
Western Europe,,2022,0.69673
World,OWID_WRL,2021,0.4966
World,OWID_WRL,2022,0.50256
Zimbabwe,ZWE,2021,0.77627
Zimbabwe,ZWE,2022,0.78347
