Entity,Code,Year,"16.b.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - Both sexes - No breakdown by disability - All grounds or no breakdown"
Bolivia,BOL,2018,18
Canada,CAN,2014,13.3
Central African Republic,CAF,2019,29.4
Chad,TCD,2019,15.1
Chile,CHL,2015,12.1
Chile,CHL,2017,11.2
Cuba,CUB,2019,2.6
Democratic Republic of Congo,COD,2018,24
Denmark,DNK,2014,4.9
Denmark,DNK,2016,22.5
Estonia,EST,2014,10.6
Estonia,EST,2016,8.3
Estonia,EST,2018,7.8
France,FRA,2018,23.5
France,FRA,2019,23.5
Georgia,GEO,2018,5.4
Hungary,HUN,2015,14.6
Ireland,IRL,2014,11.8
Ireland,IRL,2019,17.7
Kiribati,KIR,2018,33.6
Kosovo,OWID_KOS,2020,11.4
Lesotho,LSO,2018,22.1
Madagascar,MDG,2018,19.5
Mexico,MEX,2017,20.2
Moldova,MDA,2018,26.3
Mongolia,MNG,2018,18.9
Montenegro,MNE,2018,6.1
Netherlands,NLD,2014,9.2
Netherlands,NLD,2016,7.6
Netherlands,NLD,2018,8.7
New Zealand,NZL,2016,17
New Zealand,NZL,2018,17.4
Norway,NOR,2015,8
Palestine,PSE,2018,10.5
Peru,PER,2015,17.3
Peru,PER,2016,18.7
Peru,PER,2017,15.8
Peru,PER,2018,14.8
Peru,PER,2019,12.6
Poland,POL,2015,8.2
Samoa,WSM,2020,18.9
Suriname,SUR,2018,11.7
Sweden,SWE,2015,40
Sweden,SWE,2016,47
Sweden,SWE,2018,48
Switzerland,CHE,2016,27.2
Switzerland,CHE,2018,28.3
Thailand,THA,2019,11.75
Tonga,TON,2019,21.35
Tunisia,TUN,2018,15.7
Zimbabwe,ZWE,2019,25.6
