Entity,Code,Year,"17.13.1 - Gross public sector debt, Central Government, as a proportion of GDP (%) - DP_DOD_DLD2_CR_CG_Z1"
Australia,AUS,1995,4.38096
Australia,AUS,1996,4.12077
Australia,AUS,1997,3.91142
Australia,AUS,1998,3.14055
Australia,AUS,1999,12.68858
Australia,AUS,2000,10.82881
Australia,AUS,2001,9.67175
Australia,AUS,2002,8.62008
Australia,AUS,2003,6.80523
Australia,AUS,2004,6.22099
Australia,AUS,2005,5.93028
Australia,AUS,2006,5.47884
Australia,AUS,2007,5.3322
Australia,AUS,2008,4.94669
Australia,AUS,2009,10.18723
Australia,AUS,2010,13.58426
Australia,AUS,2011,15.86058
Australia,AUS,2012,17.98729
Australia,AUS,2013,19.58234
Australia,AUS,2014,22.54945
Australia,AUS,2015,24.83188
Australia,AUS,2016,27.78122
Australia,AUS,2017,29.06925
Australia,AUS,2018,28.83003
Australia,AUS,2019,28.41065
Australia,AUS,2020,41.00188
Australia,AUS,2021,40.71535
Austria,AUT,1995,0
Austria,AUT,1996,0
Austria,AUT,1997,0
Austria,AUT,1998,0
Austria,AUT,1999,0
Austria,AUT,2000,60.44062
Austria,AUT,2001,60.49798
Austria,AUT,2002,61.49756
Austria,AUT,2003,61.28067
Austria,AUT,2004,60.42836
Austria,AUT,2005,63.64148
Austria,AUT,2006,62.16205
Austria,AUT,2007,59.72687
Austria,AUT,2008,63.57097
Austria,AUT,2009,73.56273
Austria,AUT,2010,74.95855
Austria,AUT,2011,73.96491
Austria,AUT,2012,74.03662
Austria,AUT,2013,73.57849
Austria,AUT,2014,76.80253
Austria,AUT,2015,77.85649
Austria,AUT,2016,75.92084
Austria,AUT,2017,72.17638
Austria,AUT,2018,68.00677
Austria,AUT,2019,65.00912
Austria,AUT,2020,76.67663
Austria,AUT,2021,78.3448
Belgium,BEL,1995,116.60087
Belgium,BEL,1996,114.04418
Belgium,BEL,1997,111.36273
Belgium,BEL,1998,106.86688
Belgium,BEL,1999,103.87403
Belgium,BEL,2000,98.93243
Belgium,BEL,2001,98.15613
Belgium,BEL,2002,95.2967
Belgium,BEL,2003,89.33361
Belgium,BEL,2004,85.08827
Belgium,BEL,2005,83.85548
Belgium,BEL,2006,80.86612
Belgium,BEL,2007,77.20411
Belgium,BEL,2008,82.73848
Belgium,BEL,2009,86.4939
Belgium,BEL,2010,85.76665
Belgium,BEL,2011,88.46737
Belgium,BEL,2012,88.96977
Belgium,BEL,2013,89.61133
Belgium,BEL,2014,90.03533
Belgium,BEL,2015,88.82631
Belgium,BEL,2016,89.15005
Belgium,BEL,2017,86.98393
Belgium,BEL,2018,84.96899
Belgium,BEL,2019,82.93772
Belgium,BEL,2020,94.15269
Belgium,BEL,2021,92.8536
Brazil,BRA,1995,0
Brazil,BRA,1996,0
Brazil,BRA,1997,0
Brazil,BRA,1998,0
Brazil,BRA,1999,0
Brazil,BRA,2000,0
Brazil,BRA,2001,0
Brazil,BRA,2002,0
Brazil,BRA,2003,0
Brazil,BRA,2004,0
Brazil,BRA,2005,0
Brazil,BRA,2006,0
Brazil,BRA,2007,0
Brazil,BRA,2008,0
Brazil,BRA,2009,54.62553
Brazil,BRA,2010,48.00989
Brazil,BRA,2011,48.4122
Brazil,BRA,2012,50.34344
Brazil,BRA,2013,47.47239
Brazil,BRA,2014,52.06848
Brazil,BRA,2015,60.60181
Brazil,BRA,2016,64.58447
Brazil,BRA,2017,68.01313
Brazil,BRA,2018,69.50871
Brazil,BRA,2019,68.67131
Brazil,BRA,2020,78.93854
Brazil,BRA,2021,74.34883
Bulgaria,BGR,1995,0
Bulgaria,BGR,1996,0
Bulgaria,BGR,1997,0
Bulgaria,BGR,1998,0
Bulgaria,BGR,1999,0
Bulgaria,BGR,2000,66.88047
Bulgaria,BGR,2001,62.25354
Bulgaria,BGR,2002,49.61343
Bulgaria,BGR,2003,41.64462
Bulgaria,BGR,2004,34.4991
Bulgaria,BGR,2005,25.19749
Bulgaria,BGR,2006,19.43711
Bulgaria,BGR,2007,15.20136
Bulgaria,BGR,2008,12.49521
Bulgaria,BGR,2009,13.20334
Bulgaria,BGR,2010,13.90257
Bulgaria,BGR,2011,15.12458
Bulgaria,BGR,2012,16.10206
Bulgaria,BGR,2013,16.46658
Bulgaria,BGR,2014,25.9997
Bulgaria,BGR,2015,25.15922
Bulgaria,BGR,2016,27.92111
Bulgaria,BGR,2017,24.0507
Bulgaria,BGR,2018,21.24977
Bulgaria,BGR,2019,19.16042
Bulgaria,BGR,2020,23.2919
Bulgaria,BGR,2021,22.66214
Canada,CAN,1995,56.90212
Canada,CAN,1996,56.36774
Canada,CAN,1997,52.66019
Canada,CAN,1998,49.64329
Canada,CAN,1999,46.56458
Canada,CAN,2000,40.81908
Canada,CAN,2001,39.07857
Canada,CAN,2002,37.56834
Canada,CAN,2003,35.33549
Canada,CAN,2004,31.53846
Canada,CAN,2005,29.27947
Canada,CAN,2006,27.08038
Canada,CAN,2007,24.43579
Canada,CAN,2008,28.18409
Canada,CAN,2009,35.97822
Canada,CAN,2010,36.36144
Canada,CAN,2011,36.20632
Canada,CAN,2012,36.88045
Canada,CAN,2013,35.99338
Canada,CAN,2014,33.65942
Canada,CAN,2015,35.01425
Canada,CAN,2016,35.58768
Canada,CAN,2017,34.44893
Canada,CAN,2018,33.29813
Canada,CAN,2019,32.87535
Canada,CAN,2020,51.24785
Canada,CAN,2021,51.34467
Croatia,HRV,1995,22.13201
Croatia,HRV,1996,24.9403
Croatia,HRV,1997,24.3813
Croatia,HRV,1998,22.15507
Croatia,HRV,1999,27.99734
Croatia,HRV,2000,33.56095
Croatia,HRV,2001,34.8147
Croatia,HRV,2002,34.85014
Croatia,HRV,2003,36.34557
Croatia,HRV,2004,39.11335
Croatia,HRV,2005,40.15717
Croatia,HRV,2006,37.7057
Croatia,HRV,2007,36.38327
Croatia,HRV,2008,38.29475
Croatia,HRV,2009,47.43454
Croatia,HRV,2010,55.98274
Croatia,HRV,2011,62.3555
Croatia,HRV,2012,68.15682
Croatia,HRV,2013,78.76651
Croatia,HRV,2014,82.2335
Croatia,HRV,2015,81.78726
Croatia,HRV,2016,78.42164
Croatia,HRV,2017,75.37948
Croatia,HRV,2018,71.8046
Croatia,HRV,2019,69.60148
Croatia,HRV,2020,85.2548
Croatia,HRV,2021,80.38359
Cyprus,CYP,1995,0
Cyprus,CYP,1996,0
Cyprus,CYP,1997,0
Cyprus,CYP,1998,0
Cyprus,CYP,1999,0
Cyprus,CYP,2000,85.20817
Cyprus,CYP,2001,87.49787
Cyprus,CYP,2002,92.06912
Cyprus,CYP,2003,95.68929
Cyprus,CYP,2004,96.25144
Cyprus,CYP,2005,95.88412
Cyprus,CYP,2006,90.57028
Cyprus,CYP,2007,84.88044
Cyprus,CYP,2008,77.32387
Cyprus,CYP,2009,89.09382
Cyprus,CYP,2010,92.7048
Cyprus,CYP,2011,103.15881
Cyprus,CYP,2012,119.42779
Cyprus,CYP,2013,146.32517
Cyprus,CYP,2014,152.58626
Cyprus,CYP,2015,149.40362
Cyprus,CYP,2016,142.98644
Cyprus,CYP,2017,131.57242
Cyprus,CYP,2018,137.00434
Cyprus,CYP,2019,129.06792
Cyprus,CYP,2020,156.82026
Cyprus,CYP,2021,149.05354
Czechia,CZE,1995,0
Czechia,CZE,1996,0
Czechia,CZE,1997,0
Czechia,CZE,1998,0
Czechia,CZE,1999,14.0096
Czechia,CZE,2000,15.83195
Czechia,CZE,2001,21.50589
Czechia,CZE,2002,24.33558
Czechia,CZE,2003,26.47557
Czechia,CZE,2004,26.3447
Czechia,CZE,2005,25.55222
Czechia,CZE,2006,25.28899
Czechia,CZE,2007,25.17165
Czechia,CZE,2008,25.95341
Czechia,CZE,2009,30.94519
Czechia,CZE,2010,34.64613
Czechia,CZE,2011,37.2546
Czechia,CZE,2012,41.52366
Czechia,CZE,2013,41.85499
Czechia,CZE,2014,39.42923
Czechia,CZE,2015,37.62142
Czechia,CZE,2016,35.73205
Czechia,CZE,2017,33.93579
Czechia,CZE,2018,32.38748
Czechia,CZE,2019,30.95634
Czechia,CZE,2020,39.03247
Czechia,CZE,2021,40.68934
Denmark,DNK,1995,0
Denmark,DNK,1996,0
Denmark,DNK,1997,0
Denmark,DNK,1998,0
Denmark,DNK,1999,0
Denmark,DNK,2000,0
Denmark,DNK,2001,0
Denmark,DNK,2002,0
Denmark,DNK,2003,0
Denmark,DNK,2004,0
Denmark,DNK,2005,0
Denmark,DNK,2006,0
Denmark,DNK,2007,0
Denmark,DNK,2008,0
Denmark,DNK,2009,0
Denmark,DNK,2010,0
Denmark,DNK,2011,0
Denmark,DNK,2012,38.9418
Denmark,DNK,2013,37.96099
Denmark,DNK,2014,38.11997
Denmark,DNK,2015,34.14062
Denmark,DNK,2016,30.87423
Denmark,DNK,2017,28.44981
Denmark,DNK,2018,26.56714
Denmark,DNK,2019,26.3468
Denmark,DNK,2020,35.10255
Denmark,DNK,2021,33.1085
Estonia,EST,1995,0
Estonia,EST,1996,0
Estonia,EST,1997,0
Estonia,EST,1998,0
Estonia,EST,1999,0
Estonia,EST,2000,3.32653
Estonia,EST,2001,2.91394
Estonia,EST,2002,3.47071
Estonia,EST,2003,3.13229
Estonia,EST,2004,2.7819
Estonia,EST,2005,2.25155
Estonia,EST,2006,2.0547
Estonia,EST,2007,1.40233
Estonia,EST,2008,1.75832
Estonia,EST,2009,3.68033
Estonia,EST,2010,3.36271
Estonia,EST,2011,3.2907
Estonia,EST,2012,10.90547
Estonia,EST,2013,11.05982
Estonia,EST,2014,11.31972
Estonia,EST,2015,10.9789
Estonia,EST,2016,10.93025
Estonia,EST,2017,9.99681
Estonia,EST,2018,9.36102
Estonia,EST,2019,9.78967
Estonia,EST,2020,18.83173
Estonia,EST,2021,20.44304
Finland,FIN,1995,0
Finland,FIN,1996,0
Finland,FIN,1997,0
Finland,FIN,1998,0
Finland,FIN,1999,0
Finland,FIN,2000,48.724
Finland,FIN,2001,44.2722
Finland,FIN,2002,41.31433
Finland,FIN,2003,43.05267
Finland,FIN,2004,41.39634
Finland,FIN,2005,37.85666
Finland,FIN,2006,35.25683
Finland,FIN,2007,31.19548
Finland,FIN,2008,29.68059
Finland,FIN,2009,37.44381
Finland,FIN,2010,42.55008
Finland,FIN,2011,44.51207
Finland,FIN,2012,47.79468
Finland,FIN,2013,49.57787
Finland,FIN,2014,51.9442
Finland,FIN,2015,54.22617
Finland,FIN,2016,53.78405
Finland,FIN,2017,52.17829
Finland,FIN,2018,50.01413
Finland,FIN,2019,49.31499
Finland,FIN,2020,57.5655
Finland,FIN,2021,57.50004
France,FRA,1995,0
France,FRA,1996,0
France,FRA,1997,0
France,FRA,1998,0
France,FRA,1999,0
France,FRA,2000,50.79346
France,FRA,2001,50.75371
France,FRA,2002,53.28691
France,FRA,2003,55.97504
France,FRA,2004,55.8951
France,FRA,2005,56.5302
France,FRA,2006,53.73246
France,FRA,2007,53.56405
France,FRA,2008,57.35557
France,FRA,2009,69.43815
France,FRA,2010,70.71611
France,FRA,2011,72.46833
France,FRA,2012,75.34554
France,FRA,2013,77.81099
France,FRA,2014,78.84759
France,FRA,2015,79.58509
France,FRA,2016,81.94003
France,FRA,2017,82.75515
France,FRA,2018,83.66897
France,FRA,2019,84.20859
France,FRA,2020,97.77989
France,FRA,2021,98.89772
Germany,DEU,1995,0
Germany,DEU,1996,0
Germany,DEU,1997,0
Germany,DEU,1998,38.26142
Germany,DEU,1999,39.06238
Germany,DEU,2000,38.2269
Germany,DEU,2001,36.4169
Germany,DEU,2002,37.00912
Germany,DEU,2003,38.88353
Germany,DEU,2004,39.75231
Germany,DEU,2005,41.29808
Germany,DEU,2006,41.17556
Germany,DEU,2007,39.52345
Germany,DEU,2008,40.0514
Germany,DEU,2009,44.41101
Germany,DEU,2010,52.14318
Germany,DEU,2011,50.00329
Germany,DEU,2012,50.64553
Germany,DEU,2013,49.54007
Germany,DEU,2014,47.77143
Germany,DEU,2015,45.34426
Germany,DEU,2016,43.57403
Germany,DEU,2017,41.32942
Germany,DEU,2018,39.28482
Germany,DEU,2019,37.42416
Germany,DEU,2020,44.93473
Germany,DEU,2021,46.1467
Greece,GRC,1995,0
Greece,GRC,1996,0
Greece,GRC,1997,0.10112
Greece,GRC,1998,0.09899
Greece,GRC,1999,0.10539
Greece,GRC,2000,112.09205
Greece,GRC,2001,113.92383
Greece,GRC,2002,112.87049
Greece,GRC,2003,110.20771
Greece,GRC,2004,112.69447
Greece,GRC,2005,117.68033
Greece,GRC,2006,113.69466
Greece,GRC,2007,112.88788
Greece,GRC,2008,119.28572
Greece,GRC,2009,136.92555
Greece,GRC,2010,158.65592
Greece,GRC,2011,186.85326
Greece,GRC,2012,166.38762
Greece,GRC,2013,182.96862
Greece,GRC,2014,186.69853
Greece,GRC,2015,183.93425
Greece,GRC,2016,187.94995
Greece,GRC,2017,186.11798
Greece,GRC,2018,196.13471
Greece,GRC,2019,190.28984
Greece,GRC,2020,218.42863
Greece,GRC,2021,212.27429
Hungary,HUN,1995,83.52804
Hungary,HUN,1996,71.51449
Hungary,HUN,1997,62.66306
Hungary,HUN,1998,60.22431
Hungary,HUN,1999,60.26198
Hungary,HUN,2000,55.28104
Hungary,HUN,2001,51.62459
Hungary,HUN,2002,54.24631
Hungary,HUN,2003,56.52253
Hungary,HUN,2004,57.18057
Hungary,HUN,2005,58.65182
Hungary,HUN,2006,62.15823
Hungary,HUN,2007,62.62349
Hungary,HUN,2008,68.12683
Hungary,HUN,2009,73.6741
Hungary,HUN,2010,75.01551
Hungary,HUN,2011,75.67158
Hungary,HUN,2012,73.78449
Hungary,HUN,2013,74.55287
Hungary,HUN,2014,75.03023
Hungary,HUN,2015,73.74539
Hungary,HUN,2016,73.32817
Hungary,HUN,2017,71.35171
Hungary,HUN,2018,69.19677
Hungary,HUN,2019,65.37097
Hungary,HUN,2020,79.2323
Hungary,HUN,2021,79.19211
Iceland,ISL,1995,0
Iceland,ISL,1996,0
Iceland,ISL,1997,0
Iceland,ISL,1998,0
Iceland,ISL,1999,0
Iceland,ISL,2000,0
Iceland,ISL,2001,0
Iceland,ISL,2002,0
Iceland,ISL,2003,0
Iceland,ISL,2004,0
Iceland,ISL,2005,0
Iceland,ISL,2006,0
Iceland,ISL,2007,0
Iceland,ISL,2008,0
Iceland,ISL,2009,121.78639
Iceland,ISL,2010,123.07868
Iceland,ISL,2011,131.10116
Iceland,ISL,2012,127.53184
Iceland,ISL,2013,116.13017
Iceland,ISL,2014,109.79094
Iceland,ISL,2015,91.61971
Iceland,ISL,2016,75.00683
Iceland,ISL,2017,62.04991
Iceland,ISL,2018,54.75152
Iceland,ISL,2019,60.71621
Iceland,ISL,2020,68.78441
Iceland,ISL,2021,75.18723
Indonesia,IDN,1995,0
Indonesia,IDN,1996,0
Indonesia,IDN,1997,0
Indonesia,IDN,1998,0
Indonesia,IDN,1999,0
Indonesia,IDN,2000,0
Indonesia,IDN,2001,0
Indonesia,IDN,2002,0
Indonesia,IDN,2003,0
Indonesia,IDN,2004,0
Indonesia,IDN,2005,0
Indonesia,IDN,2006,0
Indonesia,IDN,2007,0
Indonesia,IDN,2008,0
Indonesia,IDN,2009,0
Indonesia,IDN,2010,23.42255
Indonesia,IDN,2011,22.1201
Indonesia,IDN,2012,22.44967
Indonesia,IDN,2013,23.67185
Indonesia,IDN,2014,23.91462
Indonesia,IDN,2015,26.28544
Indonesia,IDN,2016,26.98678
Indonesia,IDN,2017,28.068
Indonesia,IDN,2018,29.27914
Indonesia,IDN,2019,29.70952
Indonesia,IDN,2020,38.59773
Indonesia,IDN,2021,39.55633
Ireland,IRL,1995,77.48885
Ireland,IRL,1996,69.58236
Ireland,IRL,1997,61.25504
Ireland,IRL,1998,51.10769
Ireland,IRL,1999,46.20843
Ireland,IRL,2000,36.07889
Ireland,IRL,2001,33.19534
Ireland,IRL,2002,30.5012
Ireland,IRL,2003,29.46208
Ireland,IRL,2004,27.66385
Ireland,IRL,2005,25.83785
Ireland,IRL,2006,23.42045
Ireland,IRL,2007,23.74786
Ireland,IRL,2008,42.29535
Ireland,IRL,2009,61.28859
Ireland,IRL,2010,85.6946
Ireland,IRL,2011,110.25471
