Entity,Code,Year,17.15.1 - Proportion of results indicators drawn from country-led results frameworks - data by provider (%) - SG_PLN_PRVRICTRY,17.15.1 - Proportion of results indicators which will be monitored using government sources and monitoring systems - data by recipient (%) - SG_PLN_RECRIMON,17.15.1 - Proportion of results indicators which will be monitored using government sources and monitoring systems - data by provider (%) - SG_PLN_PRVRIMON,17.15.1 - Proportion of results indicators drawn from country-led results frameworks - data by recipient (%) - SG_PLN_RECRICTRY,17.15.1 - Extent of use of country-owned results frameworks and planning tools by providers of development cooperation - data by provider (%)  - SG_PLN_PRPOLRES
Afghanistan,AFG,2016,,72.2,,42.2,
Afghanistan,AFG,2018,,46.47676,,52.53623,
Albania,ALB,2016,,74.5,,89.2,
Albania,ALB,2018,,50.49388,,75.76326,
Angola,AGO,2016,,100,,97,
Angola,AGO,2018,,53.2258,,50,
Armenia,ARM,2016,,59.6,,39.2,
Armenia,ARM,2018,,34.30555,,37.36111,
Australia,AUS,2016,64.2,,67.3,,71.9
Australia,AUS,2018,39.3545,,37.05939,,53.14425
Australia and New Zealand,,2016,54.5,,57,,65.05
Australia and New Zealand,,2018,33.87165,,39.83527,,45.98121
Austria,AUT,2016,81,,70.3,,83.8
Austria,AUT,2018,91.90809,,41.72078,,61.20963
Azerbaijan,AZE,2018,,23.94872,,40.71795,
Bangladesh,BGD,2016,,49.9,,57.9,
Bangladesh,BGD,2018,,64.1657,,71.05874,
Belarus,BLR,2016,,55.5,,65.9,
Belarus,BLR,2018,,23.82206,,26.37845,
Belgium,BEL,2016,73.7,,68.1,,77.7
Belgium,BEL,2018,30.51505,,25.83096,,32.11534
Benin,BEN,2016,,70.2,,68.7,
Benin,BEN,2018,,65.83807,,60.21713,
Bhutan,BTN,2016,,52.4,,75.4,
Bhutan,BTN,2018,,87.87879,,89.85507,
Bolivia,BOL,2016,,44.3,,68.2,
Bosnia and Herzegovina,BIH,2018,,25.24998,,22.89773,
Burkina Faso,BFA,2016,,44.7,,43.4,
Burkina Faso,BFA,2018,,61.44336,,69.54874,
Burundi,BDI,2016,,62.8,,62.8,
Burundi,BDI,2018,,73.18996,,76.58781,
Cambodia,KHM,2016,,79.2,,75,
Cambodia,KHM,2018,,43.71723,,52.28961,
Cameroon,CMR,2016,,54.2,,61.4,
Cameroon,CMR,2018,,71.63531,,71.75435,
Canada,CAN,2016,45.8,,43.2,,53.8
Canada,CAN,2018,51.92603,,43.94604,,56.4018
Cape Verde,CPV,2018,,25.4902,,20,
Central African Republic,CAF,2016,,52.4,,39.7,
Central African Republic,CAF,2018,,22.85714,,46.38655,
Central Asia,,2018,,46.47676,,52.53623,
Central and Southern Asia,,2016,,62.72857,,65.68571,
Central and Southern Asia,,2018,,61.21761,,68.94771,
Chad,TCD,2016,,53.4,,62.2,
Chad,TCD,2018,,20,,29.8476,
China,CHN,2016,100,,66.7,,88.9
China,CHN,2018,100,,100,,83.33333
Colombia,COL,2016,,38.1,,41.7,
Comoros,COM,2016,,62,,68,
Comoros,COM,2018,,85.28062,,87.87815,
Congo,COG,2016,,16.7,,80.6,
Congo,COG,2018,,42.5,,75,
Cook Islands,COK,2016,,75,,90.5,
Cook Islands,COK,2018,,78.61363,,43.30784,
Costa Rica,CRI,2016,,32.8,,69.2,
Costa Rica,CRI,2018,,20.90476,,35.19047,
Cote d'Ivoire,CIV,2016,,35.3,,42.7,
Cote d'Ivoire,CIV,2018,,67.45124,,52.97386,
Czechia,CZE,2016,38.9,,44.4,,61.1
Czechia,CZE,2018,43.05556,,43.05556,,52.77778
Democratic Republic of Congo,COD,2016,,52.3,,62.6,
Democratic Republic of Congo,COD,2018,,17.82738,,39.65054,
Denmark,DNK,2016,58.1,,32.7,,56.4
Denmark,DNK,2018,32.72832,,31.06165,,47.92999
Dominican Republic,DOM,2016,,39.2,,73.6,
Dominican Republic,DOM,2018,,58.85673,,49.33292,
Eastern Asia,,2018,66.84936,,59.27122,,66.34103
Eastern and South-Eastern Asia,,2016,82.875,49.04286,72,56.41429,83.175
Eastern and South-Eastern Asia,,2018,66.84936,42.15036,59.27122,45.5126,66.34103
Egypt,EGY,2016,,39,,63.7,
Egypt,EGY,2018,,57.41769,,73.31688,
El Salvador,SLV,2016,,49.9,,56.1,
El Salvador,SLV,2018,,18.11594,,41.02564,
Equatorial Guinea,GNQ,2018,,100,,100,
Ethiopia,ETH,2016,,70.1,,82.8,
Ethiopia,ETH,2018,,73.05095,,77.86489,
Europe,,2018,49.61573,43.44423,0.39974,43.78632,55.3164
Europe and Northern America,,2016,55.25417,52.55,49.775,62.825,64.14583
Europe and Northern America,,2018,48.80971,43.44423,39.44438,43.78632,54.84912
Fiji,FJI,2016,,71,,56.1,
Fiji,FJI,2018,,41.66667,,47.22222,
Finland,FIN,2016,74.6,,37.5,,67
Finland,FIN,2018,65.625,,73.125,,79.58333
France,FRA,2016,53.8,,35.7,,60
France,FRA,2018,50.24115,,41.84451,,59.63295
Gabon,GAB,2016,,84,,79.4,
Gambia,GMB,2016,,34.1,,17,
Gambia,GMB,2018,,58.43138,,67.45098,
Georgia,GEO,2018,,30.38907,,40.24592,
Germany,DEU,2016,54.7,,50.9,,62.8
Germany,DEU,2018,64.28356,,40.35148,,65.67757
Guatemala,GTM,2016,,53.8,,92.3,
Guatemala,GTM,2018,,35.07232,,47.17445,
Guinea,GIN,2016,,48.1,,51.9,
Guinea,GIN,2018,,64.6875,,82.5,
Guinea-Bissau,GNB,2018,,61.01533,,78.54406,
Haiti,HTI,2018,,44.43075,,60.29673,
Honduras,HND,2016,,77.9,,68.7,
Honduras,HND,2018,,47.11363,,52.20852,
Iceland,ISL,2016,100,,100,,100
Iceland,ISL,2018,100,,100,,100
Ireland,IRL,2016,65.2,,50.2,,68.8
Ireland,IRL,2018,54.82652,,44.57774,,54.50227
Italy,ITA,2016,54.8,,43,,60.4
Italy,ITA,2018,57.39595,,54.11483,,68.45231
Japan,JPN,2016,70.4,,63.2,,75.9
Japan,JPN,2018,61.34354,,49.87654,,64.18976
Jordan,JOR,2018,,49.69136,,46.13636,
Kenya,KEN,2016,,49.4,,60.2,
Kenya,KEN,2018,,44.03369,,47.30073,
Kiribati,KIR,2016,,64.7,,59.6,
Kiribati,KIR,2018,,85,,83.33333,
Kosovo,OWID_KOS,2016,,41,,50.7,
Kosovo,OWID_KOS,2018,,60.66714,,63.46476,
Kuwait,KWT,2016,50,,50,,40
Kyrgyzstan,KGZ,2016,,88.1,,89.9,
Landlocked developing countries (LLDCs),,2016,,55.38696,,57.00435,
Landlocked developing countries (LLDCs),,2018,,47.58677,,59.09585,
Laos,LAO,2016,,55.6,,62.6,
Laos,LAO,2018,,40.51318,,57.33522,
Latin America and the Caribbean,,2016,,52.13636,,58.09091,
Latin America and the Caribbean,,2018,,37.41569,,47.53812,
Least developed countries (LDCs),,2016,,86.40976,,59.47073,
Least developed countries (LDCs),,2018,,51.59385,,62.02281,
Liberia,LBR,2016,,53.5,,51.8,
Liberia,LBR,2018,,0,,33.33333,
Luxembourg,LUX,2016,95.8,,92,,95.9
Luxembourg,LUX,2018,33.52783,,24.90325,,43.5511
Madagascar,MDG,2016,,47.7,,46.7,
Madagascar,MDG,2018,,28.78704,,55.78211,
Malawi,MWI,2016,,54.7,,74.6,
Malawi,MWI,2018,,58.92372,,74.95755,
Mali,MLI,2016,,46.3,,54.9,
Mali,MLI,2018,,43.51172,,58.74096,
Marshall Islands,MHL,2016,,100,,100,
Marshall Islands,MHL,2018,,100,,100,
Mauritania,MRT,2016,,38.9,,90.7,
Mauritania,MRT,2018,,54.54546,,61.21212,
Micronesia (country),FSM,2016,,100,,100,
Moldova,MDA,2016,,39.2,,45.5,
Moldova,MDA,2018,,33.76568,,53.26135,
Monaco,MCO,2016,66.7,,100,,88.9
Monaco,MCO,2018,0,,0,,33.33333
Mongolia,MNG,2016,,40.3,,51,
Montenegro,MNE,2018,,66.66667,,20.95238,
Mozambique,MOZ,2016,,51.5,,65.4,
Mozambique,MOZ,2018,,49.66616,,68.15475,
Myanmar,MMR,2016,,38.4,,55.7,
Myanmar,MMR,2018,,42.22067,,26.91298,
Nauru,NRU,2016,,92.3,,87.2,
Nauru,NRU,2018,,72.54902,,72.54902,
Nepal,NPL,2016,,46.8,,53.1,
Nepal,NPL,2018,,46.34918,,62.34081,
Netherlands,NLD,2016,57.6,,60.1,,63.8
Netherlands,NLD,2018,58.36084,,44.77785,,55.65616
New Zealand,NZL,2016,44.8,,46.7,,58.2
New Zealand,NZL,2018,28.38879,,42.61115,,38.81816
Niger,NER,2016,,51.1,,50.1,
Niger,NER,2018,,42.939,,54.85358,
Nigeria,NGA,2016,,71,,70.2,
Nigeria,NGA,2018,,32.49444,,27.82051,
Niue,NIU,2016,,55.6,,72.2,
Northern Africa,,2018,,57.41769,,73.31688,
Northern Africa and Western Asia,,2016,77.16667,32.86667,33.33333,42.63333,35.56667
Northern Africa and Western Asia,,2018,100,39.15048,100,47.55564,100
Northern America,,2018,40.74951,,34.15183,,50.17635
Norway,NOR,2016,59.7,,55,,61.4
Norway,NOR,2018,61.79653,,52.07792,,61.95815
Oceania,,2018,33.87165,75.56586,39.83527,69.28248,45.98121
Oceania (exc. Australia and New Zealand),,2016,,76.85714,,79.17143,
Oceania (exc. Australia and New Zealand),,2018,,75.56586,,69.28248,
Other non-specified areas in Eastern Asia,,2016,100,,100,,100
Pakistan,PAK,2016,,51.6,,65.1,
Palau,PLW,2016,,100,,100,
Palau,PLW,2018,,25,,0,
Papua New Guinea,PNG,2016,,75.1,,81.1,
Papua New Guinea,PNG,2018,,44.37174,,60.87174,
Paraguay,PRY,2016,,100,,50,
Paraguay,PRY,2018,,58.46561,,87.03704,
Peru,PER,2016,,46.3,,53.9,
Peru,PER,2018,,43.99863,,54.40614,
Philippines,PHL,2016,,65.4,,70.7,
Philippines,PHL,2018,,47.73854,,55.93719,
Portugal,PRT,2016,27.9,,92.3,,73.4
Portugal,PRT,2018,34.88095,,22.85714,,49.54906
Romania,ROU,2016,0,,0,,33.3
Rwanda,RWA,2016,,51,,57.5,
Rwanda,RWA,2018,,79.63793,,74.11499,
Saint Lucia,LCA,2018,,9.375,,46.875,
Saint Vincent and the Grenadines,VCT,2016,,16.7,,0,
Samoa,WSM,2016,,100,,100,
Samoa,WSM,2018,,100,,100,
Sao Tome and Principe,STP,2016,,94.4,,88.9,
Sao Tome and Principe,STP,2018,,33.33333,,37.5,
Saudi Arabia,SAU,2016,50,,50,,66.7
Senegal,SEN,2016,,65.7,,88.2,
Senegal,SEN,2018,,50.60548,,66.35146,
Seychelles,SYC,2018,,83.33333,,100,
Sierra Leone,SLE,2016,,40.6,,62.8,
Sierra Leone,SLE,2018,,29.16667,,30,
Slovakia,SVK,2016,50,,0,,50
Slovenia,SVN,2016,0,,0,,33.3
Slovenia,SVN,2018,6.25,,6.25,,20.83333
Small Island Developing States (SIDS),,2016,,68.3,,71.66111,
Small Island Developing States (SIDS),,2018,,68.93167,,77.51307,
Solomon Islands,SLB,2016,,30.2,,61.2,
Solomon Islands,SLB,2018,,8.17308,,8.43531,
Somalia,SOM,2016,,37.1,,39.3,
Somalia,SOM,2018,,82.96297,,100,
South Korea,KOR,2016,61.1,,58.1,,67.9
South Korea,KOR,2018,39.20455,,27.93713,,52.29509
South Sudan,SSD,2016,,12.6,,9.6,
South-eastern Asia,,2018,,42.15036,,45.5126,
Southern Asia,,2018,,61.21761,,68.94771,
Spain,ESP,2016,92.5,,79.7,,89.6
