Entity,Code,Year,"17.16.1 - Number of countries reporting progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals, Recipient (1 = YES; 0 = NO) - SG_PLN_MSTKSDG_R"
Afghanistan,AFG,2016,1
Armenia,ARM,2016,1
Bangladesh,BGD,2016,1
Benin,BEN,2016,1
Benin,BEN,2018,1
Bhutan,BTN,2018,1
Cambodia,KHM,2016,1
Cape Verde,CPV,2018,1
Central and Southern Asia,,2016,4
Central and Southern Asia,,2018,3
Chad,TCD,2018,1
Colombia,COL,2016,1
Comoros,COM,2018,1
Congo,COG,2016,1
Congo,COG,2018,1
Cook Islands,COK,2018,1
Costa Rica,CRI,2018,1
Cote d'Ivoire,CIV,2016,1
Cote d'Ivoire,CIV,2018,1
Democratic Republic of Congo,COD,2016,1
Eastern and South-Eastern Asia,,2016,3
Eastern and South-Eastern Asia,,2018,3
Egypt,EGY,2018,1
El Salvador,SLV,2016,1
Ethiopia,ETH,2018,1
Europe,,2018,2
Europe and Northern America,,2016,2
Europe and Northern America,,2018,2
Guatemala,GTM,2016,1
Haiti,HTI,2018,1
Honduras,HND,2016,1
Kenya,KEN,2016,1
Kosovo,OWID_KOS,2016,1
Kosovo,OWID_KOS,2018,1
Landlocked developing countries (LLDCs),,2016,8
Landlocked developing countries (LLDCs),,2018,10
Latin America and the Caribbean,,2016,6
Latin America and the Caribbean,,2018,3
Least developed countries (LDCs),,2016,16
Least developed countries (LDCs),,2018,20
Liberia,LBR,2016,1
Liberia,LBR,2018,1
Madagascar,MDG,2016,1
Malawi,MWI,2016,1
Mali,MLI,2016,1
Marshall Islands,MHL,2016,1
Mauritania,MRT,2016,1
Moldova,MDA,2016,1
Moldova,MDA,2018,1
Nauru,NRU,2016,1
Nepal,NPL,2016,1
Nepal,NPL,2018,1
Niger,NER,2016,1
Northern Africa,,2018,2
Northern Africa and Western Asia,,2018,3
Oceania,,2016,5
Oceania,,2018,5
Oceania (exc. Australia and New Zealand),,2018,5
Palau,PLW,2016,1
Palau,PLW,2018,1
Papua New Guinea,PNG,2018,1
Paraguay,PRY,2018,1
Peru,PER,2016,1
Philippines,PHL,2016,1
Philippines,PHL,2018,1
Rwanda,RWA,2016,1
Saint Vincent and the Grenadines,VCT,2016,1
Samoa,WSM,2016,1
Samoa,WSM,2018,1
Sao Tome and Principe,STP,2018,1
Senegal,SEN,2016,1
Senegal,SEN,2018,1
Sierra Leone,SLE,2018,1
Small Island Developing States (SIDS),,2016,6
Small Island Developing States (SIDS),,2018,10
Solomon Islands,SLB,2016,1
Solomon Islands,SLB,2018,1
South-eastern Asia,,2018,3
Southern Asia,,2018,3
Sub-Saharan Africa,,2016,14
Sub-Saharan Africa,,2018,17
Sudan,SDN,2018,1
Timor,TLS,2018,1
Togo,TGO,2016,1
Uganda,UGA,2018,1
Vietnam,VNM,2016,1
Vietnam,VNM,2018,1
Western Asia,,2018,1
World,OWID_WRL,2018,36
Yemen,YEM,2018,1
Zimbabwe,ZWE,2018,1
