Entity,Code,Year,17.19.1 - Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars) - SG_STT_CAPTY
Afghanistan,AFG,2018,11502321.93
Albania,ALB,2018,206299.51
Algeria,DZA,2018,1124491.2
Angola,AGO,2018,365482.1708
Antigua and Barbuda,ATG,2018,27022.32
Argentina,ARG,2018,50128416.81
Armenia,ARM,2018,235622.19
Asia,,2018,100435292.194
Australia and New Zealand,,2018,47286.13
Azerbaijan,AZE,2018,886714.5
Bahamas,BHS,2018,64059.57
Bangladesh,BGD,2018,17775910.89
Barbados,BRB,2018,145992.44
Belarus,BLR,2018,72126.8
Belize,BLZ,2018,558490.47
Benin,BEN,2018,488865.36
Bermuda,BMU,2018,36969.92
Bhutan,BTN,2018,110204.07
Bolivia,BOL,2018,200543.886
Bosnia and Herzegovina,BIH,2018,1074629.137
Botswana,BWA,2018,121028.39
Brazil,BRA,2018,405554.35
Brunei,BRN,2018,4925
Burkina Faso,BFA,2018,2459135.63
Burundi,BDI,2018,76756.01
Cambodia,KHM,2018,185225.24
Cameroon,CMR,2018,5207872.02
Cape Verde,CPV,2018,649857.49
Caribbean,,2018,29655448.937
Cayman Islands,CYM,2018,13253.32
Central African Republic,CAF,2018,792630.12
Central America,,2018,2613246.558
Central Asia,,2018,1638232.462
Central and Southern Asia,,2018,67537930.27
Chad,TCD,2018,1065146.99
China,CHN,2018,265346.158
Colombia,COL,2018,76242.5353
Comoros,COM,2018,130641.61
Congo,COG,2018,25200961.87
Cook Islands,COK,2018,53303.112
Costa Rica,CRI,2018,808674.555
Cote d'Ivoire,CIV,2018,973400.17
Cuba,CUB,2018,367194.339
Curacao,CUW,2018,13351.37
Democratic Republic of Congo,COD,2018,5251906.65
Djibouti,DJI,2018,178493.18
Dominica,DMA,2018,19549.93
Dominican Republic,DOM,2018,232197.618
Eastern Africa,,2018,51645973.1664
Eastern Asia,,2018,1080815.778
Eastern Europe,,2018,1657221.66
Eastern and South-Eastern Asia,,2018,11769315.088
Ecuador,ECU,2018,213652.565
Egypt,EGY,2018,407233.479
El Salvador,SLV,2018,205785.184
Equatorial Guinea,GNQ,2018,193765.17
Eritrea,ERI,2018,130774.8664
Eswatini,SWZ,2018,109598.73
Ethiopia,ETH,2018,612414.54
Europe,,2018,39801440.25
Europe and Northern America,,2018,39838410.17
Fiji,FJI,2018,465617.13
Gabon,GAB,2018,90256.11
Gambia,GMB,2018,347279.54
Georgia,GEO,2018,75364.91
Ghana,GHA,2018,558517.33
Greece,GRC,2018,42578.28
Grenada,GRD,2018,57610.73
Guatemala,GTM,2018,144969.557
Guinea,GIN,2018,8036622.79
Guinea-Bissau,GNB,2018,406302.14
Guyana,GUY,2018,451101.78
Haiti,HTI,2018,28327908.92
Honduras,HND,2018,485133.95
India,IND,2018,484243.11
Indonesia,IDN,2018,782839.14
Iran,IRN,2018,8239.93
Iraq,IRQ,2018,5504595.606
Jamaica,JAM,2018,185737.53
Jordan,JOR,2018,4298878.55
Kazakhstan,KAZ,2018,303009.63
Kenya,KEN,2018,384126.27
Kiribati,KIR,2018,1569407.86
Kuwait,KWT,2018,47304.37
Kyrgyzstan,KGZ,2018,222040.853
Landlocked developing countries (LLDCs),,2018,73869063.251
Laos,LAO,2018,2201282.561
Latin America and the Caribbean,,2018,84641012.0553
Least developed countries (LDCs),,2018,176322214.6872
Lebanon,LBN,2018,1276220.82
Lesotho,LSO,2018,694203.73
Liberia,LBR,2018,7063351.09
Libya,LBY,2018,78510.5
Madagascar,MDG,2018,5638343.84
Malawi,MWI,2018,3966007.42
Malaysia,MYS,2018,208799.52
Maldives,MDV,2018,174524.672
Mali,MLI,2018,6506586.16
Marshall Islands,MHL,2018,2052374.73
Mauritania,MRT,2018,183081.51
Mauritius,MUS,2018,146057.26
Melanesia,OWID_MNS,2018,1626658.375
Mexico,MEX,2018,94857.322
Micronesia (country),FSM,2018,4829355.2
Middle Africa,,2018,40323797.2308
Moldova,MDA,2018,1209203.77
Mongolia,MNG,2018,492648.62
Montenegro,MNE,2018,2770774.043
Morocco,MAR,2018,1326209.7
Mozambique,MOZ,2018,14770707.28
Myanmar,MMR,2018,1891167.66
Namibia,NAM,2018,117904.59
Nauru,NRU,2018,102572.61
Nepal,NPL,2018,366560.149
New Zealand,NZL,2018,47286.13
Nicaragua,NIC,2018,202956
Niger,NER,2018,21511676.29
Nigeria,NGA,2018,40004569.33
