Entity,Code,Year,Estimated completeness of death reporting
Afghanistan,AFG,2015,7.68
Afghanistan,AFG,2016,6.26
Afghanistan,AFG,2017,8.37
Afghanistan,AFG,2018,9.76
Albania,ALB,2015,100
Albania,ALB,2016,94.82
Albania,ALB,2017,94.34
Albania,ALB,2018,88.59
Albania,ALB,2019,85.38
Algeria,DZA,2015,90.63
Algeria,DZA,2016,87.73
Algeria,DZA,2017,90.24
Algeria,DZA,2018,89.39
Algeria,DZA,2019,89.6
American Samoa,ASM,2015,87.14
American Samoa,ASM,2016,76.35
American Samoa,ASM,2017,83.27
American Samoa,ASM,2018,78.89
American Samoa,ASM,2019,72.57
Andorra,AND,2015,50.19
Andorra,AND,2016,53.99
Andorra,AND,2017,54.6
Andorra,AND,2018,55.28
Andorra,AND,2019,48.57
Antigua and Barbuda,ATG,2015,91.5
Antigua and Barbuda,ATG,2016,92.07
Antigua and Barbuda,ATG,2017,94.51
Antigua and Barbuda,ATG,2018,94.31
Antigua and Barbuda,ATG,2019,98.41
Argentina,ARG,2015,100
Argentina,ARG,2016,100
Argentina,ARG,2017,99.43
Argentina,ARG,2018,98.1
Argentina,ARG,2019,97.41
Armenia,ARM,2015,98.78
Armenia,ARM,2016,99.21
Armenia,ARM,2017,97.53
Armenia,ARM,2018,92.71
Armenia,ARM,2019,95.54
Aruba,ABW,2015,75.44
Aruba,ABW,2016,85.08
Aruba,ABW,2017,75.37
Aruba,ABW,2018,74.84
Aruba,ABW,2019,68
Australia,AUS,2015,88.79
Australia,AUS,2016,87.54
Australia,AUS,2017,89.07
Australia,AUS,2018,85.36
Australia,AUS,2019,85.94
Austria,AUT,2015,99.73
Austria,AUT,2016,95.08
Austria,AUT,2017,96.56
Austria,AUT,2018,96.58
Austria,AUT,2019,95.53
Azerbaijan,AZE,2015,79.41
Azerbaijan,AZE,2016,76.47
Azerbaijan,AZE,2017,75.8
Azerbaijan,AZE,2018,76.55
Azerbaijan,AZE,2019,75.09
Bahamas,BHS,2015,91.99
Bahamas,BHS,2016,92.6
Bahamas,BHS,2017,94.09
Bahrain,BHR,2015,81.58
Bahrain,BHR,2016,79.9
Bahrain,BHR,2017,76.38
Bahrain,BHR,2018,75.8
Bahrain,BHR,2019,70.66
Bangladesh,BGD,2015,9.91
Bangladesh,BGD,2016,14.62
Bangladesh,BGD,2017,20.21
Bangladesh,BGD,2018,23.51
Barbados,BRB,2015,91.56
Barbados,BRB,2016,91.41
Barbados,BRB,2017,91.65
Barbados,BRB,2018,86.22
Barbados,BRB,2019,95.01
Belarus,BLR,2015,99.83
Belarus,BLR,2016,99.29
Belarus,BLR,2017,99.36
Belarus,BLR,2018,100
Belarus,BLR,2019,100
Belgium,BEL,2015,100
Belgium,BEL,2016,97.94
Belgium,BEL,2017,97.88
Belgium,BEL,2018,97.92
Belgium,BEL,2019,95.66
Belize,BLZ,2015,100
Belize,BLZ,2016,100
Belize,BLZ,2017,100
Belize,BLZ,2018,100
Belize,BLZ,2019,100
Benin,BEN,2018,1.01
Benin,BEN,2019,2.64
Bermuda,BMU,2015,90.93
Bermuda,BMU,2016,91.45
Bermuda,BMU,2017,87.1
Bermuda,BMU,2018,94.09
Bermuda,BMU,2019,92.31
Bhutan,BTN,2015,99.7
Bhutan,BTN,2016,81.52
Bhutan,BTN,2017,76.53
Bhutan,BTN,2018,75.48
Bhutan,BTN,2019,71.3
Bolivia,BOL,2015,65.6
Bolivia,BOL,2016,66.96
Bolivia,BOL,2017,64.54
Bolivia,BOL,2018,65.62
Bolivia,BOL,2019,64.94
Bosnia and Herzegovina,BIH,2015,100
Bosnia and Herzegovina,BIH,2016,100
Bosnia and Herzegovina,BIH,2017,99.89
Bosnia and Herzegovina,BIH,2018,98.72
Bosnia and Herzegovina,BIH,2019,100
Botswana,BWA,2015,72.97
Botswana,BWA,2016,72.13
Botswana,BWA,2017,68.95
