Entity,Code,Year,"2.3.2 - Average income of small-scale food producers, PPP (constant 2011 international $) - SI_AGR_SSFP - Both sexes"
Albania,ALB,2005,2974.43
Armenia,ARM,2010,1028.5
Armenia,ARM,2013,1030.41
Bangladesh,BGD,2010,1058.2
Benin,BEN,2019,921.95
Bolivia,BOL,2008,1758.75
Bulgaria,BGR,2007,1472.05
Burkina Faso,BFA,2014,714.87
Burkina Faso,BFA,2019,923.74
Cambodia,KHM,2009,1387.3
Cameroon,CMR,2014,2149.01
Canada,CAN,2001,-4794.23531
Canada,CAN,2006,-4801.9659
Canada,CAN,2011,-4347.48128
Canada,CAN,2016,-2387.97461
Ecuador,ECU,2006,1898.2
Ecuador,ECU,2014,1976.42
Ethiopia,ETH,2014,539.29
Ethiopia,ETH,2016,645.02
Ethiopia,ETH,2019,628.9
Georgia,GEO,2013,1604.43
Georgia,GEO,2014,1928.79
Georgia,GEO,2015,1810.72
Georgia,GEO,2016,2971.71
Georgia,GEO,2020,1436
Ghana,GHA,2013,1558.46
Ghana,GHA,2017,1942.76
Guatemala,GTM,2011,1774.87
Guatemala,GTM,2014,2586.09
Guinea-Bissau,GNB,2019,1941.13
India,IND,2005,2124.56
India,IND,2012,1703.16
Iraq,IRQ,2007,3176.72
Iraq,IRQ,2012,3194.72
Kenya,KEN,2005,651.47
Kyrgyzstan,KGZ,2013,2076.64
Malawi,MWI,2004,144.44
Malawi,MWI,2011,281.01
Malawi,MWI,2013,621.22
Malawi,MWI,2017,373.97
Malawi,MWI,2020,496.39
Mali,MLI,2014,1334.62
Mali,MLI,2017,1439.67
Mexico,MEX,2014,1240.42
Mongolia,MNG,2014,4773.15
Mongolia,MNG,2018,3166.19
Mongolia,MNG,2019,4314.78
Mozambique,MOZ,2009,190.49
Nepal,NPL,2011,1071.37
Nicaragua,NIC,2014,1606.87
Niger,NER,2011,219.28
Niger,NER,2014,257.09
Nigeria,NGA,2013,969.75
Nigeria,NGA,2016,504.35
Nigeria,NGA,2019,477.36
Pakistan,PAK,2014,3669
Panama,PAN,2008,1381.4
Paraguay,PRY,2015,2653
Paraguay,PRY,2016,2795
Paraguay,PRY,2017,3087
Paraguay,PRY,2018,3384
Paraguay,PRY,2019,2655
Paraguay,PRY,2020,2118
Peru,PER,2010,1655.67
Peru,PER,2014,1714.65
Peru,PER,2015,1738.46
Peru,PER,2017,1593.45
Peru,PER,2018,1655.84
Peru,PER,2019,1778.52
Rwanda,RWA,2014,311.52
Senegal,SEN,2011,997.57
Senegal,SEN,2019,2686.5
Serbia,SRB,2007,2872.17
Sierra Leone,SLE,2011,663.38
South Africa,ZAF,2015,758.93
Tanzania,TZA,2009,346.5
Tanzania,TZA,2011,372.78
Tanzania,TZA,2013,494.44
Tanzania,TZA,2015,503.93
Timor,TLS,2007,1407.57777
Timor,TLS,2008,1232.35
Togo,TGO,2019,455.76
Uganda,UGA,2010,686.53
Uganda,UGA,2011,716.76
Uganda,UGA,2012,745.97
Uganda,UGA,2014,685.62
Uganda,UGA,2016,612.03
Uganda,UGA,2020,716.26
Vietnam,VNM,2010,2914.82
