Entity,Code,Year,"2.3.2 - Average income of large-scale food producers, PPP (constant 2011 international $) - SI_AGR_LSFP - Both sexes"
Albania,ALB,2005,6616.64
Armenia,ARM,2010,7202.5
Armenia,ARM,2013,7582.19
Bangladesh,BGD,2010,2874.83
Benin,BEN,2019,4923.75
Bolivia,BOL,2008,4472.05
Bulgaria,BGR,2007,6871.68
Burkina Faso,BFA,2014,1764.14
Burkina Faso,BFA,2019,1970.09
Cambodia,KHM,2009,2578.7
Cameroon,CMR,2014,5378.25
Canada,CAN,2001,27660.77863
Canada,CAN,2006,33756.62937
Canada,CAN,2011,55012.74933
Canada,CAN,2016,74071.07776
Ecuador,ECU,2006,2652.12
Ecuador,ECU,2014,3111.06
Ethiopia,ETH,2014,1190.94
Ethiopia,ETH,2016,1581.39
Ethiopia,ETH,2019,1526.15
Georgia,GEO,2013,4579.44
Georgia,GEO,2014,5736.75
Georgia,GEO,2015,5160.22
Georgia,GEO,2016,6258.91
Georgia,GEO,2020,12522
Ghana,GHA,2013,3712.63
Ghana,GHA,2017,5246.48
Guatemala,GTM,2011,2968.23
Guatemala,GTM,2014,6817.24
Guinea-Bissau,GNB,2019,5836.57
India,IND,2005,4287.19
India,IND,2012,3361.97
Iraq,IRQ,2007,10099.28
Iraq,IRQ,2012,7814.29
Kenya,KEN,2005,1366.71
Kyrgyzstan,KGZ,2013,5479.07
Malawi,MWI,2004,240.95
Malawi,MWI,2011,466.31
Malawi,MWI,2013,1457.31
Malawi,MWI,2017,590.87
Malawi,MWI,2020,611.36
Mali,MLI,2014,3479.72
Mali,MLI,2017,5113.75
Mexico,MEX,2014,5037.18
Mongolia,MNG,2014,12887.25
Mongolia,MNG,2018,10207.13
Mongolia,MNG,2019,17257.13
Mozambique,MOZ,2009,399.57
Nepal,NPL,2011,2557.72
Nicaragua,NIC,2014,7087.95
Niger,NER,2011,427.15
Niger,NER,2014,482.14
Nigeria,NGA,2013,2904.55
Nigeria,NGA,2016,1442.07
Nigeria,NGA,2019,1597.68
Pakistan,PAK,2014,8008.8
Panama,PAN,2008,4495.35
Peru,PER,2010,3326.64
Peru,PER,2014,3256.38
Peru,PER,2015,3222.94
Peru,PER,2017,2728.83
Peru,PER,2018,2870.23
Peru,PER,2019,3098.51
Rwanda,RWA,2014,750.28
Senegal,SEN,2011,2756.66
Senegal,SEN,2019,20709.52
Serbia,SRB,2007,5965.58
Sierra Leone,SLE,2011,2074.29
South Africa,ZAF,2015,1438.03
Tanzania,TZA,2009,1341.96
Tanzania,TZA,2011,1018.9
Tanzania,TZA,2013,1306.46
Tanzania,TZA,2015,1375.42
Timor,TLS,2007,3413.369
Timor,TLS,2008,3042.16
Togo,TGO,2019,1257.81
Uganda,UGA,2010,1270.56
Uganda,UGA,2011,1363.26
Uganda,UGA,2012,1300.03
Uganda,UGA,2014,1753.04
Uganda,UGA,2016,1072.94
Uganda,UGA,2020,1187.89
Vietnam,VNM,2010,8596.11
