Entity,Code,Year,2.b.1 - Agricultural export subsidies (millions of current United States dollars) - AG_PRD_XSUBDY
Africa,,1995,40663420
Africa,,1996,43496650
Africa,,1997,24293730
Africa,,1998,9962780
Africa,,1999,10926860
Africa,,2000,9482850
Africa,,2001,3813350
Africa,,2002,3278310
Africa,,2003,9635080
Africa,,2004,7277890
Africa,,2005,10126310
Africa,,2006,8498580
Africa,,2007,15747970
Africa,,2008,13285530
Africa,,2009,9955020
Africa,,2010,7653230
Africa,,2011,16463740.000000002
Africa,,2012,12720680
Africa,,2013,7975090
Africa,,2014,18245340
Africa,,2015,8275290
Africa,,2016,19506950
Africa,,2017,19382470
Africa,,2018,25348580
Africa,,2019,5686610
Americas,,1995,81079960
Americas,,1996,164748350
Americas,,1997,191612690
Americas,,1998,190305830
Americas,,1999,97633030
Americas,,2000,48963280
Americas,,2001,74039240
Americas,,2002,51217730
Americas,,2003,74669160
Americas,,2004,75259980
Americas,,2005,97719420
Americas,,2006,110155170
Americas,,2007,104955220
Americas,,2008,115580860
Americas,,2009,94773740
Americas,,2010,101291420
Americas,,2011,100246030
Americas,,2012,101229580
Americas,,2013,81717110
Americas,,2014,73408680
Americas,,2015,63427680
Americas,,2016,42008300
Americas,,2017,30282590
Americas,,2018,25295220
Americas,,2019,8843130
Asia,,1995,52009410
Asia,,1996,45909370
Asia,,1997,60587610
Asia,,1998,41487650
Asia,,1999,50327330
Asia,,2000,48311150
Asia,,2001,48456690
Asia,,2002,45959070
Asia,,2003,49622330
Asia,,2004,53461950
Asia,,2005,69936320
Asia,,2006,52128720
Asia,,2007,74404630
Asia,,2008,104686050
Asia,,2009,146666850
Asia,,2010,54911140
Asia,,2011,77666000
Asia,,2012,68913080
Asia,,2013,58693010
Asia,,2014,31816390
Asia,,2015,30236020
Asia,,2016,32224179.999999996
Asia,,2017,36434990
Asia,,2018,22711440
Asia,,2019,29154350
Australia,AUS,1995,0
Australia,AUS,1996,0
Australia,AUS,1997,0
Australia,AUS,1998,1260490
Australia,AUS,1999,2410770
Australia,AUS,2000,0
Australia,AUS,2001,0
Australia,AUS,2002,0
Australia,AUS,2003,0
Australia,AUS,2004,0
Australia,AUS,2005,0
Australia,AUS,2006,0
Australia,AUS,2007,0
Australia,AUS,2008,0
Australia,AUS,2009,0
Australia,AUS,2010,0
Australia,AUS,2011,0
Australia,AUS,2012,0
Australia,AUS,2013,0
Australia,AUS,2014,0
Australia,AUS,2015,0
Australia and New Zealand,,1995,10500
Australia and New Zealand,,1996,0
Australia and New Zealand,,1997,0
Australia and New Zealand,,1998,1260490
Australia and New Zealand,,1999,2410770
Australia and New Zealand,,2000,0
Australia and New Zealand,,2001,0
Australia and New Zealand,,2002,0
Australia and New Zealand,,2003,0
Australia and New Zealand,,2004,0
Australia and New Zealand,,2005,0
Australia and New Zealand,,2006,0
Australia and New Zealand,,2007,0
Australia and New Zealand,,2008,0
Australia and New Zealand,,2009,0
Australia and New Zealand,,2010,0
Australia and New Zealand,,2011,0
Australia and New Zealand,,2012,0
Australia and New Zealand,,2013,0
Australia and New Zealand,,2014,0
Australia and New Zealand,,2015,0
Barbados,BRB,1995,0
Barbados,BRB,1996,0
Barbados,BRB,1997,0
Barbados,BRB,1998,0
Barbados,BRB,1999,0
Barbados,BRB,2000,0
Barbados,BRB,2001,0
Barbados,BRB,2002,2550
Barbados,BRB,2003,5360
Barbados,BRB,2004,5010
Barbados,BRB,2005,2140
Barbados,BRB,2006,1260
Barbados,BRB,2015,0
Barbados,BRB,2016,0
Brazil,BRA,1995,0
Brazil,BRA,1996,0
Brazil,BRA,1997,0
Brazil,BRA,1998,0
Brazil,BRA,1999,0
Brazil,BRA,2000,0
Brazil,BRA,2001,0
Brazil,BRA,2002,0
Brazil,BRA,2003,0
Brazil,BRA,2004,0
Brazil,BRA,2005,0
Brazil,BRA,2006,0
Brazil,BRA,2007,0
Brazil,BRA,2008,0
Brazil,BRA,2009,0
Brazil,BRA,2010,0
Brazil,BRA,2011,0
Brazil,BRA,2012,0
Brazil,BRA,2013,0
Brazil,BRA,2014,0
Brazil,BRA,2015,0
Brazil,BRA,2016,0
Brazil,BRA,2017,0
Brazil,BRA,2018,0
Brazil,BRA,2019,0
Bulgaria,BGR,1995,0
Bulgaria,BGR,1996,0
Bulgaria,BGR,1997,0
Bulgaria,BGR,1998,0
Bulgaria,BGR,1999,0
Bulgaria,BGR,2000,0
Bulgaria,BGR,2001,0
Bulgaria,BGR,2002,0
Bulgaria,BGR,2003,0
Bulgaria,BGR,2004,1493780
Bulgaria,BGR,2005,3457910
Bulgaria,BGR,2006,3625100
Canada,CAN,1995,37479940
Canada,CAN,1996,4264130
Canada,CAN,1997,0
Canada,CAN,1998,0
Canada,CAN,1999,0
Canada,CAN,2000,0
Canada,CAN,2001,0
Canada,CAN,2002,0
Canada,CAN,2003,61613000
Canada,CAN,2004,72154970
Canada,CAN,2005,83417280
Canada,CAN,2006,88253910
Canada,CAN,2007,83655220
Canada,CAN,2008,84367030
Canada,CAN,2009,78942310
Canada,CAN,2010,85621420
Canada,CAN,2011,89216030
Canada,CAN,2012,100509580
Canada,CAN,2013,81717110
Canada,CAN,2014,73408680
Canada,CAN,2015,63427680
Canada,CAN,2016,42008300
Canada,CAN,2017,7682590
Canada,CAN,2018,7695220
Canada,CAN,2019,8843130
Caribbean,,1995,0
Caribbean,,1996,0
Caribbean,,1997,0
Caribbean,,1998,0
Caribbean,,1999,0
Caribbean,,2000,0
Caribbean,,2001,0
Caribbean,,2002,2550
Caribbean,,2003,5360
Caribbean,,2004,5010
Caribbean,,2005,2140
Caribbean,,2006,1260
Caribbean,,2015,0
Caribbean,,2016,0
Central America,,1995,0
Central America,,1996,0
Central America,,1997,54220220
Central America,,1998,17981630
Central America,,1999,17469480
Central America,,2000,33651770
Central America,,2001,19423970
Central America,,2002,19689190
Central America,,2003,10366260
Central America,,2004,3100000
Central America,,2005,14300000
Central America,,2006,21900000
Central America,,2007,21300000
Central America,,2008,12320000
Central America,,2009,13460000
Central America,,2010,15670000
Central America,,2011,11030000
Central America,,2012,720000
Central America,,2013,0
Central America,,2014,0
Central America,,2015,0
Central America,,2016,0
Central America,,2017,22600000
Central America,,2018,17600000
Central America,,2019,0
Central and Southern Asia,,1995,2070500
Central and Southern Asia,,1996,3800000
Central and Southern Asia,,1997,6350180
Central and Southern Asia,,1998,5400000
Central and Southern Asia,,1999,5100000
Central and Southern Asia,,2000,1500000
