Entity,Code,Year,"3.5.1 - Coverage of treatment interventions (pharmacological, psychosocial and rehabilitation and aftercare services) for substance use disorders (%) - SH_SUD_TREAT - Amphetamine-type stimulants (ATS)","3.5.1 - Coverage of treatment interventions (pharmacological, psychosocial and rehabilitation and aftercare services) for substance use disorders (%) - SH_SUD_TREAT - Cocaine","3.5.1 - Coverage of treatment interventions (pharmacological, psychosocial and rehabilitation and aftercare services) for substance use disorders (%) - SH_SUD_TREAT - Opioids"
Afghanistan,AFG,2015,,,1.1508
Albania,ALB,2017,,,6.58363
Austria,AUT,2015,,,6.50323
Austria,AUT,2017,,,4.91233
Bulgaria,BGR,2016,41.31579,,28.13529
Chile,CHL,2017,,26.62925,
Cyprus,CYP,2015,7.9646,,31.43842
Cyprus,CYP,2016,56.19048,,42.72076
Cyprus,CYP,2017,38.63636,,31.2
Czechia,CZE,2016,58.32676,,20.272
France,FRA,2017,,,85.71429
Germany,DEU,2015,20.35652,20.91915,24.14636
Germany,DEU,2016,20.68714,20.81852,23.39725
Greece,GRC,2015,,,71.56458
Greece,GRC,2016,,,68.29554
Greece,GRC,2017,,,75.93694
India,IND,2017,,,0.01072
Italy,ITA,2017,,28.19695,39.19838
Latvia,LVA,2017,6.66965,,5.61972
Lithuania,LTU,2016,2.57196,,52.7389
Luxembourg,LUX,2015,,,70.58824
Malaysia,MYS,2016,25.21849,,28.97262
Malta,MLT,2015,,,75.87822
Malta,MLT,2016,,,74.05281
Malta,MLT,2017,,,80.02513
Portugal,PRT,2015,,3.32268,63.81496
Portugal,PRT,2016,,3.51446,62.70952
Portugal,PRT,2017,,3.81812,59.20997
Romania,ROU,2016,,,7.40157
Romania,ROU,2017,,,8.89688
Singapore,SGP,2016,,,23.17263
Singapore,SGP,2017,,,29.31393
Slovenia,SVN,2015,,,24.38128
Slovenia,SVN,2016,,,28.68329
Slovenia,SVN,2017,,,25.87728
Spain,ESP,2015,,21.35313,17.23546
Spain,ESP,2017,,20.58358,16.35753
Spain,ESP,2016,,,17.9144
Sri Lanka,LKA,2015,,,2.64444
Sri Lanka,LKA,2016,,,4.8
Sri Lanka,LKA,2017,,,4.93556
United States,USA,2016,14.71904,,27.03022
United States,USA,2017,,,45.36768
Uzbekistan,UZB,2016,,,20.97786
Uzbekistan,UZB,2017,,,30.91638
