Entity,Code,Year,3.8.1 - Universal health coverage (UHC) service coverage index - SH_ACS_UNHC
Afghanistan,AFG,2000,21
Afghanistan,AFG,2005,26
Afghanistan,AFG,2010,28
Afghanistan,AFG,2015,32
Afghanistan,AFG,2017,36
Afghanistan,AFG,2019,37
Albania,ALB,2000,45
Albania,ALB,2005,55
Albania,ALB,2010,59
Albania,ALB,2015,62
Albania,ALB,2017,62
Albania,ALB,2019,62
Algeria,DZA,2000,61
Algeria,DZA,2005,65
Algeria,DZA,2010,70
Algeria,DZA,2015,75
Algeria,DZA,2017,75
Algeria,DZA,2019,75
Angola,AGO,2000,22
Angola,AGO,2005,23
Angola,AGO,2010,32
Angola,AGO,2015,37
Angola,AGO,2017,39
Angola,AGO,2019,39
Antigua and Barbuda,ATG,2000,44
Antigua and Barbuda,ATG,2005,65
Antigua and Barbuda,ATG,2010,69
Antigua and Barbuda,ATG,2015,72
Antigua and Barbuda,ATG,2017,72
Antigua and Barbuda,ATG,2019,72
Argentina,ARG,2000,68
Argentina,ARG,2005,72
Argentina,ARG,2010,73
Argentina,ARG,2015,74
Argentina,ARG,2017,74
Argentina,ARG,2019,73
Armenia,ARM,2000,46
Armenia,ARM,2005,46
Armenia,ARM,2010,57
Armenia,ARM,2015,65
Armenia,ARM,2017,68
Armenia,ARM,2019,69
Asia,,2000,41
Asia,,2005,47
Asia,,2010,56
Asia,,2015,63
Asia,,2017,66
Asia,,2019,69
Australia,AUS,2000,80
Australia,AUS,2005,82
Australia,AUS,2010,83
Australia,AUS,2015,86
Australia,AUS,2017,87
Australia,AUS,2019,87
Australia and New Zealand,,2000,80
Australia and New Zealand,,2005,81
Australia and New Zealand,,2010,83
Australia and New Zealand,,2015,86
Australia and New Zealand,,2017,86
Australia and New Zealand,,2019,87
Austria,AUT,2000,66
Austria,AUT,2005,72
Austria,AUT,2010,76
Austria,AUT,2015,79
Austria,AUT,2017,81
Austria,AUT,2019,82
Azerbaijan,AZE,2000,44
Azerbaijan,AZE,2005,39
Azerbaijan,AZE,2010,53
Azerbaijan,AZE,2015,61
Azerbaijan,AZE,2017,63
Azerbaijan,AZE,2019,65
Bahamas,BHS,2000,50
Bahamas,BHS,2005,64
Bahamas,BHS,2010,64
Bahamas,BHS,2015,67
Bahamas,BHS,2017,69
Bahamas,BHS,2019,70
Bahrain,BHR,2000,64
Bahrain,BHR,2005,67
Bahrain,BHR,2010,69
Bahrain,BHR,2015,72
Bahrain,BHR,2017,72
Bahrain,BHR,2019,71
Bangladesh,BGD,2000,24
Bangladesh,BGD,2005,26
Bangladesh,BGD,2010,37
Bangladesh,BGD,2015,45
Bangladesh,BGD,2017,48
Bangladesh,BGD,2019,51
Barbados,BRB,2000,41
Barbados,BRB,2005,68
Barbados,BRB,2010,71
Barbados,BRB,2015,73
Barbados,BRB,2017,74
Barbados,BRB,2019,75
Belarus,BLR,2000,50
Belarus,BLR,2005,55
Belarus,BLR,2010,65
Belarus,BLR,2015,69
Belarus,BLR,2017,71
Belarus,BLR,2019,74
Belgium,BEL,2000,76
Belgium,BEL,2005,79
Belgium,BEL,2010,82
Belgium,BEL,2015,84
Belgium,BEL,2017,85
Belgium,BEL,2019,86
Belize,BLZ,2000,46
Belize,BLZ,2005,59
Belize,BLZ,2010,64
Belize,BLZ,2015,64
Belize,BLZ,2017,65
Belize,BLZ,2019,67
Benin,BEN,2000,23
Benin,BEN,2005,24
Benin,BEN,2010,35
Benin,BEN,2015,37
Benin,BEN,2017,38
Benin,BEN,2019,38
Bhutan,BTN,2000,40
Bhutan,BTN,2005,38
Bhutan,BTN,2010,49
Bhutan,BTN,2015,57
Bhutan,BTN,2017,60
Bhutan,BTN,2019,62
Bolivia,BOL,2000,43
Bolivia,BOL,2005,49
Bolivia,BOL,2010,57
Bolivia,BOL,2015,65
Bolivia,BOL,2017,65
Bolivia,BOL,2019,67
Bosnia and Herzegovina,BIH,2000,43
Bosnia and Herzegovina,BIH,2005,59
Bosnia and Herzegovina,BIH,2010,59
Bosnia and Herzegovina,BIH,2015,63
Bosnia and Herzegovina,BIH,2017,65
Bosnia and Herzegovina,BIH,2019,65
Botswana,BWA,2000,32
Botswana,BWA,2005,46
Botswana,BWA,2010,51
Botswana,BWA,2015,53
Botswana,BWA,2017,54
Botswana,BWA,2019,54
Brazil,BRA,2000,69
Brazil,BRA,2005,72
Brazil,BRA,2010,74
Brazil,BRA,2015,75
Brazil,BRA,2017,75
Brazil,BRA,2019,75
Brunei,BRN,2000,55
Brunei,BRN,2005,67
Brunei,BRN,2010,73
Brunei,BRN,2015,73
Brunei,BRN,2017,78
Brunei,BRN,2019,77
Bulgaria,BGR,2000,67
Bulgaria,BGR,2005,63
Bulgaria,BGR,2010,64
Bulgaria,BGR,2015,66
Bulgaria,BGR,2017,67
Bulgaria,BGR,2019,70
Burkina Faso,BFA,2000,19
Burkina Faso,BFA,2005,26
Burkina Faso,BFA,2010,33
Burkina Faso,BFA,2015,39
Burkina Faso,BFA,2017,42
Burkina Faso,BFA,2019,43
Burundi,BDI,2000,17
Burundi,BDI,2005,25
Burundi,BDI,2010,36
Burundi,BDI,2015,40
Burundi,BDI,2017,42
Burundi,BDI,2019,44
Cambodia,KHM,2000,19
Cambodia,KHM,2005,41
Cambodia,KHM,2010,53
Cambodia,KHM,2015,58
Cambodia,KHM,2017,60
Cambodia,KHM,2019,61
Cameroon,CMR,2000,20
Cameroon,CMR,2005,30
Cameroon,CMR,2010,34
Cameroon,CMR,2015,41
Cameroon,CMR,2017,43
Cameroon,CMR,2019,44
Canada,CAN,2000,76
Canada,CAN,2005,81
Canada,CAN,2010,84
Canada,CAN,2015,89
Canada,CAN,2017,89
Canada,CAN,2019,89
Cape Verde,CPV,2000,35
Cape Verde,CPV,2005,54
Cape Verde,CPV,2010,62
Cape Verde,CPV,2015,67
Cape Verde,CPV,2017,68
Cape Verde,CPV,2019,69
Caribbean,,2000,43
Caribbean,,2005,55
Caribbean,,2010,61
Caribbean,,2015,64
Caribbean,,2017,65
Caribbean,,2019,65
Caucasus and Central Asia,,2000,47
Caucasus and Central Asia,,2005,52
Caucasus and Central Asia,,2010,61
Caucasus and Central Asia,,2015,67
Caucasus and Central Asia,,2017,69
Caucasus and Central Asia,,2019,71
Central African Republic,CAF,2000,15
Central African Republic,CAF,2005,20
Central African Republic,CAF,2010,27
Central African Republic,CAF,2015,30
Central African Republic,CAF,2017,30
Central African Republic,CAF,2019,33
Central America,,2000,57
Central America,,2005,63
Central America,,2010,68
Central America,,2015,70
Central America,,2017,71
Central America,,2019,72
Central Asia,,2000,47
Central Asia,,2005,54
Central Asia,,2010,62
Central Asia,,2015,68
Central Asia,,2017,70
Central Asia,,2019,72
Central and Southern Asia,,2000,30
Central and Southern Asia,,2005,34
