Entity,Code,Year,3.8.2 - Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income (%) - SH_XPD_EARN25
Afghanistan,AFG,2007,0.0656
Afghanistan,AFG,2013,2.01351
Afghanistan,AFG,2016,5.6139
Albania,ALB,2002,5.63629
Albania,ALB,2005,4.4974
Albania,ALB,2008,4.0759
Albania,ALB,2012,4.9454
Angola,AGO,2008,4.41569
Angola,AGO,2018,12.4773
Argentina,ARG,2004,4.70356
Argentina,ARG,2017,2.53601
Armenia,ARM,2001,5.92386
Armenia,ARM,2002,5.95909
Armenia,ARM,2003,5.57404
Armenia,ARM,2004,7.49614
Armenia,ARM,2005,6.18306
Armenia,ARM,2006,5.90793
Armenia,ARM,2007,4.06197
Armenia,ARM,2008,3.53123
Armenia,ARM,2009,3.67525
Armenia,ARM,2010,5.34746
Armenia,ARM,2011,3.32178
Armenia,ARM,2012,4.4832
Armenia,ARM,2013,4.87132
Armenia,ARM,2014,6.03367
Armenia,ARM,2015,7.58287
Armenia,ARM,2016,5.7482
Armenia,ARM,2017,7.09431
Australia,AUS,2009,0.33143
Australia,AUS,2015,0.39858
Azerbaijan,AZE,2002,1.1944
Azerbaijan,AZE,2003,1.19815
Azerbaijan,AZE,2004,1.14587
Azerbaijan,AZE,2005,1.09788
Bahrain,BHR,2005,0.7
Bahrain,BHR,2015,1.4
Bangladesh,BGD,2000,4.76626
Bangladesh,BGD,2005,3.59314
Bangladesh,BGD,2010,4.5246
Bangladesh,BGD,2016,8.44792
Barbados,BRB,2016,3.81942
Belarus,BLR,2000,0.3
Belarus,BLR,2001,0.2
Belarus,BLR,2002,0.2
Belarus,BLR,2003,0.2
Belarus,BLR,2004,0.1
Belarus,BLR,2005,0.1
Belarus,BLR,2006,0.1
Belarus,BLR,2007,0.2
Belarus,BLR,2008,0.2
Belarus,BLR,2009,0.2
Belarus,BLR,2010,0.2
Belarus,BLR,2011,0.3
Belarus,BLR,2012,0.2
Belarus,BLR,2013,0.5
Belarus,BLR,2014,0.4
Belarus,BLR,2015,0.5
Belarus,BLR,2016,0.6
Belarus,BLR,2017,0.7
Belarus,BLR,2018,0.5
Belarus,BLR,2019,0.6
Belarus,BLR,2020,0.6
Belgium,BEL,2009,1.3945
Belize,BLZ,2018,3.1
Benin,BEN,2003,0.8519
Benin,BEN,2011,0.96259
Benin,BEN,2015,0.97717
Bhutan,BTN,2000,0.41991
Bhutan,BTN,2003,2.57366
Bhutan,BTN,2007,1.21622
Bhutan,BTN,2012,1.49735
Bhutan,BTN,2017,1.76505
Bolivia,BOL,2000,3.83919
Bolivia,BOL,2001,2.48196
Bolivia,BOL,2002,3.19549
Bolivia,BOL,2013,2.14388
Bolivia,BOL,2014,1.16739
Bolivia,BOL,2015,1.09163
Bolivia,BOL,2018,1.06485
Bolivia,BOL,2019,0.80539
Bosnia and Herzegovina,BIH,2001,3.44682
Bosnia and Herzegovina,BIH,2004,0.45228
Bosnia and Herzegovina,BIH,2007,1.8951
Bosnia and Herzegovina,BIH,2011,1.27258
Bosnia and Herzegovina,BIH,2015,1.38621
Botswana,BWA,2009,0.20519
Brazil,BRA,2008,2.08593
Brazil,BRA,2017,1.88023
Bulgaria,BGR,2000,0.69401
Bulgaria,BGR,2001,0.96339
Bulgaria,BGR,2005,0.44334
Bulgaria,BGR,2010,0.7577
Bulgaria,BGR,2015,1.27279
Bulgaria,BGR,2016,2.95882
Bulgaria,BGR,2017,2.86667
Bulgaria,BGR,2018,3.06732
Burkina Faso,BFA,2003,2.35703
Burkina Faso,BFA,2009,0.62471
Burkina Faso,BFA,2014,0.41735
Burundi,BDI,2006,1.45113
Burundi,BDI,2013,0.43286
Cambodia,KHM,2009,5.74855
Cambodia,KHM,2014,4.09818
Cambodia,KHM,2019,4.92094
Cameroon,CMR,2007,0.75594
Cameroon,CMR,2014,1.78449
Canada,CAN,2000,0.4
Canada,CAN,2001,0.4
Canada,CAN,2002,0.5
Canada,CAN,2003,0.6
Canada,CAN,2004,0.5
Canada,CAN,2005,0.4
Canada,CAN,2006,0.7
Canada,CAN,2007,0.6
Canada,CAN,2008,0.6
Canada,CAN,2009,0.5
Canada,CAN,2014,0.8
Canada,CAN,2015,0.5
Canada,CAN,2016,0.7
Canada,CAN,2017,0.9
Canada,CAN,2019,0.8
Cape Verde,CPV,2001,0.48823
Cape Verde,CPV,2007,0.02192
Cayman Islands,CYM,2015,0.00582
Central African Republic,CAF,2008,1.22225
Central and Southern Asia,,2000,2.92128
Central and Southern Asia,,2005,2.99885
Central and Southern Asia,,2010,3.39002
Central and Southern Asia,,2015,5.06977
Central and Southern Asia,,2017,5.64135
Chad,TCD,2003,0.22201
Chad,TCD,2011,1.57542
Chile,CHL,2006,1.90974
Chile,CHL,2011,2.09989
Chile,CHL,2016,2.08933
China,CHN,2002,2.99146
China,CHN,2007,5.84865
China,CHN,2013,5.26389
China,CHN,2016,9.18358
Colombia,COL,2008,3.10919
Colombia,COL,2016,2.22924
Comoros,COM,2014,1.64124
Congo,COG,2011,0.65938
Costa Rica,CRI,2004,0.4747
Costa Rica,CRI,2012,1.42252
Costa Rica,CRI,2018,1.12851
Cote d'Ivoire,CIV,2002,1.84033
Cote d'Ivoire,CIV,2008,3.96722
Cote d'Ivoire,CIV,2014,3.3709
Croatia,HRV,2004,0.13771
Croatia,HRV,2008,0.29732
Croatia,HRV,2009,0.13084
Croatia,HRV,2010,0.25681
Cyprus,CYP,2009,1.48041
Cyprus,CYP,2015,1.59415
Czechia,CZE,2010,0.05269
Democratic Republic of Congo,COD,2004,0.83749
Democratic Republic of Congo,COD,2012,0.61039
Denmark,DNK,2010,0.49398
Djibouti,DJI,2002,0.05746
Djibouti,DJI,2012,0.62037
Djibouti,DJI,2017,0.25849
Dominican Republic,DOM,2007,4.90401
Dominican Republic,DOM,2018,0.9414
Eastern and South-Eastern Asia,,2000,2.31556
Eastern and South-Eastern Asia,,2005,3.4369
Eastern and South-Eastern Asia,,2010,3.93219
Eastern and South-Eastern Asia,,2015,5.34892
Eastern and South-Eastern Asia,,2017,5.56234
Ecuador,ECU,2011,3.59541
Ecuador,ECU,2013,2.44082
Egypt,EGY,2008,0.88586
Egypt,EGY,2012,3.89644
Egypt,EGY,2015,5.07391
Egypt,EGY,2017,6.09676
El Salvador,SLV,2014,0.3044
Estonia,EST,2000,1.02066
Estonia,EST,2001,1.1988
Estonia,EST,2002,1.12054
Estonia,EST,2003,1.54059
Estonia,EST,2004,1.93293
Estonia,EST,2005,1.82565
Estonia,EST,2006,3.04948
Estonia,EST,2007,2.66158
Estonia,EST,2010,1.18824
Eswatini,SWZ,2000,2.20479
Eswatini,SWZ,2009,2.04225
Eswatini,SWZ,2016,1.29342
Ethiopia,ETH,2004,0.17633
Ethiopia,ETH,2011,0.20498
Ethiopia,ETH,2015,0.2652
Europe,,2000,1.03039
Europe,,2005,0.90455
Europe,,2010,0.94056
Europe,,2015,0.96439
Europe,,2017,0.9083
Fiji,FJI,2008,0.1106
Finland,FIN,2006,0.8362
Finland,FIN,2012,0.94361
Finland,FIN,2016,0.6581
Gabon,GAB,2005,0.2202
Gabon,GAB,2017,0.71677
Gambia,GMB,2003,0.02714
Gambia,GMB,2010,0.06157
Gambia,GMB,2015,0.02829
Georgia,GEO,2000,4.73363
Georgia,GEO,2001,4.42996
Georgia,GEO,2002,4.09416
Georgia,GEO,2003,3.90052
Georgia,GEO,2004,3.76983
Georgia,GEO,2005,4.83151
Georgia,GEO,2006,5.43991
Georgia,GEO,2007,5.88031
Georgia,GEO,2008,7.8989
Georgia,GEO,2009,9.54516
Georgia,GEO,2010,7.8503
Georgia,GEO,2011,7.09378
Georgia,GEO,2012,6.71603
Georgia,GEO,2013,6.79226
Georgia,GEO,2017,9.73797
Germany,DEU,2010,0.09587
Ghana,GHA,2005,0.49221
Ghana,GHA,2012,0.10445
Ghana,GHA,2016,0.11109
Greece,GRC,2010,1.77928
Greece,GRC,2016,1.61979
Guatemala,GTM,2000,0.3331
Guatemala,GTM,2011,2.24602
Guatemala,GTM,2014,3.77957
Guinea,GIN,2002,2.47193
Guinea,GIN,2007,0.2167
Guinea,GIN,2012,1.25234
Guinea-Bissau,GNB,2002,1.43971
Guinea-Bissau,GNB,2010,0.95383
Haiti,HTI,2012,1.82684
Haiti,HTI,2013,3.98441
Honduras,HND,2004,0.10286
Hungary,HUN,2000,0.77975
Hungary,HUN,2001,0.57927
Hungary,HUN,2002,0.74566
Hungary,HUN,2003,1.25757
Hungary,HUN,2004,0.89976
Hungary,HUN,2005,0.75788
Hungary,HUN,2006,0.5879
Hungary,HUN,2007,0.97548
Hungary,HUN,2010,0.30962
India,IND,2000,3.2661
India,IND,2001,3.05704
India,IND,2003,3.50253
India,IND,2004,3.32416
India,IND,2006,3.8391
India,IND,2007,2.78993
India,IND,2009,3.28037
India,IND,2011,4.55379
India,IND,2017,6.53458
Indonesia,IDN,2001,0.41875
Indonesia,IDN,2002,0.33113
Indonesia,IDN,2004,0.33038
Indonesia,IDN,2005,0.33662
Indonesia,IDN,2006,0.249
Indonesia,IDN,2007,0.32788
Indonesia,IDN,2009,0.4812
Indonesia,IDN,2010,0.46854
Indonesia,IDN,2011,0.90828
Indonesia,IDN,2012,0.89333
Indonesia,IDN,2013,0.91529
Indonesia,IDN,2014,1.16539
Indonesia,IDN,2015,0.40972
Indonesia,IDN,2016,0.90119
Indonesia,IDN,2017,0.87408
Iran,IRN,2005,2.92271
Iran,IRN,2007,2.94371
Iran,IRN,2008,3.47529
Iran,IRN,2009,3.58072
Iran,IRN,2010,3.68637
Iran,IRN,2011,3.06576
Iran,IRN,2012,3.22014
Iran,IRN,2013,3.76134
Iran,IRN,2014,3.78842
