Entity,Code,Year,"3.9.1 - Age-standardized mortality rate attributed to ambient air pollution (deaths per 100,000 population) - SH_AAP_ASMORT"
Afghanistan,AFG,2016,112
Albania,ALB,2016,41
Algeria,DZA,2016,43
Angola,AGO,2016,56
Antigua and Barbuda,ATG,2016,29
Argentina,ARG,2016,24
Armenia,ARM,2016,51
Australia,AUS,2016,8
Australia and New Zealand,,2016,8
Austria,AUT,2016,15
Azerbaijan,AZE,2016,56
Bahamas,BHS,2016,20
Bahrain,BHR,2016,40
Bangladesh,BGD,2016,74
Barbados,BRB,2016,30
Belarus,BLR,2016,58
Belgium,BEL,2016,16
Belize,BLZ,2016,47
Benin,BEN,2016,84
Bhutan,BTN,2016,67
Bolivia,BOL,2016,39
Bosnia and Herzegovina,BIH,2016,44
Botswana,BWA,2016,52
Brazil,BRA,2016,24
Brunei,BRN,2016,13
Bulgaria,BGR,2016,53
Burkina Faso,BFA,2016,87
Burundi,BDI,2016,70
Cambodia,KHM,2016,56
Cameroon,CMR,2016,110
Canada,CAN,2016,7
Cape Verde,CPV,2016,61
Caucasus and Central Asia,,2016,67
Central African Republic,CAF,2016,94
Central Asia,,2016,69
Central and Southern Asia,,2016,100
Chad,TCD,2016,130
Chile,CHL,2016,20
China,CHN,2016,67
Colombia,COL,2016,28
Comoros,COM,2016,57
Congo,COG,2016,60
Costa Rica,CRI,2016,19
Cote d'Ivoire,CIV,2016,103
Croatia,HRV,2016,28
Cuba,CUB,2016,30
Cyprus,CYP,2016,20
Czechia,CZE,2016,27
Democratic Republic of Congo,COD,2016,67
Denmark,DNK,2016,13
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2016,21
Developing regions,,2016,74
Djibouti,DJI,2016,70
Dominican Republic,DOM,2016,32
Eastern Asia,,2016,61
Eastern Asia (excluding Japan),,2016,65
Eastern and South-Eastern Asia,,2016,58
Ecuador,ECU,2016,20
Egypt,EGY,2016,105
El Salvador,SLV,2016,30
Equatorial Guinea,GNQ,2016,92
Eritrea,ERI,2016,80
Estonia,EST,2016,18
Eswatini,SWZ,2016,54
Ethiopia,ETH,2016,58
Europe,,2016,27
Europe and Northern America,,2016,23
Fiji,FJI,2016,35
Finland,FIN,2016,7
France,FRA,2016,10
Gabon,GAB,2016,52
Gambia,GMB,2016,93
Georgia,GEO,2016,66
Germany,DEU,2016,16
Ghana,GHA,2016,85
Greece,GRC,2016,22
Grenada,GRD,2016,41
Guatemala,GTM,2016,32
Guinea,GIN,2016,81
Guinea-Bissau,GNB,2016,78
Guyana,GUY,2016,65
Haiti,HTI,2016,57
Honduras,HND,2016,29
Hungary,HUN,2016,39
Iceland,ISL,2016,9
India,IND,2016,109
Indonesia,IDN,2016,51
Iran,IRN,2016,49
Iraq,IRQ,2016,72
Ireland,IRL,2016,12
Israel,ISR,2016,15
Italy,ITA,2016,15
Jamaica,JAM,2016,18
Japan,JPN,2016,12
Jordan,JOR,2016,50
Kazakhstan,KAZ,2016,53
Kenya,KEN,2016,30
Kiribati,KIR,2016,37
Kuwait,KWT,2016,104
Kyrgyzstan,KGZ,2016,74
Laos,LAO,2016,68
Latin America and the Caribbean,,2016,27
Latvia,LVA,2016,35
Lebanon,LBN,2016,51
Lesotho,LSO,2016,77
Liberia,LBR,2016,50
Libya,LBY,2016,72
Lithuania,LTU,2016,34
Luxembourg,LUX,2016,12
Madagascar,MDG,2016,52
Malawi,MWI,2016,38
Malaysia,MYS,2016,41
Maldives,MDV,2016,19
Mali,MLI,2016,82
Malta,MLT,2016,20
Mauritania,MRT,2016,88
Mauritius,MUS,2016,30
Mexico,MEX,2016,25
Micronesia (country),FSM,2016,41
Moldova,MDA,2016,63
Mongolia,MNG,2016,79
Montenegro,MNE,2016,43
Morocco,MAR,2016,45
Mozambique,MOZ,2016,35
Myanmar,MMR,2016,66
Namibia,NAM,2016,61
Nepal,NPL,2016,112
Netherlands,NLD,2016,14
New Zealand,NZL,2016,7
Nicaragua,NIC,2016,24
Niger,NER,2016,125
Nigeria,NGA,2016,147
North Korea,PRK,2016,81
North Macedonia,MKD,2016,46
Northern Africa,,2016,81
Northern Africa (exc. Sudan),,2016,77
Northern Africa and Western Asia,,2016,73
Northern America,,2016,13
Norway,NOR,2016,9
Oceania,,2016,17
Oceania (exc. Australia and New Zealand),,2016,40
Oman,OMN,2016,49
Pakistan,PAK,2016,98
Panama,PAN,2016,17
Papua New Guinea,PNG,2016,42
Paraguay,PRY,2016,25
Peru,PER,2016,37
Philippines,PHL,2016,72
Poland,POL,2016,38
Portugal,PRT,2016,10
Qatar,QAT,2016,46
Romania,ROU,2016,40
Russia,RUS,2016,46
Rwanda,RWA,2016,49
