Entity,Code,Year,"3.9.2 - Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (deaths per 100,000 population) - SH_STA_WASH"
Afghanistan,AFG,2016,13.9
Albania,ALB,2016,0.2
Algeria,DZA,2016,1.9
Angola,AGO,2016,48.8
Antigua and Barbuda,ATG,2016,0.1
Argentina,ARG,2016,0.4
Armenia,ARM,2016,0.2
Australia,AUS,2016,0.1
Australia and New Zealand,,2016,0.1
Austria,AUT,2016,0.1
Azerbaijan,AZE,2016,1.1
Bahamas,BHS,2016,0.1
Bahrain,BHR,2016,0
Bangladesh,BGD,2016,11.9
Barbados,BRB,2016,0.2
Belarus,BLR,2016,0.1
Belgium,BEL,2016,0.3
Belize,BLZ,2016,1
Benin,BEN,2016,59.7
Bhutan,BTN,2016,3.9
Bolivia,BOL,2016,5.6
Bosnia and Herzegovina,BIH,2016,0.1
Botswana,BWA,2016,11.8
Brazil,BRA,2016,1
Brunei,BRN,2016,0
Bulgaria,BGR,2016,0.1
Burkina Faso,BFA,2016,49.6
Burundi,BDI,2016,65.4
Cambodia,KHM,2016,6.5
Cameroon,CMR,2016,45.2
Canada,CAN,2016,0.4
Cape Verde,CPV,2016,4.1
Caucasus and Central Asia,,2016,1
Central African Republic,CAF,2016,82.1
Central Asia,,2016,1
Central and Southern Asia,,2016,16.5
Chad,TCD,2016,101
Chile,CHL,2016,0.2
China,CHN,2016,0.6
Colombia,COL,2016,0.8
Comoros,COM,2016,50.7
Congo,COG,2016,38.7
Costa Rica,CRI,2016,0.9
Cote d'Ivoire,CIV,2016,47.2
Croatia,HRV,2016,0.1
Cuba,CUB,2016,1
Cyprus,CYP,2016,0.3
Czechia,CZE,2016,0.2
Democratic Republic of Congo,COD,2016,59.8
Denmark,DNK,2016,0.3
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2016,0.2
Developing regions,,2016,14.1
Djibouti,DJI,2016,31.3
Dominican Republic,DOM,2016,2.2
Eastern Asia,,2016,0.6
Eastern Asia (excluding Japan),,2016,0.6
Eastern and South-Eastern Asia,,2016,2
Ecuador,ECU,2016,0.6
Egypt,EGY,2016,2
El Salvador,SLV,2016,2
Equatorial Guinea,GNQ,2016,22.3
Eritrea,ERI,2016,45.6
Estonia,EST,2016,0
Eswatini,SWZ,2016,27.9
Ethiopia,ETH,2016,43.7
