Entity,Code,Year,"3.9.3 - Mortality rate attributed to unintentional poisonings, by sex (deaths per 100,000 population) - SH_STA_POISN - Both sexes"
Afghanistan,AFG,2000,2.1
Afghanistan,AFG,2005,2.3
Afghanistan,AFG,2010,1.7
Afghanistan,AFG,2015,1.1
Afghanistan,AFG,2019,1
Albania,ALB,2000,0.8
Albania,ALB,2005,0.6
Albania,ALB,2010,0.5
Albania,ALB,2015,0.3
Albania,ALB,2019,0.3
Algeria,DZA,2000,1.2
Algeria,DZA,2005,1
Algeria,DZA,2010,0.8
Algeria,DZA,2015,0.7
Algeria,DZA,2019,0.7
Angola,AGO,2000,3.6
Angola,AGO,2005,3.6
Angola,AGO,2010,3
Angola,AGO,2015,2.4
Angola,AGO,2019,2
Antigua and Barbuda,ATG,2000,0.3
Antigua and Barbuda,ATG,2005,0.1
Antigua and Barbuda,ATG,2010,0.7
Antigua and Barbuda,ATG,2015,0.6
Antigua and Barbuda,ATG,2019,0.7
Argentina,ARG,2000,0.6
Argentina,ARG,2005,1
Argentina,ARG,2010,0.6
Argentina,ARG,2015,0.5
Argentina,ARG,2019,0.4
Armenia,ARM,2000,1
Armenia,ARM,2005,1.2
Armenia,ARM,2010,1.2
Armenia,ARM,2015,0.9
Armenia,ARM,2019,0.7
Australia,AUS,2000,0.4
Australia,AUS,2005,0.3
Australia,AUS,2010,0.2
Australia,AUS,2015,0.1
Australia,AUS,2019,0.1
Australia and New Zealand,,2000,0.4
Australia and New Zealand,,2005,0.3
Australia and New Zealand,,2010,0.2
Australia and New Zealand,,2015,0.2
Australia and New Zealand,,2019,0.1
Austria,AUT,2000,0.2
Austria,AUT,2005,0.2
Austria,AUT,2010,0.3
Austria,AUT,2015,0.1
Austria,AUT,2019,0.2
Azerbaijan,AZE,2000,1.3
Azerbaijan,AZE,2005,1
Azerbaijan,AZE,2010,1
Azerbaijan,AZE,2015,0.9
Azerbaijan,AZE,2019,0.9
Bahamas,BHS,2000,0.2
Bahamas,BHS,2005,0.2
Bahamas,BHS,2010,0.2
Bahamas,BHS,2015,0.2
Bahamas,BHS,2019,0.2
Bahrain,BHR,2000,0.2
Bahrain,BHR,2005,0.2
Bahrain,BHR,2010,0.2
Bahrain,BHR,2015,0.2
Bahrain,BHR,2019,0.3
Bangladesh,BGD,2000,0.3
Bangladesh,BGD,2005,0.3
Bangladesh,BGD,2010,0.3
Bangladesh,BGD,2015,0.3
Bangladesh,BGD,2019,0.3
Barbados,BRB,2000,0
Barbados,BRB,2005,0.1
Barbados,BRB,2010,0.7
Barbados,BRB,2015,0.6
Barbados,BRB,2019,0.7
Belarus,BLR,2000,8.1
Belarus,BLR,2005,7.2
Belarus,BLR,2010,4.8
Belarus,BLR,2015,3.5
Belarus,BLR,2019,3.3
Belgium,BEL,2000,0.5
Belgium,BEL,2005,0.5
Belgium,BEL,2010,0.6
Belgium,BEL,2015,0.4
Belgium,BEL,2019,0.4
Belize,BLZ,2000,0.9
Belize,BLZ,2005,0.5
Belize,BLZ,2010,0.4
Belize,BLZ,2015,0.3
Belize,BLZ,2019,0.4
Benin,BEN,2000,3.1
Benin,BEN,2005,3
Benin,BEN,2010,2.9
Benin,BEN,2015,2.9
Benin,BEN,2019,2.6
Bhutan,BTN,2000,0.5
Bhutan,BTN,2005,0.4
Bhutan,BTN,2010,0.3
Bhutan,BTN,2015,0.3
Bhutan,BTN,2019,0.2
Bolivia,BOL,2000,1.1
Bolivia,BOL,2005,0.8
Bolivia,BOL,2010,0.7
Bolivia,BOL,2015,0.6
Bolivia,BOL,2019,0.6
Bosnia and Herzegovina,BIH,2000,0.7
Bosnia and Herzegovina,BIH,2005,0.5
Bosnia and Herzegovina,BIH,2010,0.4
Bosnia and Herzegovina,BIH,2015,0.4
Bosnia and Herzegovina,BIH,2019,0.4
Botswana,BWA,2000,3.4
Botswana,BWA,2005,3
Botswana,BWA,2010,2
Botswana,BWA,2015,2
Botswana,BWA,2019,1.8
Brazil,BRA,2000,0.1
Brazil,BRA,2005,0.1
Brazil,BRA,2010,0.1
Brazil,BRA,2015,0.2
Brazil,BRA,2019,0.1
Brunei,BRN,2000,0.4
Brunei,BRN,2005,0.4
Brunei,BRN,2010,0.3
Brunei,BRN,2015,0.6
Brunei,BRN,2019,0
Bulgaria,BGR,2000,1
Bulgaria,BGR,2005,1.1
Bulgaria,BGR,2010,0.8
Bulgaria,BGR,2015,0.8
Bulgaria,BGR,2019,0.5
Burkina Faso,BFA,2000,3.5
Burkina Faso,BFA,2005,3.2
Burkina Faso,BFA,2010,2.9
Burkina Faso,BFA,2015,3.4
Burkina Faso,BFA,2019,3.1
