Entity,Code,Year,"3.b.1 - Proportion of the target population with access to affordable medicines and vaccines on a sustainable basis, human papillomavirus (HPV) (%) - SH_ACS_HPV"
Africa,,2011,0
Africa,,2012,0
Africa,,2013,1
Africa,,2014,3
Africa,,2015,3
Africa,,2016,4
Africa,,2017,5
Africa,,2018,6
Africa,,2019,16
Africa,,2020,15
Americas,,2010,7
Americas,,2011,7
Americas,,2012,24
Americas,,2013,29
Americas,,2014,42
Americas,,2015,44
Americas,,2016,51
Americas,,2017,60
Americas,,2018,55
Americas,,2019,56
Americas,,2020,40
Andorra,AND,2018,49
Andorra,AND,2019,64
Andorra,AND,2020,77
Argentina,ARG,2012,37
Argentina,ARG,2013,57
Argentina,ARG,2014,54
Argentina,ARG,2015,49
Argentina,ARG,2016,56
Argentina,ARG,2017,49
Argentina,ARG,2018,58
Argentina,ARG,2019,59
Argentina,ARG,2020,46
Armenia,ARM,2018,2
Armenia,ARM,2019,7
Armenia,ARM,2020,8
Asia,,2010,0
Asia,,2011,1
Asia,,2012,1
Asia,,2013,1
Asia,,2014,1
Asia,,2015,1
Asia,,2016,1
Asia,,2017,2
Asia,,2018,2
Asia,,2019,2
Asia,,2020,3
Australia,AUS,2010,67
Australia,AUS,2011,63
Australia,AUS,2012,65
Australia,AUS,2013,65
Australia,AUS,2014,66
Australia,AUS,2015,67
Australia,AUS,2016,71
Australia,AUS,2017,72
Australia,AUS,2018,74
Australia,AUS,2019,79
Australia,AUS,2020,66
Australia and New Zealand,,2010,63
Australia and New Zealand,,2011,60
Australia and New Zealand,,2012,63
Australia and New Zealand,,2013,64
Australia and New Zealand,,2014,65
Australia and New Zealand,,2015,66
Australia and New Zealand,,2016,69
Australia and New Zealand,,2017,69
Australia and New Zealand,,2018,71
Australia and New Zealand,,2019,77
Australia and New Zealand,,2020,66
Bahamas,BHS,2015,2
Bahamas,BHS,2016,19
Bahamas,BHS,2017,17
Bahamas,BHS,2018,10
Bahamas,BHS,2019,9
Bahamas,BHS,2020,4
Barbados,BRB,2014,8
Barbados,BRB,2015,30
Barbados,BRB,2016,15
Barbados,BRB,2017,14
Barbados,BRB,2018,26
Barbados,BRB,2019,29
Barbados,BRB,2020,7
Belgium,BEL,2012,61
Belgium,BEL,2013,63
Belgium,BEL,2014,64
Belgium,BEL,2015,66
Belgium,BEL,2016,67
Belgium,BEL,2017,67
Belgium,BEL,2018,67
Belgium,BEL,2019,67
Belize,BLZ,2017,51
Belize,BLZ,2018,54
Belize,BLZ,2019,63
Belize,BLZ,2020,11
Bhutan,BTN,2010,88
Bhutan,BTN,2011,69
Bhutan,BTN,2012,73
Bhutan,BTN,2013,68
Bhutan,BTN,2014,94
Bhutan,BTN,2015,96
Bhutan,BTN,2016,98
Bhutan,BTN,2018,96
Bhutan,BTN,2019,73
Bhutan,BTN,2020,81
Bolivia,BOL,2017,66
Bolivia,BOL,2018,62
Bolivia,BOL,2019,70
Bolivia,BOL,2020,24
Botswana,BWA,2015,67
Botswana,BWA,2016,78
Botswana,BWA,2019,47
Brazil,BRA,2014,59
Brazil,BRA,2015,50
Brazil,BRA,2016,72
Brazil,BRA,2017,97
Brazil,BRA,2018,72
Brazil,BRA,2019,62
Brazil,BRA,2020,72
Brunei,BRN,2012,98
Brunei,BRN,2013,85
Brunei,BRN,2014,81
Brunei,BRN,2015,77
Brunei,BRN,2016,87
Brunei,BRN,2017,88
Brunei,BRN,2018,89
Brunei,BRN,2019,90
Brunei,BRN,2020,86
Bulgaria,BGR,2013,22
Bulgaria,BGR,2014,14
Bulgaria,BGR,2015,4
Bulgaria,BGR,2016,3
Bulgaria,BGR,2017,3
Bulgaria,BGR,2018,5
Bulgaria,BGR,2019,4
Bulgaria,BGR,2020,2
Canada,CAN,2013,73
Canada,CAN,2014,74
Canada,CAN,2015,75
Canada,CAN,2016,79
Canada,CAN,2017,83
Canada,CAN,2018,83
Canada,CAN,2019,83
Canada,CAN,2020,87
Caribbean,,2013,0
Caribbean,,2014,0
Caribbean,,2015,0
