Entity,Code,Year,"4.2.1 - Proportion of children aged 36−59 months who are developmentally on track in at least three of the following domains: literacy-numeracy, physical development, social-emotional development, and learning (% of children aged 36-59 months) - SE_DEV_ONTRK - 36 to 59 months old - Both sexes"
Algeria,DZA,2019,76.8
Argentina,ARG,2020,86.21842
Bangladesh,BGD,2019,74.5
Barbados,BRB,2012,96.6
Belarus,BLR,2019,86.9
Belize,BLZ,2016,82.5
Benin,BEN,2018,53.6
Bhutan,BTN,2010,71.5
Bosnia and Herzegovina,BIH,2012,96.4
Burundi,BDI,2017,39.6
Cambodia,KHM,2014,73.1
Cameroon,CMR,2014,61.2
Central African Republic,CAF,2019,36.2
Chad,TCD,2019,44.9
Congo,COG,2015,60.8
Costa Rica,CRI,2018,85.5
Cote d'Ivoire,CIV,2016,62.8
Cuba,CUB,2019,94.7
Democratic Republic of Congo,COD,2018,56.7
Dominican Republic,DOM,2019,87.05101
El Salvador,SLV,2014,81
Eswatini,SWZ,2014,64.9
Fiji,FJI,2021,82.9
Gambia,GMB,2018,67
Georgia,GEO,2018,89.6
Ghana,GHA,2018,68.4
Guinea,GIN,2016,48.9
Guinea-Bissau,GNB,2019,73.2
Guyana,GUY,2014,85.6
Haiti,HTI,2017,65.4
Honduras,HND,2019,74.61714
Indonesia,IDN,2018,88.3
Iraq,IRQ,2018,79.3
Jamaica,JAM,2011,89.1
Jordan,JOR,2018,70.7
Kazakhstan,KAZ,2015,85.5
Kiribati,KIR,2019,79.9
Kyrgyzstan,KGZ,2018,71.7
Laos,LAO,2017,89.1
Lesotho,LSO,2018,73.1
Madagascar,MDG,2018,66.53016
Malawi,MWI,2014,59.8
Maldives,MDV,2017,93
Mali,MLI,2015,61.6
Marshall Islands,MHL,2017,78.9
Mauritania,MRT,2015,60
Mexico,MEX,2019,80.1
Moldova,MDA,2012,83.8
Mongolia,MNG,2018,75.7
Montenegro,MNE,2018,90.2
Nepal,NPL,2019,65.2
Nigeria,NGA,2017,61.2
North Korea,PRK,2017,87.7
North Macedonia,MKD,2019,81.8
Oman,OMN,2014,68.3
Palestine,PSE,2020,83.9
Panama,PAN,2013,80.2
Paraguay,PRY,2016,81.9
Qatar,QAT,2012,83.9
Rwanda,RWA,2020,82.36399
Saint Lucia,LCA,2012,91.4
Samoa,WSM,2020,73.3
Sao Tome and Principe,STP,2019,62.9
Senegal,SEN,2019,66.9
Serbia,SRB,2019,97.2
Sierra Leone,SLE,2017,51.4
Small Island Developing States (SIDS),,2021,77.59918
South-eastern Asia,,2021,87.96828
Sub-Saharan Africa,,2021,60.47983
Suriname,SUR,2018,77.4
Thailand,THA,2019,92.9
Togo,TGO,2017,52.4
Tonga,TON,2019,78.6
Trinidad and Tobago,TTO,2011,91.3
Tunisia,TUN,2018,82.3
Turkey,TUR,2018,73.7
Turkmenistan,TKM,2019,95
Turks and Caicos Islands,TCA,2020,91.06749
Tuvalu,TUV,2020,68.62904
Uganda,UGA,2016,65
Ukraine,UKR,2012,89
Uruguay,URY,2013,86.8
Vietnam,VNM,2014,88.7
Western Asia,,2021,76.1951
World,OWID_WRL,2021,71.27681
Zimbabwe,ZWE,2019,70.8
