Entity,Code,Year,"School life expectancy, primary, gender parity index (GPI)"
Afghanistan,AFG,1970,0.16958999633789099
Afghanistan,AFG,1971,0.164949998259544
Afghanistan,AFG,1972,0.168699994683266
Afghanistan,AFG,1973,0.176449999213219
Afghanistan,AFG,1974,0.171499997377396
Afghanistan,AFG,1975,0.18354000151157399
Afghanistan,AFG,1976,0.18953000009059898
Afghanistan,AFG,1977,0.198760002851486
Afghanistan,AFG,1978,0.205180004239082
Afghanistan,AFG,1980,0.23058000206947302
Afghanistan,AFG,1981,0.237670004367828
Afghanistan,AFG,1982,0.504299998283386
Afghanistan,AFG,1984,0.476310014724731
Afghanistan,AFG,1985,0.487349987030029
Afghanistan,AFG,1986,0.5456900000572199
Afghanistan,AFG,1988,0.5045899748802191
Afghanistan,AFG,1989,0.531289994716644
Afghanistan,AFG,1990,0.550429999828339
Afghanistan,AFG,1991,0.548539996147156
Afghanistan,AFG,1993,0.352250009775162
Afghanistan,AFG,1994,0.503359973430634
Afghanistan,AFG,1995,0.5122699737548829
Afghanistan,AFG,1999,0.0847299993038177
Afghanistan,AFG,2002,0.45976999402046204
Afghanistan,AFG,2003,0.5642200112342829
Afghanistan,AFG,2004,0.43478998541832
Afghanistan,AFG,2005,0.586610019207001
Afghanistan,AFG,2006,0.6274399757385251
Afghanistan,AFG,2007,0.619319975376129
Afghanistan,AFG,2008,0.641099989414215
Afghanistan,AFG,2009,0.662460029125214
Afghanistan,AFG,2010,0.6847000122070309
Afghanistan,AFG,2011,0.7175800204277042
Afghanistan,AFG,2012,0.724950015544891
Afghanistan,AFG,2013,0.7057399749755859
Afghanistan,AFG,2014,0.701089978218079
Albania,ALB,1976,0.952289998531342
Albania,ALB,1978,0.9621700048446659
Albania,ALB,1979,0.961319983005524
Albania,ALB,1980,0.9726300239562992
Albania,ALB,1981,0.968309998512268
Albania,ALB,1982,0.975470006465912
Albania,ALB,1983,0.990409970283508
Albania,ALB,1984,0.973550021648407
Albania,ALB,1985,0.983460009098053
Albania,ALB,1986,0.9887700080871579
Albania,ALB,1987,0.972490012645721
Albania,ALB,1988,1.00297999382019
Albania,ALB,1989,0.9968799948692321
Albania,ALB,1990,0.993009984493256
Albania,ALB,1991,0.990499973297119
Albania,ALB,1992,1.00133001804352
Albania,ALB,1993,1.01945996284485
Albania,ALB,1994,0.973990023136139
Albania,ALB,1995,0.957090020179749
Albania,ALB,1996,0.963649988174438
Albania,ALB,1997,0.956799983978271
Albania,ALB,1998,0.9595900177955631
Albania,ALB,1999,0.9692299962043759
Albania,ALB,2000,0.982850015163422
Albania,ALB,2001,0.998449981212616
Albania,ALB,2002,0.978240013122559
Albania,ALB,2003,0.992380023002625
Albania,ALB,2004,0.9982399940490719
Albania,ALB,2005,0.9912899732589721
Albania,ALB,2006,0.995440006256104
Albania,ALB,2007,0.991900026798248
Albania,ALB,2008,0.984889984130859
Albania,ALB,2009,0.9752399921417241
Albania,ALB,2010,0.976570010185242
Albania,ALB,2011,0.9725599884986881
Albania,ALB,2012,0.97325998544693
Albania,ALB,2013,0.97393000125885
Albania,ALB,2014,0.9791600108146671
Algeria,DZA,1971,0.627160012722015
Algeria,DZA,1972,0.6559200286865229
Algeria,DZA,1973,0.6638699769973749
Algeria,DZA,1974,0.6722599864006039
Algeria,DZA,1975,0.6803299784660339
Algeria,DZA,1976,0.6921100020408629
Algeria,DZA,1977,0.709529995918274
Algeria,DZA,1978,0.715870022773743
Algeria,DZA,1979,0.7306799888610841
Algeria,DZA,1980,0.7405700087547299
Algeria,DZA,1981,0.7490500211715699
Algeria,DZA,1982,0.7542899847030641
Algeria,DZA,1983,0.76282000541687
Algeria,DZA,1984,0.7695599794387821
Algeria,DZA,1985,0.782039999961853
Algeria,DZA,1986,0.799120008945465
Algeria,DZA,1987,0.814760029315948
Algeria,DZA,1988,0.82371997833252
Algeria,DZA,1989,0.8326600193977359
Algeria,DZA,1990,0.8372899889945981
Algeria,DZA,1991,0.8426899909973141
Algeria,DZA,1992,0.852819979190826
Algeria,DZA,1993,0.8608800172805791
Algeria,DZA,1994,0.8723099827766422
Algeria,DZA,1995,0.88086998462677
