Entity,Code,Year,"4.a.1 - Proportion of schools with access to electricity, by education level (%) - SE_ACS_ELECT - Primary","4.a.1 - Proportion of schools with access to electricity, by education level (%) - SE_ACS_ELECT - Upper secondary","4.a.1 - Proportion of schools with access to electricity, by education level (%) - SE_ACS_ELECT - Lower secondary"
Afghanistan,AFG,2016,,35.93895,16.54297
Afghanistan,AFG,2017,,37.03018,17.33871
Afghanistan,AFG,2018,,39.42308,19.41748
Albania,ALB,2018,94.08521,90.90909,95.68773
Albania,ALB,2019,97.71376,90.94567,95.42947
Albania,ALB,2017,,89.48413,
Andorra,AND,2016,100,100,100
Andorra,AND,2017,100,100,100
Andorra,AND,2018,100,100,100
Andorra,AND,2019,100,100,100
Angola,AGO,2016,22.35055,71.63842,65.32618
Anguilla,AIA,2010,100,100,100
Anguilla,AIA,2019,100,100,100
Antigua and Barbuda,ATG,2010,100,100,100
Antigua and Barbuda,ATG,2017,100,100,100
Antigua and Barbuda,ATG,2018,100,100,100
Argentina,ARG,2009,92.34236,99.93735,97.81967
Argentina,ARG,2015,95.3246,97.70505,97.36244
Argentina,ARG,2016,96.47887,97.91077,97.15744
Argentina,ARG,2017,96.84334,97.65454,96.81159
Argentina,ARG,2018,96.72533,96.78195,95.98749
Armenia,ARM,2018,100,100,100
Armenia,ARM,2019,100,99.52919,100
Aruba,ABW,2010,100,100,100
Australia,AUS,2000,100,100,100
Australia,AUS,2001,100,100,100
Australia,AUS,2002,100,100,100
Australia,AUS,2003,100,100,100
Australia,AUS,2004,100,100,100
Australia,AUS,2005,100,100,100
Australia,AUS,2006,100,100,100
Australia,AUS,2007,100,100,100
Australia,AUS,2008,100,100,100
Australia,AUS,2009,100,100,100
Australia,AUS,2010,100,100,100
Australia,AUS,2011,100,100,100
Australia,AUS,2012,100,100,100
Australia,AUS,2013,100,100,100
Australia,AUS,2014,100,100,100
Australia,AUS,2015,100,100,100
Australia,AUS,2016,100,100,100
Australia and New Zealand,,2000,98.24936,99.77488,99.84325
Australia and New Zealand,,2001,98.24885,99.77483,99.8432
Australia and New Zealand,,2002,98.24955,99.77484,99.8432
Australia and New Zealand,,2003,98.24869,99.77481,99.84316
Australia and New Zealand,,2004,98.24926,99.7748,99.84316
Australia and New Zealand,,2005,98.24983,99.77478,99.84313
Australia and New Zealand,,2006,98.24877,99.77474,99.8431
Australia and New Zealand,,2007,98.24566,99.77465,99.84305
Australia and New Zealand,,2008,98.2382,99.7746,99.843
Australia and New Zealand,,2009,98.23602,99.77462,99.84299
Australia and New Zealand,,2010,98.23366,99.7755,99.84335
Australia and New Zealand,,2011,98.2299,99.77526,99.84317
Australia and New Zealand,,2012,98.239,99.775,99.84298
Australia and New Zealand,,2013,98.20796,99.77529,99.84285
Australia and New Zealand,,2014,98.17982,99.77563,99.84277
Australia and New Zealand,,2015,98.15369,99.776,99.8427
Australia and New Zealand,,2016,98.1273,99.77639,99.84264
Australia and New Zealand,,2017,98.38965,99.85562,99.76426
Azerbaijan,AZE,2016,100,100,100
Azerbaijan,AZE,2017,100,100,100
Azerbaijan,AZE,2018,100,100,100
Azerbaijan,AZE,2019,100,100,100
Bahamas,BHS,2009,100,100,100
Bahrain,BHR,2016,100,100,100
Bahrain,BHR,2017,100,100,100
Bahrain,BHR,2018,100,100,100
Bahrain,BHR,2019,100,100,100
Bangladesh,BGD,2012,55.38404,71.27705,69.9289
Bangladesh,BGD,2016,43.34005,94.12973,94.07681
Bangladesh,BGD,2017,,94.73906,90.29879
Bangladesh,BGD,2018,,94.9363,92.34545
Bangladesh,BGD,2019,,93.24922,93.24938
Barbados,BRB,2009,100,100,100
Barbados,BRB,2015,100,100,100
Barbados,BRB,2016,100,100,100
Barbados,BRB,2017,100,100,100
Barbados,BRB,2018,100,100,100
Barbados,BRB,2019,100,100,100
Belarus,BLR,2016,100,100,100
Belarus,BLR,2017,100,100,100
Belarus,BLR,2018,100,100,100
Belgium,BEL,2003,100,100,100
Belgium,BEL,2004,100,100,100
Belgium,BEL,2005,100,100,100
Belgium,BEL,2006,100,100,100
Belgium,BEL,2007,100,100,100
Belgium,BEL,2008,100,100,100
Belgium,BEL,2009,100,100,100
Belgium,BEL,2010,100,100,100
Belgium,BEL,2011,100,100,100
Belgium,BEL,2012,100,100,100
Belgium,BEL,2013,100,100,100
Belgium,BEL,2014,100,100,100
Belgium,BEL,2015,100,100,100
Belgium,BEL,2016,100,100,100
Belgium,BEL,2017,100,100,100
Belgium,BEL,2018,100,100,100
Belize,BLZ,2010,84.17508,100,100
Benin,BEN,2016,20.90925,87.72846,68.47886
Benin,BEN,2018,25.58659,,
Benin,BEN,2019,28.04375,,
Bermuda,BMU,2016,100,100,100
Bhutan,BTN,2012,66.57224,100,88.15789
Bhutan,BTN,2015,87.3494,100,
Bhutan,BTN,2020,94.67005,100,100
Bhutan,BTN,2018,,100,96.47887
Bolivia,BOL,2013,72.05644,81.1344,77.55162
Botswana,BWA,2012,79.18719,100,100
Brazil,BRA,2010,90.44185,99.86791,97.47643
Brazil,BRA,2017,95.79274,99.75138,97.83152
British Virgin Islands,VGB,2010,100,100,100
British Virgin Islands,VGB,2016,100,100,100
British Virgin Islands,VGB,2017,100,100,100
British Virgin Islands,VGB,2018,100,100,100
Brunei,BRN,2016,100,100,100
Brunei,BRN,2017,100,100,100
Brunei,BRN,2018,100,100,100
Brunei,BRN,2019,100,100,100
Burkina Faso,BFA,2013,13.68846,,46.33183
