Entity,Code,Year,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+)
Afghanistan,AFG,2011,9.00501251220703
Afghanistan,AFG,2014,9.96100044250488
Afghanistan,AFG,2017,14.8933124542236
Albania,ALB,2011,28.2681255340576
Albania,ALB,2014,37.9863548278809
Albania,ALB,2017,40.0151710510254
Algeria,DZA,2011,33.2861137390137
Algeria,DZA,2014,50.4757881164551
Algeria,DZA,2017,42.7766265869141
Angola,AGO,2011,39.203540802002
Angola,AGO,2014,29.3181209564209
Arab World,,2011,22.2605381011963
Arab World,,2014,30.2771301269531
Arab World,,2017,37.165210723877
Argentina,ARG,2011,33.1302185058594
Argentina,ARG,2014,50.1972961425781
Argentina,ARG,2017,48.7084884643555
Armenia,ARM,2011,17.486873626709
Armenia,ARM,2014,17.6690654754639
Armenia,ARM,2017,47.7590179443359
Australia,AUS,2011,99.0648422241211
Australia,AUS,2014,98.8595657348633
Australia,AUS,2017,99.5193710327148
Austria,AUT,2011,97.0817413330078
Austria,AUT,2014,96.7340621948242
Austria,AUT,2017,98.1636657714844
Azerbaijan,AZE,2011,14.9008493423462
Azerbaijan,AZE,2014,29.1514930725098
Azerbaijan,AZE,2017,28.5712032318115
Bahrain,BHR,2011,64.5145721435547
Bahrain,BHR,2014,81.9393463134766
Bahrain,BHR,2017,82.6128463745117
Bangladesh,BGD,2011,31.7436485290527
Bangladesh,BGD,2014,30.9908180236816
Bangladesh,BGD,2017,50.0469131469727
Belarus,BLR,2011,58.6019821166992
Belarus,BLR,2014,71.9849853515625
Belarus,BLR,2017,81.1558837890625
Belgium,BEL,2011,96.3061294555664
Belgium,BEL,2014,98.1257553100586
Belgium,BEL,2017,98.6383209228516
Belize,BLZ,2014,48.2092514038086
Benin,BEN,2011,10.4639377593994
Benin,BEN,2014,16.6208343505859
Benin,BEN,2017,38.4892234802246
Bhutan,BTN,2014,33.6659126281738
Bolivia,BOL,2011,28.0291328430176
Bolivia,BOL,2014,41.7967185974121
Bolivia,BOL,2017,54.4050559997559
Bosnia and Herzegovina,BIH,2011,56.2116088867188
Bosnia and Herzegovina,BIH,2014,52.6850280761719
Bosnia and Herzegovina,BIH,2017,58.8434982299805
Botswana,BWA,2011,30.2600135803223
Botswana,BWA,2014,51.9645690917969
Botswana,BWA,2017,51.0324554443359
Brazil,BRA,2011,55.8603820800781
Brazil,BRA,2014,68.1231536865234
Brazil,BRA,2017,70.0439453125
Bulgaria,BGR,2011,52.8249015808105
Bulgaria,BGR,2014,62.9868278503418
Bulgaria,BGR,2017,72.2040328979492
Burkina Faso,BFA,2011,13.3530912399292
Burkina Faso,BFA,2014,14.3575963973999
Burkina Faso,BFA,2017,43.1599922180176
Burundi,BDI,2011,7.23798418045044
Burundi,BDI,2014,7.10575866699219
Cambodia,KHM,2011,3.65971183776855
Cambodia,KHM,2014,22.1652660369873
Cambodia,KHM,2017,21.6717834472656
Cameroon,CMR,2011,14.8096132278442
Cameroon,CMR,2014,12.177734375
Cameroon,CMR,2017,34.5907897949219
Canada,CAN,2011,95.8046417236328
Canada,CAN,2014,99.1033248901367
Canada,CAN,2017,99.7268829345703
Central African Republic,CAF,2011,3.30080914497375
Central African Republic,CAF,2017,13.745945930481
Chad,TCD,2011,8.95974540710449
Chad,TCD,2014,12.4333448410034
Chad,TCD,2017,21.7591934204102
Chile,CHL,2011,42.1792869567871
Chile,CHL,2014,63.2588806152344
Chile,CHL,2017,74.3492431640625
China,CHN,2011,63.817310333252
China,CHN,2014,78.8526000976563
China,CHN,2017,80.229118347168
Colombia,COL,2011,30.4278011322021
Colombia,COL,2014,38.9990196228027
Colombia,COL,2017,45.7592277526855
Comoros,COM,2011,21.694673538208
Congo,COG,2011,10.048056602478
Congo,COG,2014,17.0695972442627
Congo,COG,2017,26.0927505493164
Costa Rica,CRI,2011,50.3587303161621
Costa Rica,CRI,2014,64.5530624389648
Costa Rica,CRI,2017,67.8383560180664
Cote d'Ivoire,CIV,2014,34.322021484375
Cote d'Ivoire,CIV,2017,41.3309555053711
Croatia,HRV,2011,88.3910217285156
Croatia,HRV,2014,86.0250930786133
Croatia,HRV,2017,86.1434555053711
Cyprus,CYP,2011,85.2376480102539
Cyprus,CYP,2014,90.1501998901367
Cyprus,CYP,2017,88.7157592773438
Czechia,CZE,2011,80.6511917114258
Czechia,CZE,2014,82.1782073974609
Czechia,CZE,2017,80.9922637939453
