Entity,Code,Year,"8.7.1 - Proportion of children engaged in economic activity, by sex and age  (%) - SL_TLF_CHLDEA - 5 to 17 years old - Both sexes"
Afghanistan,AFG,2020,9
Albania,ALB,2010,2.8
Algeria,DZA,2019,1.9
Angola,AGO,2016,9.7
Armenia,ARM,2015,3.9
Bangladesh,BGD,2019,5.9
Belarus,BLR,2019,4
Belize,BLZ,2013,2.2
Benin,BEN,2018,17
Bolivia,BOL,2019,12.3
Brazil,BRA,2015,3.4
Burundi,BDI,2017,20.5
Cambodia,KHM,2012,11.5
Cameroon,CMR,2014,33.4
Central African Republic,CAF,2019,18.4
Chad,TCD,2019,30.9
Chile,CHL,2012,2.3
Colombia,COL,2020,4.7
Congo,COG,2015,10.8
Costa Rica,CRI,2018,3.4
Cote d'Ivoire,CIV,2016,17.5
Democratic Republic of Congo,COD,2018,9.2
Dominican Republic,DOM,2019,3.1
Ecuador,ECU,2019,5.1
Egypt,EGY,2014,3.6
El Salvador,SLV,2020,3.6
Gambia,GMB,2018,13.6
Georgia,GEO,2015,1.5
Ghana,GHA,2018,14.8
Guinea,GIN,2016,19.5
Guinea-Bissau,GNB,2019,14.9
Guyana,GUY,2020,4.9
Honduras,HND,2019,12.2
India,IND,2012,4.3
Iraq,IRQ,2018,3.1
Jamaica,JAM,2016,2.7
Jordan,JOR,2016,1.2
Kenya,KEN,2019,18.8
Kiribati,KIR,2019,7.1
Kyrgyzstan,KGZ,2018,20.1
Laos,LAO,2017,26.3
Lesotho,LSO,2018,8.2
Liberia,LBR,2020,21.1
Madagascar,MDG,2018,29.8
Malawi,MWI,2020,10
Mauritania,MRT,2015,12.6
Mexico,MEX,2019,5
Mongolia,MNG,2018,7.9
Montenegro,MNE,2018,7.7
Myanmar,MMR,2015,8.1
Nepal,NPL,2014,19
Nigeria,NGA,2017,28.7
North Korea,PRK,2017,4
North Macedonia,MKD,2019,2.4
Palestine,PSE,2020,6.3
Panama,PAN,2016,2.2
Paraguay,PRY,2016,15.5
Peru,PER,2020,12.2
Philippines,PHL,2020,1
Samoa,WSM,2020,13
Sao Tome and Principe,STP,2019,6.7
Senegal,SEN,2016,17.1
Serbia,SRB,2019,9.1
Sierra Leone,SLE,2017,21
Sri Lanka,LKA,2016,0.8
Sudan,SDN,2014,15.3
Suriname,SUR,2018,3.4
Tanzania,TZA,2014,22.8
Timor,TLS,2016,7.2
Togo,TGO,2017,32.9
Tonga,TON,2019,25.9
Turkey,TUR,2019,1.9
Turkmenistan,TKM,2016,0.3
Turks and Caicos Islands,TCA,2020,4.1
Tuvalu,TUV,2020,3.7
Uganda,UGA,2017,13.2
Uruguay,URY,2010,3.7
Vietnam,VNM,2021,5.4
Zambia,ZMB,2012,20.2
Zimbabwe,ZWE,2019,25.6
