Entity,Code,Year,"8.7.1 - Proportion of children engaged in economic activity, by sex and age  (%) - SL_TLF_CHLDEA - 5 to 17 years old - Male","8.7.1 - Proportion of children engaged in economic activity, by sex and age  (%) - SL_TLF_CHLDEA - 5 to 17 years old - Female"
Afghanistan,AFG,2020,12.6,5.1
Albania,ALB,2010,3.4,2.1
Algeria,DZA,2019,2.5,1.3
Angola,AGO,2016,8.9,10.4
Armenia,ARM,2015,4.9,2.7
Bangladesh,BGD,2019,8.7,3
Belarus,BLR,2019,4.6,3.4
Belize,BLZ,2013,3.2,1.2
Benin,BEN,2018,17.9,16.1
Bolivia,BOL,2019,13,11.7
Brazil,BRA,2015,4.6,2
Burundi,BDI,2017,21.5,19.4
Cambodia,KHM,2012,10.8,12.2
Cameroon,CMR,2014,38.5,32.8
Central African Republic,CAF,2019,17.3,19.5
Chad,TCD,2019,33.8,27.8
Chile,CHL,2012,3.3,1.4
Colombia,COL,2020,5.5,3.8
Congo,COG,2015,9.9,11.7
Costa Rica,CRI,2018,4,2.7
Cote d'Ivoire,CIV,2016,19.3,15.8
Democratic Republic of Congo,COD,2018,9.2,9.2
Dominican Republic,DOM,2019,4.1,2
Ecuador,ECU,2019,5.8,4.3
Egypt,EGY,2014,5.6,1.4
El Salvador,SLV,2020,5.6,1.5
Gambia,GMB,2018,15.5,11.9
Georgia,GEO,2015,2.1,0.9
Ghana,GHA,2018,14.5,15.2
Guinea,GIN,2016,21.1,17.8
Guinea-Bissau,GNB,2019,16.9,12.9
Guyana,GUY,2020,5.1,4.6
Honduras,HND,2019,16.2,7.9
India,IND,2012,5.3,3.1
Iraq,IRQ,2018,4.3,1.9
Jamaica,JAM,2016,3.1,2.2
Jordan,JOR,2016,2.2,0.2
Kenya,KEN,2019,20.9,16.4
Kiribati,KIR,2019,8.6,5.5
Kyrgyzstan,KGZ,2018,24.2,15.6
Laos,LAO,2017,26.3,26.2
Lesotho,LSO,2018,11.1,5.4
Liberia,LBR,2020,19.9,22.4
Madagascar,MDG,2018,33.4,26.2
Malawi,MWI,2020,11.9,8
Mauritania,MRT,2015,14.8,10.4
Mexico,MEX,2019,1.9,3.5
Mongolia,MNG,2018,9.1,6.5
Montenegro,MNE,2018,8.4,6.9
Myanmar,MMR,2015,8.7,7.6
Nepal,NPL,2014,19.2,19.3
Nigeria,NGA,2017,29.9,27.5
North Korea,PRK,2017,4.3,3.7
North Macedonia,MKD,2019,3.4,1.6
Palestine,PSE,2020,9.2,3.3
Panama,PAN,2016,3.2,1.2
Paraguay,PRY,2016,19.4,11.5
Peru,PER,2020,13.2,11.3
Philippines,PHL,2020,1.2,0.7
Samoa,WSM,2020,14.9,10.8
Sao Tome and Principe,STP,2019,6.1,7.4
Senegal,SEN,2016,25.7,8.6
Serbia,SRB,2019,11.1,6.8
Sierra Leone,SLE,2017,22.5,19.6
Sri Lanka,LKA,2016,0.9,0.6
Sudan,SDN,2014,19.3,15.2
Suriname,SUR,2018,4.4,2.4
Tanzania,TZA,2014,24.2,21.3
Timor,TLS,2016,7.6,6.9
Togo,TGO,2017,34.5,31.2
Tonga,TON,2019,32.9,18.5
Turkey,TUR,2019,2.9,0.8
Turkmenistan,TKM,2016,0.4,0.1
Turks and Caicos Islands,TCA,2020,5.7,2.2
Tuvalu,TUV,2020,3.4,4
Uganda,UGA,2017,14.7,11.8
Uruguay,URY,2010,5.1,2.3
Zambia,ZMB,2012,20.2,20.1
Zimbabwe,ZWE,2019,31.8,19
