Entity,Code,Year,"8.8.1 - Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees) - SL_EMP_INJUR - Both sexes - No breakdown"
Algeria,DZA,2000,1541.5
Algeria,DZA,2001,1320.2
Algeria,DZA,2002,1220.4
Algeria,DZA,2003,1325
Algeria,DZA,2004,1002.7
Argentina,ARG,2000,7747
Argentina,ARG,2002,6240
Argentina,ARG,2003,7270
Argentina,ARG,2004,8020
Argentina,ARG,2005,8150
Argentina,ARG,2006,8070
Argentina,ARG,2007,8250
Argentina,ARG,2009,7288.2
Argentina,ARG,2010,7131.5
Argentina,ARG,2011,5608
Argentina,ARG,2012,5094
Argentina,ARG,2014,4676.6
Argentina,ARG,2015,4544.1
Argentina,ARG,2016,4193.1
Argentina,ARG,2017,3918.5
Argentina,ARG,2018,3771.2
Armenia,ARM,2013,45.8
Armenia,ARM,2018,50
Armenia,ARM,2019,35.1
Australia,AUS,2000,1620
Australia,AUS,2001,1450
Australia,AUS,2002,1390
Australia,AUS,2003,1270
Australia,AUS,2004,1230
Australia,AUS,2005,1180
Australia,AUS,2006,1050
Australia,AUS,2007,1030
Australia,AUS,2008,1020
Australia,AUS,2009,986.1
Australia,AUS,2010,912.5
Australia,AUS,2011,907.5
Australia,AUS,2012,1016.4
Australia,AUS,2013,1011.5
Australia,AUS,2014,912.8
Australia,AUS,2015,1054.5
Australia,AUS,2016,933.1
Australia,AUS,2017,898.7
Austria,AUT,2004,3890
Austria,AUT,2005,3847
Austria,AUT,2006,3925
Austria,AUT,2007,3584
Austria,AUT,2008,4098
Austria,AUT,2010,1914.2
Austria,AUT,2011,1810.1
Austria,AUT,2012,1602.1
Austria,AUT,2013,1548.4
Austria,AUT,2014,1590.6
Austria,AUT,2015,1476
Austria,AUT,2016,1952
Azerbaijan,AZE,2000,14
Azerbaijan,AZE,2001,9
Azerbaijan,AZE,2002,12
Azerbaijan,AZE,2003,16
Azerbaijan,AZE,2004,19
Azerbaijan,AZE,2005,15
Azerbaijan,AZE,2006,20
Azerbaijan,AZE,2007,20
Azerbaijan,AZE,2008,21
Azerbaijan,AZE,2016,12
Azerbaijan,AZE,2017,8
Azerbaijan,AZE,2018,9
Azerbaijan,AZE,2019,15
Azerbaijan,AZE,2020,12
Bahrain,BHR,2000,1050.8
Bahrain,BHR,2001,995.3
Bahrain,BHR,2002,876.8
Bahrain,BHR,2003,775
Bahrain,BHR,2004,633
Bahrain,BHR,2005,659
Bahrain,BHR,2006,490
Bahrain,BHR,2007,296
Bahrain,BHR,2008,221
Bahrain,BHR,2020,109
Barbados,BRB,2016,388.3
Belarus,BLR,2000,198.7
Belarus,BLR,2001,173.9
Belarus,BLR,2002,149.7
Belarus,BLR,2003,143.1
Belarus,BLR,2004,136.1
Belarus,BLR,2005,111.1
Belarus,BLR,2006,94.7
Belarus,BLR,2007,83.9
Belarus,BLR,2008,78.2
Belarus,BLR,2009,70
Belarus,BLR,2010,60
Belarus,BLR,2011,56.6
Belarus,BLR,2012,51.6
