Entity,Code,Year,9.2.2 - Manufacturing employment as a proportion of total employment (%) - SL_TLF_MANF
Afghanistan,AFG,2008,4.6
Afghanistan,AFG,2012,6.8
Afghanistan,AFG,2014,7.3
Afghanistan,AFG,2017,7.7
Afghanistan,AFG,2020,8.2
Africa,,2000,7.7
Africa,,2001,7.6
Africa,,2002,7.4
Africa,,2003,7.3
Africa,,2004,7.2
Africa,,2005,7.1
Africa,,2006,7
Africa,,2007,6.9
Africa,,2008,6.9
Africa,,2009,6.8
Africa,,2010,6.7
Africa,,2011,6.5
Africa,,2012,6.6
Africa,,2013,6.6
Africa,,2014,6.7
Africa,,2015,6.7
Africa,,2016,6.7
Africa,,2017,6.8
Africa,,2018,6.8
Africa,,2019,6.8
Africa,,2020,6.6
Albania,ALB,2000,3.2
Albania,ALB,2001,3
Albania,ALB,2002,5.1
Albania,ALB,2003,5
Albania,ALB,2004,6
Albania,ALB,2005,6
Albania,ALB,2006,6.2
Albania,ALB,2007,10.6
Albania,ALB,2008,7.1
Albania,ALB,2009,8.1
Albania,ALB,2010,8.2
Albania,ALB,2011,7.7
Albania,ALB,2012,7.2
Albania,ALB,2013,7.5
Albania,ALB,2014,8.7
Albania,ALB,2015,9.2
Albania,ALB,2016,10.2
Albania,ALB,2017,10.1
Albania,ALB,2018,10.6
Albania,ALB,2019,11
Algeria,DZA,2001,10.1
Algeria,DZA,2003,9.2
Algeria,DZA,2004,10.9
Algeria,DZA,2014,11.3
Algeria,DZA,2017,10.7
American Samoa,ASM,2000,35.3
American Samoa,ASM,2010,16.6
Americas,,2000,14.8
Americas,,2001,14.4
Americas,,2002,13.8
Americas,,2003,13.6
Americas,,2004,13.5
Americas,,2005,13.3
Americas,,2006,13.2
Americas,,2007,13.2
Americas,,2008,13
Americas,,2009,12.3
Americas,,2010,12.2
Americas,,2011,12
Americas,,2012,12.1
Americas,,2013,11.9
Americas,,2014,11.9
Americas,,2015,11.8
Americas,,2016,11.5
Americas,,2017,11.5
Americas,,2018,11.4
Americas,,2019,11.3
Americas,,2020,11.1
Angola,AGO,2004,3
Angola,AGO,2009,2.1
Angola,AGO,2010,2.4
Angola,AGO,2011,1.7
Angola,AGO,2014,1.3
Anguilla,AIA,2001,2.4
Antigua and Barbuda,ATG,2001,4.3
Antigua and Barbuda,ATG,2002,4.6
Antigua and Barbuda,ATG,2003,4.6
Antigua and Barbuda,ATG,2004,4.6
Antigua and Barbuda,ATG,2005,4.6
Antigua and Barbuda,ATG,2006,4.6
Antigua and Barbuda,ATG,2007,4.6
Antigua and Barbuda,ATG,2008,4.6
Argentina,ARG,2000,14
Argentina,ARG,2001,13.9
Argentina,ARG,2002,13.2
Argentina,ARG,2003,13.7
Argentina,ARG,2004,14.1
Argentina,ARG,2005,14.3
Argentina,ARG,2006,14.3
Argentina,ARG,2008,14.1
Argentina,ARG,2009,13.3
Argentina,ARG,2010,13.6
Argentina,ARG,2011,13.4
Argentina,ARG,2012,13.1
Argentina,ARG,2013,13.2
Argentina,ARG,2014,13.1
Argentina,ARG,2017,12.3
Argentina,ARG,2018,11.7
Argentina,ARG,2019,11.9
Argentina,ARG,2020,12.5
Armenia,ARM,2002,10.7
Armenia,ARM,2007,6.9
Armenia,ARM,2008,10.1
Armenia,ARM,2009,6.1
Armenia,ARM,2010,5.7
Armenia,ARM,2011,6.8
Armenia,ARM,2012,8
Armenia,ARM,2013,8.3
Armenia,ARM,2014,8.3
Armenia,ARM,2015,7.9
Armenia,ARM,2016,8.3
Armenia,ARM,2017,9.1
Armenia,ARM,2018,9.9
Armenia,ARM,2019,10.6
Armenia,ARM,2020,10.1
Aruba,ABW,2000,5.8
Aruba,ABW,2007,6.3
Aruba,ABW,2010,5
Aruba,ABW,2011,4
Asia,,2000,15.4
Asia,,2001,15.3
Asia,,2002,14.9
Asia,,2003,14.9
Asia,,2004,15.2
Asia,,2005,15.7
Asia,,2006,16.1
Asia,,2007,16.5
Asia,,2008,16.4
Asia,,2009,16.3
Asia,,2010,16.5
Asia,,2011,16.8
Asia,,2012,17.1
Asia,,2013,16.9
Asia,,2014,16.8
Asia,,2015,16.6
Asia,,2016,16.4
Asia,,2017,16.1
Asia,,2018,16.1
Asia,,2019,15.7
Asia,,2020,14.9
Australia,AUS,2000,12.1
Australia,AUS,2001,11.6
Australia,AUS,2002,11.5
Australia,AUS,2003,11
Australia,AUS,2004,10.9
Australia,AUS,2005,10.4
Australia,AUS,2006,10
Australia,AUS,2007,9.9
Australia,AUS,2008,10.5
Australia,AUS,2009,9.3
Australia,AUS,2010,8.9
Australia,AUS,2011,8.5
Australia,AUS,2012,8.4
Australia,AUS,2013,8.1
Australia,AUS,2014,8.7
Australia,AUS,2015,8.2
Australia,AUS,2016,8.2
Australia,AUS,2017,7.2
Australia,AUS,2018,7.4
Australia,AUS,2019,6.9
Australia,AUS,2020,6.8
Australia,AUS,2021,6.9
Australia and New Zealand,,2000,12.7
Australia and New Zealand,,2001,12.3
Australia and New Zealand,,2002,12.2
Australia and New Zealand,,2003,11.6
Australia and New Zealand,,2004,11.5
Australia and New Zealand,,2005,10.9
Australia and New Zealand,,2006,10.5
Australia and New Zealand,,2007,10.3
Australia and New Zealand,,2008,10.6
Australia and New Zealand,,2009,9.6
Australia and New Zealand,,2010,9.3
