Entity,Code,Year,9.3.2 - Proportion of small-scale industries with a loan or line of credit (%) - FC_ACC_SSID
Afghanistan,AFG,2008,0
Afghanistan,AFG,2014,2.38
Africa,,2022,15.49
Albania,ALB,2007,37.37
Albania,ALB,2013,21.41
Albania,ALB,2019,20.89
Americas,,2022,44.22
Angola,AGO,2006,1.09
Angola,AGO,2010,2.45
Antigua and Barbuda,ATG,2010,50
Argentina,ARG,2006,28.24
Argentina,ARG,2010,43.82
Argentina,ARG,2017,42.19
Armenia,ARM,2009,35.49
Armenia,ARM,2013,20.83
Armenia,ARM,2020,43.44
Asia,,2022,24.6
Austria,AUT,2021,47.49
Azerbaijan,AZE,2009,25.16
Azerbaijan,AZE,2013,28.04
Azerbaijan,AZE,2019,0
Bahamas,BHS,2010,32.11
Bangladesh,BGD,2013,30.99
Barbados,BRB,2010,44
Belarus,BLR,2008,23.5
Belarus,BLR,2013,13.63
Belarus,BLR,2018,16.49
Belgium,BEL,2020,80.84
Belize,BLZ,2010,39.26
Benin,BEN,2009,25.97
Benin,BEN,2016,51.5
Bhutan,BTN,2009,38.08
Bhutan,BTN,2015,31.78
Bolivia,BOL,2006,37.24
Bolivia,BOL,2010,40.19
Bolivia,BOL,2017,30.85
Bosnia and Herzegovina,BIH,2009,59.31
Bosnia and Herzegovina,BIH,2013,73.66
Bosnia and Herzegovina,BIH,2019,44.38
Botswana,BWA,2006,26.8
Botswana,BWA,2010,35.55
Brazil,BRA,2009,55.6
Bulgaria,BGR,2007,27.29
Bulgaria,BGR,2009,31.39
Bulgaria,BGR,2013,38.02
Bulgaria,BGR,2019,49.26
Burkina Faso,BFA,2009,20.25
Burundi,BDI,2006,25.26
Burundi,BDI,2014,30.74
Cambodia,KHM,2013,38.7
Cambodia,KHM,2016,20.1
Cameroon,CMR,2009,36.03
Cameroon,CMR,2016,7.19
Cape Verde,CPV,2009,12.69
Caribbean,,2022,43.97
Caucasus and Central Asia,,2022,22.87
Central African Republic,CAF,2011,21.35
Central America,,2022,40.38
Central Asia,,2022,19.68
Central and Southern Asia,,2022,21.39
Chad,TCD,2009,19.95
Chad,TCD,2018,4.55
Chile,CHL,2006,40.83
Chile,CHL,2010,69.75
China,CHN,2012,11.39
Colombia,COL,2006,35.5
Colombia,COL,2010,59.21
Colombia,COL,2017,59.74
Congo,COG,2009,0
Costa Rica,CRI,2010,55.39
Cote d'Ivoire,CIV,2009,5.18
Cote d'Ivoire,CIV,2016,9.62
Croatia,HRV,2007,74.92
Croatia,HRV,2013,47.94
Croatia,HRV,2019,34.66
Cyprus,CYP,2019,66.13
Czechia,CZE,2009,41.66
Czechia,CZE,2013,47.49
Czechia,CZE,2019,41.49
Democratic Republic of Congo,COD,2006,4
Democratic Republic of Congo,COD,2010,10.82
Democratic Republic of Congo,COD,2013,5.28
Denmark,DNK,2020,45.04
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2022,40.06
Developing regions,,2022,26.79
Djibouti,DJI,2013,26.19
Dominica,DMA,2010,20
Dominican Republic,DOM,2010,63.54
Dominican Republic,DOM,2016,49.72
Eastern Africa,,2022,18.47
Eastern Asia,,2022,25.05
Eastern Asia (excluding Japan),,2022,25.05
Eastern Europe,,2022,31.47
Eastern and South-Eastern Asia,,2022,25.12
Ecuador,ECU,2006,33.35
Ecuador,ECU,2010,48.06
Ecuador,ECU,2017,44.93
Egypt,EGY,2013,5.25
Egypt,EGY,2016,4.33
Egypt,EGY,2020,4.13
El Salvador,SLV,2006,63.13
El Salvador,SLV,2010,78.19
El Salvador,SLV,2016,41.63
Eritrea,ERI,2009,14.02
Estonia,EST,2009,51.67
Estonia,EST,2013,42.47
Estonia,EST,2019,38.32
Eswatini,SWZ,2006,33.76
Eswatini,SWZ,2016,46.86
Ethiopia,ETH,2011,3.77
Ethiopia,ETH,2015,32.87
Europe,,2022,38.9
Europe and Northern America,,2022,38.9
Fiji,FJI,2009,27.83
Finland,FIN,2020,66.54
Gabon,GAB,2009,0
Gambia,GMB,2006,13.22
Gambia,GMB,2018,8.59
Georgia,GEO,2008,32.4
Georgia,GEO,2013,35.76
Georgia,GEO,2019,37.96
Ghana,GHA,2007,9.4
Ghana,GHA,2013,16.79
Greece,GRC,2018,31.25
Grenada,GRD,2010,64.43
Guatemala,GTM,2006,32.39
Guatemala,GTM,2010,23.4
Guatemala,GTM,2017,46.64
Guinea,GIN,2006,1.73
Guinea,GIN,2016,8.74
Guinea-Bissau,GNB,2006,2.52
Guyana,GUY,2010,43.21
Honduras,HND,2006,36.51
Honduras,HND,2010,13.35
Honduras,HND,2016,39.21
Hungary,HUN,2009,42.55
Hungary,HUN,2013,28.16
Hungary,HUN,2019,49.44
India,IND,2014,27.98
Indonesia,IDN,2009,15.12
Indonesia,IDN,2015,34.31
Iraq,IRQ,2011,3.72
Ireland,IRL,2020,45.76
Israel,ISR,2013,50.94
Italy,ITA,2019,25.94
Jamaica,JAM,2010,33
Jordan,JOR,2013,12.56
Jordan,JOR,2019,12.51
Kazakhstan,KAZ,2009,13.33
Kazakhstan,KAZ,2013,12.7
Kazakhstan,KAZ,2019,17.93
Kenya,KEN,2007,46.44
Kenya,KEN,2013,44.07
Kenya,KEN,2018,36.83
Kyrgyzstan,KGZ,2009,18.95
Kyrgyzstan,KGZ,2013,15.3
Kyrgyzstan,KGZ,2019,20.21
Landlocked developing countries (LLDCs),,2022,21.87
Laos,LAO,2009,15.37
Laos,LAO,2012,33.71
Laos,LAO,2016,6.67
Laos,LAO,2018,25.71
Latin America and the Caribbean,,2022,44.22
Latvia,LVA,2009,34.81
Latvia,LVA,2013,10.46
Latvia,LVA,2019,15.08
Least developed countries (LDCs),,2022,17.04
Lebanon,LBN,2013,37.15
Lebanon,LBN,2019,40.64
Lesotho,LSO,2009,16.01
Lesotho,LSO,2016,23.39
Liberia,LBR,2009,6.05
Liberia,LBR,2017,11.11
Lithuania,LTU,2009,33.38
Lithuania,LTU,2013,26.11
Lithuania,LTU,2019,19.5
Luxembourg,LUX,2020,55.57
Madagascar,MDG,2009,10.82
Madagascar,MDG,2013,12.91
Malawi,MWI,2009,27.67
Malawi,MWI,2014,23.05
Malaysia,MYS,2015,40.47
Mali,MLI,2007,5.76
Mali,MLI,2010,9.93
Mali,MLI,2016,18.75
Malta,MLT,2019,27.28
Mauritania,MRT,2006,23.24
Mauritania,MRT,2014,18.56
Mauritius,MUS,2009,35.89
Melanesia,OWID_MNS,2022,44.77
Mexico,MEX,2006,14.07
Mexico,MEX,2010,15.45
Micronesia (country),FSM,2009,58.09
Micronesia (country),FSM,2022,58.09
Middle Africa,,2022,5.83
Moldova,MDA,2009,48.56
Moldova,MDA,2013,34.87
Moldova,MDA,2019,7.3
Mongolia,MNG,2009,41.71
Mongolia,MNG,2013,30.15
Mongolia,MNG,2019,38.71
Montenegro,MNE,2009,52.18
Montenegro,MNE,2013,61.11
Montenegro,MNE,2019,35.86
Morocco,MAR,2013,47.84
Morocco,MAR,2019,9.77
Mozambique,MOZ,2007,4.38
Mozambique,MOZ,2018,11.13
Myanmar,MMR,2014,4.5
Myanmar,MMR,2016,15.18
Namibia,NAM,2006,27.86
Namibia,NAM,2014,21.13
Nepal,NPL,2009,46.14
Nepal,NPL,2013,30.72
Netherlands,NLD,2020,36.03
Nicaragua,NIC,2006,39.37
Nicaragua,NIC,2010,28.52
Nicaragua,NIC,2016,58.68
Niger,NER,2009,38.56
Niger,NER,2017,6.72
Nigeria,NGA,2007,1.88
Nigeria,NGA,2014,5.11
North Macedonia,MKD,2009,61.16
North Macedonia,MKD,2013,41.96
North Macedonia,MKD,2019,46.19
Northern Africa,,2022,13.42
Northern Africa (exc. Sudan),,2022,17.09
Northern Africa and Western Asia,,2022,23.59
Northern Europe,,2022,38.56
Oceania,,2022,44.95
Oceania (exc. Australia and New Zealand),,2022,44.95
Pakistan,PAK,2007,2.15
Pakistan,PAK,2013,6.55
Palestine,PSE,2013,8.15
Palestine,PSE,2019,10.21
Panama,PAN,2006,45.38
Panama,PAN,2010,26.79
Papua New Guinea,PNG,2015,30.9
Paraguay,PRY,2006,39.47
Paraguay,PRY,2010,69.98
Paraguay,PRY,2017,35.72
Peru,PER,2006,40.34
Peru,PER,2010,65.84
Peru,PER,2017,72.2
Philippines,PHL,2009,16.39
Philippines,PHL,2015,23.99
Poland,POL,2009,47.43
Poland,POL,2013,23.86
