Entity,Code,Year,Research and development expenditure (% of GDP)
Africa Eastern and Southern,,2003,0.665955773378498
Africa Eastern and Southern,,2004,0.697591902917369
Africa Eastern and Southern,,2005,0.699819215880687
Africa Eastern and Southern,,2007,0.716764660719628
Africa Eastern and Southern,,2010,0.646038366413681
Africa Western and Central,,2007,0.225627284013102
Albania,ALB,2007,0.0873700007796288
Albania,ALB,2008,0.154119998216629
Algeria,DZA,2001,0.230279996991158
Algeria,DZA,2002,0.366400003433228
Algeria,DZA,2003,0.196229994297028
Algeria,DZA,2004,0.163570001721382
Algeria,DZA,2005,0.066040001809597
Argentina,ARG,1996,0.417490005493164
Argentina,ARG,1997,0.419589996337891
Argentina,ARG,1998,0.411309987306595
Argentina,ARG,1999,0.453370004892349
Argentina,ARG,2000,0.438840001821518
Argentina,ARG,2001,0.424600005149841
Argentina,ARG,2002,0.388859987258911
Argentina,ARG,2003,0.410120010375977
Argentina,ARG,2004,0.365550011396408
Argentina,ARG,2005,0.378670006990433
Argentina,ARG,2006,0.400330007076263
Argentina,ARG,2007,0.401690006256104
Argentina,ARG,2008,0.421350002288818
Argentina,ARG,2009,0.519010007381439
Argentina,ARG,2010,0.517610013484955
Argentina,ARG,2011,0.536589980125427
Argentina,ARG,2012,0.609390020370483
Argentina,ARG,2013,0.61175000667572
Argentina,ARG,2014,0.613030016422272
Armenia,ARM,1997,0.186920002102852
Armenia,ARM,1998,0.226009994745255
Armenia,ARM,1999,0.214000001549721
Armenia,ARM,2000,0.184630006551743
Armenia,ARM,2001,0.279870003461838
Armenia,ARM,2002,0.252550005912781
Armenia,ARM,2003,0.239710003137589
Armenia,ARM,2004,0.212009996175766
Armenia,ARM,2005,0.257609993219376
Armenia,ARM,2006,0.240569993853569
Armenia,ARM,2007,0.211070001125336
Armenia,ARM,2008,0.224380001425743
Armenia,ARM,2009,0.29093000292778
Armenia,ARM,2010,0.241390004754066
Armenia,ARM,2011,0.270139992237091
Armenia,ARM,2012,0.238529995083809
Armenia,ARM,2013,0.222159996628761
Armenia,ARM,2014,0.240789994597435
Australia,AUS,1996,1.66220998764038
Australia,AUS,1998,1.51495003700256
Australia,AUS,2000,1.5766099691391
Australia,AUS,2002,1.75362002849579
Australia,AUS,2004,1.8539400100708
Australia,AUS,2006,2.18309998512268
Australia,AUS,2008,2.40242004394531
Australia,AUS,2010,2.38394999504089
Australia,AUS,2011,2.24605989456177
Australia,AUS,2013,2.19574999809265
Austria,AUT,1996,1.58431005477905
Austria,AUT,1997,1.65855002403259
Austria,AUT,1998,1.73612999916077
Austria,AUT,1999,1.84930002689362
Austria,AUT,2000,1.88966000080109
Austria,AUT,2001,1.99599003791809
Austria,AUT,2002,2.06993007659912
Austria,AUT,2003,2.1826798915863
Austria,AUT,2004,2.17368006706238
Austria,AUT,2005,2.38323998451233
Austria,AUT,2006,2.37115001678467
Austria,AUT,2007,2.43239998817444
Austria,AUT,2008,2.5855700969696
Austria,AUT,2009,2.61357998847961
Austria,AUT,2010,2.73783993721008
Austria,AUT,2011,2.68163990974426
Austria,AUT,2012,2.88561010360718
Austria,AUT,2013,2.964359998703
Austria,AUT,2014,2.98608994483948
Azerbaijan,AZE,1996,0.235330000519753
Azerbaijan,AZE,1997,0.369500011205673
Azerbaijan,AZE,1998,0.421240001916885
Azerbaijan,AZE,1999,0.392890006303787
Azerbaijan,AZE,2000,0.335999995470047
Azerbaijan,AZE,2001,0.340009987354279
Azerbaijan,AZE,2002,0.301550000905991
Azerbaijan,AZE,2003,0.324959993362427
Azerbaijan,AZE,2004,0.29831001162529
Azerbaijan,AZE,2005,0.219940006732941
Azerbaijan,AZE,2006,0.171650007367134
Azerbaijan,AZE,2007,0.170059993863106
Azerbaijan,AZE,2008,0.165539994835854
Azerbaijan,AZE,2009,0.249760001897812
Azerbaijan,AZE,2010,0.218480005860329
Azerbaijan,AZE,2011,0.210840001702309
Azerbaijan,AZE,2012,0.217240005731583
Azerbaijan,AZE,2013,0.211410000920296
Azerbaijan,AZE,2014,0.209910005331039
Bahrain,BHR,2014,0.0997700020670891
Belarus,BLR,1996,0.998520016670227
Belarus,BLR,1997,0.730000019073486
Belarus,BLR,1998,0.705780029296875
Belarus,BLR,1999,0.845229983329773
Belarus,BLR,2000,0.722100019454956
Belarus,BLR,2001,0.708760023117065
Belarus,BLR,2002,0.620899975299835
Belarus,BLR,2003,0.611469984054565
Belarus,BLR,2004,0.627590000629425
Belarus,BLR,2005,0.678520023822784
Belarus,BLR,2006,0.660650014877319
Belarus,BLR,2007,0.962029993534088
Belarus,BLR,2008,0.741469979286194
Belarus,BLR,2009,0.642690002918243
Belarus,BLR,2010,0.693499982357025
Belarus,BLR,2011,0.700600028038025
Belarus,BLR,2012,0.667050004005432
Belarus,BLR,2013,0.6735799908638
Belgium,BEL,1996,1.72962999343872
Belgium,BEL,1997,1.79475998878479
Belgium,BEL,1998,1.82361996173859
Belgium,BEL,1999,1.89067995548248
Belgium,BEL,2000,1.92235994338989
Belgium,BEL,2001,2.02168011665344
Belgium,BEL,2002,1.89073002338409
Belgium,BEL,2003,1.83184003829956
Belgium,BEL,2004,1.80897998809814
Belgium,BEL,2005,1.78231000900269
Belgium,BEL,2006,1.81426000595093
Belgium,BEL,2007,1.84412002563477
Belgium,BEL,2008,1.92412996292114
Belgium,BEL,2009,1.98537003993988
Belgium,BEL,2010,2.05080008506775
Belgium,BEL,2011,2.15532994270325
Belgium,BEL,2012,2.36268997192383
Belgium,BEL,2013,2.42964005470276
Belgium,BEL,2014,2.46467995643616
Bermuda,BMU,1997,0.0588500015437603
Bermuda,BMU,2007,0.205259993672371
Bermuda,BMU,2008,0.209499999880791
Bermuda,BMU,2009,0.222169995307922
Bermuda,BMU,2010,0.22282999753952
Bermuda,BMU,2011,0.261220008134842
Bermuda,BMU,2012,0.23115000128746
Bermuda,BMU,2013,0.226060003042221
Bermuda,BMU,2014,0.22316999733448
Bolivia,BOL,1996,0.325439989566803
Bolivia,BOL,1997,0.315770000219345
Bolivia,BOL,1998,0.294950008392334
Bolivia,BOL,1999,0.298359990119934
Bolivia,BOL,2000,0.287440001964569
Bolivia,BOL,2001,0.293579995632172
Bolivia,BOL,2002,0.276630014181137
Bolivia,BOL,2009,0.157000005245209
Bosnia and Herzegovina,BIH,2003,0.0185400005429983
Bosnia and Herzegovina,BIH,2004,0.0161099992692471
Bosnia and Herzegovina,BIH,2005,0.0277600008994341
Bosnia and Herzegovina,BIH,2006,0.0201799999922514
Bosnia and Herzegovina,BIH,2007,0.0257600005716085
Bosnia and Herzegovina,BIH,2008,0.0188100002706051
Bosnia and Herzegovina,BIH,2009,0.0214799996465445
Bosnia and Herzegovina,BIH,2012,0.270370006561279
Bosnia and Herzegovina,BIH,2013,0.327389985322952
Bosnia and Herzegovina,BIH,2014,0.261079996824265
Botswana,BWA,2005,0.532859981060028
Botswana,BWA,2012,0.252290010452271
Brazil,BRA,2000,0.998860001564026
Brazil,BRA,2001,1.03165996074677
Brazil,BRA,2002,0.975899994373322
Brazil,BRA,2003,0.998160004615784
Brazil,BRA,2004,0.962960004806519
Brazil,BRA,2005,1.00192999839783
Brazil,BRA,2006,0.987919986248016
Brazil,BRA,2007,1.08227002620697
Brazil,BRA,2008,1.1298600435257
Brazil,BRA,2009,1.12029004096985
Brazil,BRA,2010,1.15962994098663
Brazil,BRA,2011,1.14007997512817
Brazil,BRA,2012,1.15113997459412
Brazil,BRA,2013,1.23601996898651
Brunei,BRN,2002,0.0159200001507998
Brunei,BRN,2003,0.0184199996292591
Brunei,BRN,2004,0.0370099991559982
Bulgaria,BGR,1996,0.508660018444061
Bulgaria,BGR,1997,0.470479995012283
Bulgaria,BGR,1998,0.495400011539459
Bulgaria,BGR,1999,0.542140007019043
Bulgaria,BGR,2000,0.498849987983704
Bulgaria,BGR,2001,0.448610007762909
Bulgaria,BGR,2002,0.465939998626709
Bulgaria,BGR,2003,0.473789989948273
Bulgaria,BGR,2004,0.472000002861023
