Entity,Code,Year,9.b.1 - Proportion of medium and high-tech manufacturing value added in total value added (%) - NV_IND_TECH
Afghanistan,AFG,2000,13.59
Afghanistan,AFG,2001,13.59
Afghanistan,AFG,2002,13.59
Afghanistan,AFG,2003,13.59
Afghanistan,AFG,2004,14.28
Afghanistan,AFG,2005,2.72
Afghanistan,AFG,2006,2.7
Afghanistan,AFG,2007,3.06
Afghanistan,AFG,2008,9.56
Afghanistan,AFG,2009,10.01
Afghanistan,AFG,2010,9.48
Afghanistan,AFG,2011,9.29
Afghanistan,AFG,2012,9.05
Afghanistan,AFG,2013,9.38
Afghanistan,AFG,2014,9.51
Afghanistan,AFG,2015,9.51
Afghanistan,AFG,2016,8.46
Afghanistan,AFG,2017,6.9
Afghanistan,AFG,2018,6.41
Afghanistan,AFG,2019,8.46
Africa,,2000,23.16
Africa,,2001,22.86
Africa,,2002,23.39
Africa,,2003,22.19
Africa,,2004,21.48
Africa,,2005,21.51
Africa,,2006,20.82
Africa,,2007,21.32
Africa,,2008,20.78
Africa,,2009,20.07
Africa,,2010,20.71
Africa,,2011,20.54
Africa,,2012,19.22
Africa,,2013,19.16
Africa,,2014,18.7
Africa,,2015,21.2
Africa,,2016,21.15
Africa,,2017,18.81
Africa,,2018,20.46
Africa,,2019,21.03
Albania,ALB,2000,7.61
Albania,ALB,2001,12.31
Albania,ALB,2002,7.8
Albania,ALB,2003,6.43
Albania,ALB,2004,8.8
Albania,ALB,2005,16.98
Albania,ALB,2006,20.21
Albania,ALB,2007,18.95
Albania,ALB,2008,14.09
Albania,ALB,2009,14.36
Albania,ALB,2010,6.56
Albania,ALB,2011,10.55
Albania,ALB,2012,17.1
Albania,ALB,2013,5.64
Albania,ALB,2014,6.63
Albania,ALB,2015,5.8
Albania,ALB,2016,4.47
Albania,ALB,2017,4.88
Albania,ALB,2018,4.61
Albania,ALB,2019,4.61
Algeria,DZA,2000,11.28
Algeria,DZA,2001,11.28
Algeria,DZA,2002,14.37
Algeria,DZA,2003,14.37
Algeria,DZA,2004,14.37
Algeria,DZA,2005,14.37
Algeria,DZA,2006,14.37
Algeria,DZA,2007,14.37
Algeria,DZA,2008,15.15
Algeria,DZA,2009,10.85
Algeria,DZA,2010,9.66
Algeria,DZA,2011,1.27
Algeria,DZA,2012,1.39
Algeria,DZA,2013,1.56
Algeria,DZA,2014,1.66
Algeria,DZA,2015,2.69
Algeria,DZA,2016,2.69
Algeria,DZA,2017,2.69
Algeria,DZA,2018,2.69
Algeria,DZA,2019,2.69
Americas,,2000,48
Americas,,2001,46.99
Americas,,2002,47.92
Americas,,2003,47.87
Americas,,2004,46.98
Americas,,2005,45.73
Americas,,2006,45.63
Americas,,2007,46.13
Americas,,2008,46.15
Americas,,2009,43.45
Americas,,2010,43.75
Americas,,2011,43.29
Americas,,2012,43.4
Americas,,2013,43.28
Americas,,2014,44.17
Americas,,2015,44.46
Americas,,2016,44.31
Americas,,2017,44.73
Americas,,2018,44.52
Americas,,2019,44.06
