Year,Canada,France,Germany,Italy,Japan,United Kingdom,United States
1999,,,,,,,
2000,0.02,0.01,0.02,0.01,0.01,0.04,0.02
2001,0.02,0.01,0.02,0.01,0.01,0.02,0.02
2002,0.01,0.01,0.01,0,0.01,0.02,0.01
2003,0.02,0.01,0.02,0,0.01,0.02,0.02
2004,0.02,0.01,0.02,0.01,0.01,0.02,0.02
2005,0.03,0,0.02,0,0.01,0.03,0.03
2006,0.02,0.01,0.02,0,0.01,0.04,0.02
2007,0.03,0.01,0.02,0,0.01,0.04,0.02
2008,0.04,0.03,0.02,0.01,0.02,0.02,0.02
2009,0.04,0.03,0.02,0.01,0.02,0.04,0.02
2010,0.04,0.03,0.02,0,0.02,0.04,0.02
2011,0.04,0.01,0.02,0,0.01,0.06,0.02
2012,0.04,0.01,0.02,0,0.02,0.06,0.02
2013,0.04,0.01,0.02,0,0.02,0.07,0.02
2014,0.03,0.01,0.02,0,0.01,0.06,0.02
2015,0.03,0.01,0.02,0,0.01,0.05,0.02
2016,0.03,0.01,0.03,0,0.01,0.06,0.02
2017,0.03,0.01,0.03,0.01,0.01,0.05,0.02
2018,0.03,0.01,0.03,0,0.01,0.04,0.02
2019,0.02,0.01,0.04,0,0.01,0.05,0.02
2020,,,,,,,0.02
