Year,Canada,France,Germany,Italy,Japan,United Kingdom,United States
1999,,,,,,,
2000,22.04,9.32,3.7,5.12,3.7,0.96,5.43
2001,21.53,9.46,3.9,5.38,3.5,0.85,4.68
2002,21.77,8.73,4.41,5.6,3.71,0.97,4.84
2003,21.18,8.91,5.44,6.24,4.19,0.93,5.33
2004,21.58,8.95,6.34,5.94,4.26,1.14,5.48
2005,21.99,8.66,7.28,6.7,4.02,1.35,5.84
2006,21.92,8.52,8.59,7.51,4.43,1.55,6.4
2007,21.84,9.46,10.47,8.73,4.29,1.84,6.3
2008,21.91,10.6,10.25,10.82,4.44,2.79,6.85
2009,22.5,11.32,10.72,12.54,4.51,3.38,7.35
2010,21.88,11.99,11.61,12.79,4.66,3.67,7.44
2011,21.84,10.66,12.54,11.9,4.82,4.44,8.36
2012,22.17,12.34,13.64,14.39,4.68,4.77,8.73
2013,22.44,13.42,13.63,16.32,5.05,6.02,9.08
2014,22.49,13.2,14.02,17.13,5.58,7.36,9.22
2015,22.69,13.34,14.55,16.57,6.16,8.61,9.03
2016,22.05,14.24,14.24,16.09,6.39,8.6,9.46
2017,22.47,14.12,15.22,16.43,6.92,9.7,9.92
2018,21.99,15.21,16.12,17.08,7.22,10.99,10.12
2019,22.11,15.53,17.17,17.27,7.69,12.24,10.42
2020,,,,,,,
