Year,Canada,France,Germany,Italy,Japan,United Kingdom,United States
1999,7.579999924,11.97999954,8.859999657,11.68999958,4.699999809,6.039999962,4.21999979
2000,6.829999924,10.22000027,7.920000076,10.84000015,4.75,5.559999943,3.99000001
2001,7.21999979,8.609999657,7.769999981,9.600000381,5.019999981,4.699999809,4.730000019
2002,7.659999847,8.699999809,8.479999542,9.210000038,5.389999866,5.039999962,5.78000021
2003,7.570000172,8.31000042,9.779999733,8.869999886,5.25,4.809999943,5.989999771
2004,7.190000057,8.909999847,10.72999954,7.869999886,4.730000019,4.590000153,5.53000021
2005,6.760000229,8.489999771,11.17000008,7.730000019,4.449999809,4.75,5.079999924
2006,6.320000172,8.449999809,10.25,6.78000021,4.190000057,5.349999905,4.619999886
2007,6.039999962,7.659999847,8.659999847,6.079999924,3.890000105,5.260000229,4.619999886
2008,6.139999866,7.059999943,7.519999981,6.71999979,4,5.619999886,5.78000021
2009,8.340000153,8.739999771,7.739999771,7.75,5.070000172,7.539999962,9.25
2010,8.06000042,8.869999886,6.96999979,8.359999657,5.099999905,7.789999962,9.630000114
2011,7.510000229,8.81000042,5.820000172,8.359999657,4.550000191,8.039999962,8.949999809
2012,7.289999962,9.399999619,5.380000114,10.64999962,4.360000134,7.880000114,8.069999695
2013,7.070000172,9.920000076,5.230000019,12.14999962,4,7.519999981,7.369999886
2014,6.909999847,10.28999996,4.980000019,12.68000031,3.599999905,6.110000134,6.170000076
2015,6.909999847,10.35000038,4.619999886,11.89999962,3.400000095,5.300000191,5.28000021
2016,7,10.05000019,4.119999886,11.68999958,3.099999905,4.809999943,4.869999886
2017,6.340000153,9.409999847,3.75,11.21000004,2.799999952,4.329999924,4.360000134
2018,5.829999924,9.020000458,3.380000114,10.60999966,2.400000095,4,3.900000095
2019,5.659999847,8.409999847,3.140000105,9.949999809,2.400000095,3.74000001,3.670000076
2020,9.460000038,8.010000229,3.809999943,9.159999847,2.799999952,4.472000122,8.050000191
