Year,Canada,France,Germany,Italy,Japan,United Kingdom,United States
1999,3255.439453,2732.743164,3129.269287,1149.011963,5174.980957,2853.965576,3465.720459
2000,3527.48291,2915.69458,3167.950928,1166.12207,5078.033203,2894.514893,3496.36792
2001,3708.216553,2986.858398,3245.824219,1172.779419,5113.158203,3080.694092,3567.42627
2002,3719.257813,3117.211914,3260.092041,1245.870239,4871.530273,3340.22168,3652.184326
2003,3913.54834,3199.748291,3295.2771,1221.797974,5094.30957,3638.090332,3894.901367
2004,4098.003418,3334.166992,3309.573486,1242.692993,5099.263672,3824.261963,3789.0896
2005,4250.052246,3313.258545,3335.034912,1415.360107,5303.916504,4123.531738,3742.519531
2006,4323.080078,3423.748535,3434.569336,1510.516602,5333.043457,4176.3125,3806.330322
2007,4595.39502,3585.805908,3578.503418,1583.038086,5325.623535,4111.140625,3781.174805
2008,4715.391113,3659.884766,3733.276367,1625.303345,5108.782715,4053.927246,3935.492676
2009,4451.478516,3747.284668,3922.212158,1723.020386,5099.210938,4076.552002,4090.274414
2010,4646.305176,3873.012939,4058.005859,1743.34436,5103.625488,4043.26709,3885.082275
2011,4780.081543,3942.388916,4188.808105,1781.38855,5110.165527,3926.11792,4027.118896
2012,4627.45166,4073.250488,4352.322754,1848.626831,5032.931152,3969.859131,3990.623779
2013,4623.117676,4154.81543,4366.691406,1930.686768,5147.435059,4119.451172,4090.884277
2014,4541.848145,4233.638184,4320.704102,1956.360596,5328.409668,4227.620117,4205.255859
2015,4523.092773,4307.489746,4743.786133,2077.882568,5173.030762,4319.501465,4267.839355
2016,4369.629883,4414.699219,4861.74707,2204.076172,5209.369141,4357.933105,4247.748535
2017,4325.64502,4561.112793,5076.518066,2313.654785,5304.137695,4341.151367,4412.435547
2018,,4715.319336,5211.874023,2306.766357,5331.150391,4603.310059,
2019,,,,,,,
2020,,,,,,,
