Year,Canada,France,Germany,Italy,Japan,United Kingdom,United States
1999,36.18643951,9.125317574,20.84598351,14.37841034,21.39129066,21.29363823,35.84872437
2000,51.29999924,14.30792427,30.21634674,23.11087418,29.99073982,26.82175446,43.0791626
2001,60.20000076,26.32590294,31.65093994,27.22211647,38.53206253,33.48109436,49.08083344
2002,61.59329987,30.18000031,48.81999969,28.04000092,46.59420013,56.47999954,58.78540421
2003,64.19999695,36.13999939,55.90000153,29.04000092,48.43526459,64.81999969,61.69711685
2004,65.95596313,39.15000153,64.73000336,33.24000168,62.39392853,65.61000061,64.758255
2005,71.66000366,42.86999893,68.70999908,35,66.92106628,70,67.96805573
2006,72.40000153,46.86999893,72.16000366,37.99000168,68.68527222,68.81999969,68.93119049
2007,73.19999695,66.08999634,75.16000366,40.79000092,74.30000305,75.08999634,75
2008,76.69999695,70.68000031,78,44.52999878,75.40000153,78.38999939,74
2009,80.30000305,71.58000183,79,48.83000183,78,83.55999756,71
2010,80.30000305,77.27999878,82,53.68000031,78.20999908,85,71.69000244
2011,83,77.81999969,81.26999664,54.38999939,79.0541153,85.37999725,69.72946167
2012,83,81.44000244,82.34999847,55.82999802,79.49639893,87.47999573,74.69999695
2013,85.80000305,81.9197998,84.16999817,58.45930099,88.21942902,89.84410095,71.40000153
2014,87.12000275,83.75,86.19000244,55.63846207,89.10683441,91.61000061,73
2015,90,78.00603485,87.58979797,58.14173508,91.05802917,92.00029755,74.55419922
2016,91.16000366,79.26981354,84.16520691,61.32425308,93.182724,94.77580261,85.54441833
2017,92.70137024,80.50245667,84.39415741,63.0773468,91.72654724,90.42455292,87.27488708
2018,94.63999939,82.04319,87.03710938,74.38718414,91.27999878,90.69200897,88.49890137
2019,96.5,83.33974457,88.13451385,76.09999847,92.73040009,92.51663208,89.43028259
2020,96.97000122,84.80000305,89.8129425,70.48342896,90.21945953,94.81819916,90.90000153
